checklist_scientificName	english_name	entry_into_force	checklist_kingdom	backbone_taxonKey	backbone_taxonomicStatus
Salvinia molesta	giant salvinia	2019-08-15	Plantae	5274863	ACCEPTED
Ehrharta calycina	perennial veldtgrass	2019-08-15	Plantae	7644403	SYNONYM
Ameiurus melas	black bullhead	2022-07-12	Animalia	2340977	ACCEPTED
Axis axis	axis deer	2022-07-12	Animalia	2440934	ACCEPTED
Callosciurus finlaysonii	Finlayson's squirrel	2022-07-12	Animalia	2437399	ACCEPTED
Celastrus orbiculatus	Oriental bittersweet	2027-08-02	Plantae	3169169	ACCEPTED
Channa argus	northern snakehead	2022-07-12	Animalia	4284921	ACCEPTED
Faxonius rusticus	rusty crayfish	2022-07-12	Animalia	8979506	ACCEPTED
Fundulus heteroclitus	mummichog	2024-08-02	Animalia	5712056	ACCEPTED
Gambusia affinis	western mosquitofish	2022-07-12	Animalia	2350580	ACCEPTED
Gambusia holbrooki	eastern mosquitofish	2022-07-12	Animalia	2350570	ACCEPTED
Hakea sericea	bushy needlewood	2022-07-12	Plantae	7287606	ACCEPTED
Koenigia polystachya	Himalayan knotweed	2022-07-12	Plantae	8848208	ACCEPTED
Lampropeltis getula	common kingsnake	2022-07-12	Animalia	9799308	ACCEPTED
Limnoperna fortunei	golden mussel	2022-07-12	Animalia	5855350	ACCEPTED
Morone americana	white perch	2022-07-12	Animalia	2394604	ACCEPTED
Pistia stratiotes	water lettuce	2024-08-02	Plantae	2870583	ACCEPTED
Pycnonotus cafer	red-vented bulbul	2022-07-12	Animalia	2486131	ACCEPTED
Rugulopteryx okamurae	algae	2022-07-12	Chromista	5824863	ACCEPTED
Solenopsis geminata	tropical imported fire ant	2022-07-12	Animalia	5035187	ACCEPTED
Solenopsis invicta	red imported fire ant	2022-07-12	Animalia	5035230	ACCEPTED
Solenopsis richteri	black imported fire ant	2022-07-12	Animalia	5035017	ACCEPTED
Wasmannia auropunctata	little fire ant	2022-07-12	Animalia	1315391	ACCEPTED
Xenopus laevis	African clawed frog	2024-08-02	Animalia	5217334	ACCEPTED
