taxonKey	nubKey	taxonID	scientificName	taxonomicStatus	acceptedKey	acceptedName	acceptedTaxonRank	acceptedClassKey	acceptedClass	acceptedKingdom
152545423	3690997	https://www.gbif.org/species/3690997	Cardamine occulta Hornem.	ACCEPTED	3690997	Cardamine occulta Hornem.	SPECIES	220	Magnoliopsida	Plantae
152545424	3046092	https://www.gbif.org/species/3046092	Cardamine parviflora L.	ACCEPTED	3046092	Cardamine parviflora L.	SPECIES	220	Magnoliopsida	Plantae
152545425	3046015	https://www.gbif.org/species/3046015	Cardamine corymbosa Hook.f.	ACCEPTED	3046015	Cardamine corymbosa Hook.f.	SPECIES	220	Magnoliopsida	Plantae
152545427	3045193	https://www.gbif.org/species/3045193	Alyssum strigosum Banks & Sol.	ACCEPTED	3045193	Alyssum strigosum Banks & Sol.	SPECIES	220	Magnoliopsida	Plantae
152545429	3045042	https://www.gbif.org/species/3045042	Alyssum simplex Rudolphi	ACCEPTED	3045042	Alyssum simplex Rudolphi	SPECIES	220	Magnoliopsida	Plantae
152545430	3044912	https://www.gbif.org/species/3044912	Alyssum montanum L.	ACCEPTED	3044912	Alyssum montanum L.	SPECIES	220	Magnoliopsida	Plantae
152545431	3045006	https://www.gbif.org/species/3045006	Alyssum hirsutum M.Bieb.	ACCEPTED	3045006	Alyssum hirsutum M.Bieb.	SPECIES	220	Magnoliopsida	Plantae
152545434	3044349	https://www.gbif.org/species/3044349	Chorispora tenella (Pall.) DC.	ACCEPTED	3044349	Chorispora tenella (Pall.) DC.	SPECIES	220	Magnoliopsida	Plantae
152545436	3044133	https://www.gbif.org/species/3044133	Descurainia pinnata (Walter) Britton	ACCEPTED	3044133	Descurainia pinnata (Walter) Britton	SPECIES	220	Magnoliopsida	Plantae
152545437	3044201	https://www.gbif.org/species/3044201	Descurainia incisa (Engelm. ex A.Gray) Britton	ACCEPTED	3044201	Descurainia incisa (Engelm. ex A.Gray) Britton	SPECIES	220	Magnoliopsida	Plantae
152545439	3053950	https://www.gbif.org/species/3053950	Enarthrocarpus lyratus (Forssk.) DC.	ACCEPTED	3053950	Enarthrocarpus lyratus (Forssk.) DC.	SPECIES	220	Magnoliopsida	Plantae
152545441	3054117	https://www.gbif.org/species/3054117	Aubrieta deltoidea (L.) DC.	ACCEPTED	3054117	Aubrieta deltoidea (L.) DC.	SPECIES	220	Magnoliopsida	Plantae
152545442	3054110	https://www.gbif.org/species/3054110	Aubrieta columnae Guss.	ACCEPTED	3054110	Aubrieta columnae Guss.	SPECIES	220	Magnoliopsida	Plantae
152545444	3053406	https://www.gbif.org/species/3053406	Rorippa austriaca (Crantz) Besser	ACCEPTED	3053406	Rorippa austriaca (Crantz) Besser	SPECIES	220	Magnoliopsida	Plantae
152545446	3053522	https://www.gbif.org/species/3053522	Berteroa incana (L.) DC.	ACCEPTED	3053522	Berteroa incana (L.) DC.	SPECIES	220	Magnoliopsida	Plantae
152545448	7068732	https://www.gbif.org/species/7068732	Arabidopsis arenosa subsp. arenosa	ACCEPTED	7068732	Arabidopsis arenosa subsp. arenosa	SUBSPECIES	220	Magnoliopsida	Plantae
152545449	3052450	https://www.gbif.org/species/3052450	Arabidopsis halleri (L.) O'Kane & Al-Shehbaz	ACCEPTED	3052450	Arabidopsis halleri (L.) O'Kane & Al-Shehbaz	SPECIES	220	Magnoliopsida	Plantae
152545455	3050357	https://www.gbif.org/species/3050357	Bunias erucago L.	ACCEPTED	3050357	Bunias erucago L.	SPECIES	220	Magnoliopsida	Plantae
152545456	3050364	https://www.gbif.org/species/3050364	Bunias orientalis L.	ACCEPTED	3050364	Bunias orientalis L.	SPECIES	220	Magnoliopsida	Plantae
152545458	3047811	https://www.gbif.org/species/3047811	Myagrum perfoliatum L.	ACCEPTED	3047811	Myagrum perfoliatum L.	SPECIES	220	Magnoliopsida	Plantae
152545460	3048203	https://www.gbif.org/species/3048203	Erysimum cheiri (L.) Crantz	ACCEPTED	3048203	Erysimum cheiri (L.) Crantz	SPECIES	220	Magnoliopsida	Plantae
152545461	3048288	https://www.gbif.org/species/3048288	Erysimum diffusum Ehrh.	ACCEPTED	3048288	Erysimum diffusum Ehrh.	SPECIES	220	Magnoliopsida	Plantae
152545462	3048532	https://www.gbif.org/species/3048532	Erysimum marshallii Bois	ACCEPTED	3048532	Erysimum marshallii Bois	SPECIES	220	Magnoliopsida	Plantae
152545463	3048166	https://www.gbif.org/species/3048166	Erysimum repandum L.	ACCEPTED	3048166	Erysimum repandum L.	SPECIES	220	Magnoliopsida	Plantae
152545465	3047621	https://www.gbif.org/species/3047621	Sinapis alba L.	ACCEPTED	3047621	Sinapis alba L.	SPECIES	220	Magnoliopsida	Plantae
152545466	3047633	https://www.gbif.org/species/3047633	Sinapis alba subsp. dissecta (Lag.) Simonk.	ACCEPTED	3047633	Sinapis alba subsp. dissecta (Lag.) Simonk.	SUBSPECIES	220	Magnoliopsida	Plantae
152545469	3916499	https://www.gbif.org/species/3916499	Caylusea abyssinica (Fresen.) Fisch. & C.A.Mey.	ACCEPTED	3916499	Caylusea abyssinica (Fresen.) Fisch. & C.A.Mey.	SPECIES	220	Magnoliopsida	Plantae
152545471	7853188	https://www.gbif.org/species/7853188	Reseda lutea subsp. vivantii (P.Monts.) Rovira	ACCEPTED	7853188	Reseda lutea subsp. vivantii (P.Monts.) Rovira	SUBSPECIES	220	Magnoliopsida	Plantae
152545472	3040253	https://www.gbif.org/species/3040253	Reseda phyteuma L.	ACCEPTED	3040253	Reseda phyteuma L.	SPECIES	220	Magnoliopsida	Plantae
152545473	3040254	https://www.gbif.org/species/3040254	Reseda alba L.	ACCEPTED	3040254	Reseda alba L.	SPECIES	220	Magnoliopsida	Plantae
152545474	3040255	https://www.gbif.org/species/3040255	Reseda odorata L.	ACCEPTED	3040255	Reseda odorata L.	SPECIES	220	Magnoliopsida	Plantae
152545477	2889934	https://www.gbif.org/species/2889934	Tropaeolum majus L.	ACCEPTED	2889934	Tropaeolum majus L.	SPECIES	220	Magnoliopsida	Plantae
152545481	2928226	https://www.gbif.org/species/2928226	Phacelia tanacetifolia Benth.	ACCEPTED	2928226	Phacelia tanacetifolia Benth.	SPECIES	220	Magnoliopsida	Plantae
152545482	2928153	https://www.gbif.org/species/2928153	Phacelia purshii Buckley	ACCEPTED	2928153	Phacelia purshii Buckley	SPECIES	220	Magnoliopsida	Plantae
152545483	2928238	https://www.gbif.org/species/2928238	Phacelia campanularia A.Gray	ACCEPTED	2928238	Phacelia campanularia A.Gray	SPECIES	220	Magnoliopsida	Plantae
152545485	7536406	https://www.gbif.org/species/7536406	Nemophila menziesii var. integrifolia Brand	ACCEPTED	7536406	Nemophila menziesii var. integrifolia Brand	VARIETY	220	Magnoliopsida	Plantae
152545487	2928034	https://www.gbif.org/species/2928034	Nemophila maculata Benth. ex Lindl.	ACCEPTED	2928034	Nemophila maculata Benth. ex Lindl.	SPECIES	220	Magnoliopsida	Plantae
152545490	7806790	https://www.gbif.org/species/7806790	Arnebia decumbens (Vent.) Coss. & Kralik	ACCEPTED	7806790	Arnebia decumbens (Vent.) Coss. & Kralik	SPECIES	220	Magnoliopsida	Plantae
152545492	8227753	https://www.gbif.org/species/8227753	Anchusa procera Besser	DOUBTFUL	8227753	Anchusa procera Besser	SPECIES	220	Magnoliopsida	Plantae
152545493	7295374	https://www.gbif.org/species/7295374	Anchusa officinalis subsp. officinalis	ACCEPTED	7295374	Anchusa officinalis subsp. officinalis	SUBSPECIES	220	Magnoliopsida	Plantae
152545494	5662089	https://www.gbif.org/species/5662089	Anchusa ochroleuca M.Bieb.	ACCEPTED	5662089	Anchusa ochroleuca M.Bieb.	SPECIES	220	Magnoliopsida	Plantae
152545495	5341198	https://www.gbif.org/species/5341198	Anchusa azurea Mill.	ACCEPTED	5341198	Anchusa azurea Mill.	SPECIES	220	Magnoliopsida	Plantae
152545497	7958783	https://www.gbif.org/species/7958783	Pulmonaria mollis Wulfen ex Hornem.	ACCEPTED	7958783	Pulmonaria mollis Wulfen ex Hornem.	SPECIES	220	Magnoliopsida	Plantae
152545498	7294681	https://www.gbif.org/species/7294681	Pulmonaria longifolia (Bastard) Boreau	ACCEPTED	7294681	Pulmonaria longifolia (Bastard) Boreau	SPECIES	220	Magnoliopsida	Plantae
152545499	5660450	https://www.gbif.org/species/5660450	Pulmonaria rubra Schott	ACCEPTED	5660450	Pulmonaria rubra Schott	SPECIES	220	Magnoliopsida	Plantae
152545500	5341203	https://www.gbif.org/species/5341203	Pulmonaria saccharata Mill.	ACCEPTED	5341203	Pulmonaria saccharata Mill.	SPECIES	220	Magnoliopsida	Plantae
152545501	5341204	https://www.gbif.org/species/5341204	Pulmonaria officinalis L.	ACCEPTED	5341204	Pulmonaria officinalis L.	SPECIES	220	Magnoliopsida	Plantae
