taxonKey	taxonName	reappearance_year	years_without_occurrences	acceptedKingdom
5128034	Dryas iulia	2023	6	Animalia
5391845	Bidens pilosa	2023	6	Plantae
5895429	Natantiella ligneola	2023	6	Fungi
6436603	Hypericum hircinum	2023	6	Plantae
2010226	Sthenarus rotermundi	2023	5	Animalia
2443079	Graptemys ouachitensis	2023	5	Animalia
2479498	Polytelis anthopeplus	2023	5	Animalia
2498411	Amazonetta brasiliensis	2023	5	Animalia
2890651	Geranium psilostemon	2023	5	Plantae
4497180	Andricus aries	2023	5	Animalia
5303891	Danae racemosa	2023	5	Plantae
5334253	Lonicera involucrata	2023	5	Plantae
5359169	Trifolium michelianum	2023	5	Plantae
5411453	Campanula medium	2023	5	Plantae
7277106	Helleborus lividus	2023	5	Plantae
7322122	Davidia involucrata	2023	5	Plantae
7577557	Bispira polyomma	2023	5	Animalia
7664179	Technomyrmex vitiensis	2023	5	Animalia
10933479	Haliclona xena	2023	5	Animalia
7992320	Phorcus lineatus	2022	38	Animalia
2172885	Evarcha jucunda	2022	27	Animalia
2474162	Coturnix japonica	2022	24	Animalia
3002530	Rosa gallica	2022	22	Plantae
6068804	Cenchrus petiolaris	2022	22	Plantae
2492196	Melospiza melodia	2022	18	Animalia
2873995	Isotrema macrophyllum	2022	18	Plantae
2874692	Frankenia pulverulenta	2022	18	Plantae
2925530	Verbena urticifolia	2022	17	Plantae
3100375	Acanthospermum hispidum	2022	17	Plantae
5375020	Arabis alpina	2022	17	Plantae
5220086	Megaptera novaeangliae	2022	16	Animalia
2891661	Oxalis pes-caprae	2022	14	Plantae
2489071	Lamprotornis chalybaeus	2022	13	Animalia
2498094	Anas capensis	2022	13	Animalia
2498288	Coscoroba coscoroba	2022	13	Animalia
2986022	Philadelphus pubescens	2022	12	Plantae
3025605	Cotoneaster zabelii	2022	12	Plantae
11064584	Salvia abrotanoides	2022	12	Plantae
2498350	Somateria spectabilis	2022	11	Animalia
2705339	Eragrostis mexicana	2022	11	Plantae
2889010	Rumex cristatus	2022	11	Plantae
2996897	Rubus setchuenensis	2022	11	Plantae
5360429	Trigonella caelesyriaca	2022	11	Plantae
3066993	Euphorbia dentata	2022	10	Plantae
3596131	Halimium lasianthum subsp. alyssoides (Lam.) Greuter	2022	10	Plantae
4033335	Bistorta affinis	2022	10	Plantae
5411392	Campanula lactiflora	2022	10	Plantae
7372514	Malcolmia maritima	2022	10	Plantae
8237223	Halimium lasianthum	2022	10	Plantae
1803163	Utetheisa pulchella	2022	9	Animalia
2772958	Ornithogalum narbonense	2022	9	Plantae
