taxonKey	canonicalName	kingdom	class	em_pts	mean_growth	year_2023_em_status_occupancy_natura2000_Wallonia	year_2023_em_status_occs_natura2000_Wallonia	year_2022_em_status_occupancy_natura2000_Wallonia	year_2022_em_status_occs_natura2000_Wallonia	year_2021_em_status_occupancy_natura2000_Wallonia	year_2021_em_status_occs_natura2000_Wallonia	kingdomKey	classKey
3036033	Hedera colchica	Plantae	Magnoliopsida	21.5		1	1	3	3	3	2	6	220
3133887	Coreopsis verticillata	Plantae	Magnoliopsida	21.5		1	1	3	3	3	2	6	220
3189073	Epilobium brachycarpum	Plantae	Magnoliopsida	21.5		1	1	3	3	3	2	6	220
5284982	Pinus strobus	Plantae	Pinopsida	21.5		1	1	3	3	3	2	6	194
2686212	Larix decidua	Plantae	Pinopsida	21		2	2	2	2	2	2	6	194
2891774	Impatiens capensis	Plantae	Magnoliopsida	21		1	1	3	2	3	3	6	220
2984676	Pachysandra terminalis	Plantae	Magnoliopsida	21		1	1	3	3	2	3	6	220
3003709	Rosa glauca	Plantae	Magnoliopsida	21		2	2	2	2	2	2	6	220
3067119	Euphorbia maculata	Plantae	Magnoliopsida	21		2	2	2	2	2	2	6	220
3140436	Lactuca macrophylla	Plantae	Magnoliopsida	21		1	1	3	3	2	3	6	220
3152861	Liriodendron tulipifera	Plantae	Magnoliopsida	21		2	2	2	2	2	2	6	220
3886505	Phlomis russeliana	Plantae	Magnoliopsida	21		1	1	3	2	3	3	6	220
5341497	Nepeta racemosa	Plantae	Magnoliopsida	21		2	2	2	2	2	2	6	220
5375020	Arabis alpina	Plantae	Magnoliopsida	21		1	1	3	2	3	3	6	220
5410151	Campanula poscharskyana	Plantae	Magnoliopsida	21		2	2	2	2	2	2	6	220
7222255	Lactuca macrophylla macrophylla	Plantae	Magnoliopsida	21		1	1	3	3	2	3	6	220
2873877	Linum austriacum	Plantae	Magnoliopsida	20.5		1	1	2	3	3	3	6	220
3084022	Phytolacca acinosa	Plantae	Magnoliopsida	20	0.92363326043699	2	1	3	1	3	1	6	220
3012089	Sorbaria sorbifolia	Plantae	Magnoliopsida	20	0.8734734911923525	2	1	3	1	3	1	6	220
3026092	Cotoneaster hjelmqvistii	Plantae	Magnoliopsida	20	0.8636303728326106	2	1	3	1	3	1	6	220
2705090	Panicum miliaceum	Plantae	Liliopsida	20		1	1	3	3	2	2	6	196
3084015	Phytolacca americana	Plantae	Magnoliopsida	20		1	1	3	3	2	2	6	220
3666422	Chamaenerion dodonaei	Plantae	Magnoliopsida	20		2	2	2	3	1	1	6	220
5284237	Cryptomeria japonica	Plantae	Pinopsida	20		2	2	1	1	3	3	6	194
7266329	Salix alba alba	Plantae	Magnoliopsida	20		1	1	3	2	3	2	6	220
3040233	Populus alba	Plantae	Magnoliopsida	19.5	1.1085428902384564	1	3	1	3	1	3	6	220
3021730	Prunus cerasifera	Plantae	Magnoliopsida	19.5	1.0951327284750407	1	3	1	3	1	3	6	220
2882482	Calluna vulgaris	Plantae	Magnoliopsida	19.5	1.0536859877429292	1	3	1	3	1	3	6	220
3128225	Centaurea nigra	Plantae	Magnoliopsida	19.5	1.019786255423167	1	3	1	3	1	3	6	220
3690997	Cardamine occulta	Plantae	Magnoliopsida	19.5		2	2	3	3	0	0	6	220
7266343	Salix purpurea purpurea	Plantae	Magnoliopsida	19.5		3	3	1	1	1	1	6	220
2767275	Scilla forbesii	Plantae	Liliopsida	19		1	1	2	2	3	3	6	196
2772094	Muscari botryoides	Plantae	Liliopsida	19		1	1	2	2	3	3	6	196
2772666	Hyacinthus orientalis	Plantae	Liliopsida	19		1	1	2	2	3	3	6	196
2888579	Leycesteria formosa	Plantae	Magnoliopsida	19		1	1	2	2	3	3	6	220
3033261	Anemone coronaria	Plantae	Magnoliopsida	19		1	1	2	2	3	3	6	220
3054117	Aubrieta deltoidea	Plantae	Magnoliopsida	19		1	1	2	2	3	3	6	220
3067353	Euphorbia characias	Plantae	Magnoliopsida	19		1	1	2	2	3	3	6	220
3190522	Cotinus coggygria	Plantae	Magnoliopsida	19		1	1	2	2	3	3	6	220
7291264	Bistorta amplexicaulis	Plantae	Magnoliopsida	19		1	1	2	2	3	3	6	220
8080743	Scilla siberica	Plantae	Liliopsida	19		1	1	2	2	3	3	6	196
8313153	Quercus palustris	Plantae	Magnoliopsida	19		1	1	2	2	3	3	6	220
3147168	Erigeron karvinskianus	Plantae	Magnoliopsida	18.5	0.9653322301871924	2	1	2	1	2	3	6	220
3172291	Ligustrum ovalifolium	Plantae	Magnoliopsida	18.5	0.9637808411323194	2	1	3	1	2	1	6	220
3042845	Brassica oleracea	Plantae	Magnoliopsida	18.5	0.9602669101653878	2	1	3	1	2	1	6	220
5410411	Campanula portenschlagiana	Plantae	Magnoliopsida	18.5	0.953400692077968	2	1	3	1	2	1	6	220
5362054	Crassula helmsii	Plantae	Magnoliopsida	18.5	0.8903906836487653	2	1	3	1	2	1	6	220
3190653	Ailanthus altissima	Plantae	Magnoliopsida	18.5	0.8613177170907627	2	1	3	1	2	1	6	220
3026162	Cotoneaster franchetii	Plantae	Magnoliopsida	18.5		1	1	3	2	2	2	6	220
3169137	Euonymus fortunei	Plantae	Magnoliopsida	18.5		2	2	2	2	1	1	6	220
3170040	Gentiana lutea	Plantae	Magnoliopsida	18.5		1	2	2	2	2	2	6	220
5284884	Picea abies	Plantae	Pinopsida	18	0.9421521295796588	3	0	3	0	3	0	6	194
3602683	Papaver cambricum	Plantae	Magnoliopsida	18	0.8811168001548008	2	1	2	1	3	1	6	220
5421039	Ludwigia grandiflora	Plantae	Magnoliopsida	18	0.8663818744784961	2	1	2	1	3	1	6	220
8149923	Prunus persica	Plantae	Magnoliopsida	18	0.8533182424536336	2	1	2	1	3	1	6	220
7802465	Nymphaea marliacea	Plantae	Magnoliopsida	18	0.8209847351889795	2	1	2	1	3	1	6	220
3026294	Cotoneaster bullatus	Plantae	Magnoliopsida	18	0.667918904701639	2	1	2	1	3	1	6	220
2869311	Lysichiton americanus	Plantae	Liliopsida	18		1	1	2	2	3	2	6	196
8288647	Pterocarya fraxinifolia	Plantae	Magnoliopsida	18		1	1	2	2	3	2	6	220
2684191	Taxodium distichum	Plantae	Pinopsida	17.5		1	1	3	3	1	1	6	194
2767428	Puschkinia scilloides	Plantae	Liliopsida	17.5		1	1	3	3	1	1	6	196
2875968	Corylus colurna	Plantae	Magnoliopsida	17.5		1	1	3	3	1	1	6	220
2913169	Galium parisiense	Plantae	Magnoliopsida	17.5		2	2	1	1	2	2	6	220
2925816	Cynoglossum amabile	Plantae	Magnoliopsida	17.5		1	1	3	3	1	1	6	220
3064669	Euphorbia myrsinites	Plantae	Magnoliopsida	17.5		1	1	3	3	1	1	6	220
3082279	Ceratostigma plumbaginoides	Plantae	Magnoliopsida	17.5		1	1	3	3	1	1	6	220
3085420	Dianthus caryophyllus	Plantae	Magnoliopsida	17.5		1	1	3	3	1	1	6	220
3170247	Asclepias syriaca	Plantae	Magnoliopsida	17.5		2	2	1	1	2	2	6	220
4102952	Knautia macedonica	Plantae	Magnoliopsida	17.5		1	1	3	3	1	1	6	220
4201709	Sempervivum arachnoideum	Plantae	Magnoliopsida	17.5		1	1	3	3	1	1	6	220
5341201	Anchusa officinalis	Plantae	Magnoliopsida	17.5		1	1	3	3	1	1	6	220
5391928	Bidens triplinervia	Plantae	Magnoliopsida	17.5		1	1	3	3	1	1	6	220
6096602	Lophocolea semiteres	Plantae	Jungermanniopsida	17.5		2	2	1	1	2	2	6	126
7433196	Euonymus latifolius	Plantae	Magnoliopsida	17.5		1	1	3	3	1	1	6	220
8207952	Matthiola incana (L.) R.Br.	Plantae	Magnoliopsida	17.5		1	1	3	3	1	1	6	220
3026049	Cotoneaster dammeri	Plantae	Magnoliopsida	17		2	3	1	1	1	1	6	220
3146683	Erigeron sumatrensis	Plantae	Magnoliopsida	16.5	0.9423977184052956	2	1	2	1	2	1	6	220
