taxonKey	canonicalName	kingdom	class	em_pts	mean_growth	year_2023_em_status_occupancy_natura2000_Flanders	year_2023_em_status_occs_natura2000_Flanders	year_2023_em_status_occupancy_Flanders	year_2023_em_status_occs_Flanders	year_2022_em_status_occupancy_natura2000_Flanders	year_2022_em_status_occs_natura2000_Flanders	year_2022_em_status_occupancy_Flanders	year_2022_em_status_occs_Flanders	year_2021_em_status_occupancy_natura2000_Flanders	year_2021_em_status_occs_natura2000_Flanders	year_2021_em_status_occupancy_Flanders	year_2021_em_status_occs_Flanders	kingdomKey	classKey
5218786	Procyon lotor	Animalia	Mammalia	69.5		3	3	2	3	3	3	3	3	3	3	3	3	1	359
2687210	Tsuga heterophylla	Plantae	Pinopsida	69	1.098507505977493	2	3	3	3	3	3	3	3	3	3	3	3	6	194
6164210	Canis lupus familiaris	Animalia	Mammalia	69		3	3	3	2	3	3	3	3	3	3	3	2	1	359
1346919	Isodontia mexicana	Animalia	Insecta	68.5		3	3	3	3	3	2	3	3	3	2	3	3	1	216
1622658	Rhagoletis completa	Animalia	Insecta	68.5		3	3	3	3	3	3	2	2	3	3	3	3	1	216
5328909	Sagittaria latifolia	Plantae	Liliopsida	67.5	1.1744952344322017	3	3	3	3	2	3	3	3	2	3	3	3	6	196
2928238	Phacelia campanularia	Plantae	Magnoliopsida	67.5		3	3	2	2	3	3	3	3	3	3	3	3	6	220
2685361	Abies grandis	Plantae	Pinopsida	67	1.0830154231751346	2	3	3	3	3	3	3	3	2	3	3	3	6	194
1997215	Blattella germanica	Animalia	Insecta	66.5	2.341771108209539	2	2	3	3	3	3	3	3	3	3	3	3	1	216
2473477	Syrmaticus reevesii	Animalia	Aves	66.5	1.0348881773963947	2	3	2	3	3	3	3	3	3	3	3	3	1	212
1421095	Ctenolepisma lineata	Animalia	Insecta	66.5		2	2	3	3	3	3	3	3	3	3	3	3	1	216
5959231	Ara ararauna	Animalia	Aves	66		3	2	3	3	3	2	3	2	3	3	3	3	1	212
2888859	Muehlenbeckia complexa	Plantae	Magnoliopsida	65.5		3	3	2	2	3	3	2	3	3	3	3	3	6	220
2650827	Cyrtomium fortunei	Plantae	Polypodiopsida	64.5	1.300498239549317	2	3	3	3	2	3	3	3	2	3	3	3	6	7228684
2772094	Muscari botryoides	Plantae	Liliopsida	64.5	1.0997552221701004	2	3	3	3	2	3	3	3	2	3	3	3	6	196
5328593	Aponogeton distachyos	Plantae	Liliopsida	64	1.1184449778442067	3	3	3	3	2	3	2	3	2	3	2	3	6	196
2225772	Hemigrapsus sanguineus	Animalia	Malacostraca	64	1.0914270663498342	2	3	2	3	2	3	3	3	3	3	3	3	1	229
4063383	Trachystemon orientale	Plantae	Magnoliopsida	64	1.0221208187966253	3	3	2	3	3	3	2	3	2	3	2	3	6	220
5806954	Tarsostenus carus	Animalia	Insecta	64		3	3	2	2	3	3	2	2	3	3	3	3	1	216
3152861	Liriodendron tulipifera	Plantae	Magnoliopsida	63	1.0621353592460245	2	3	2	3	3	3	3	3	2	3	2	3	6	220
1852831	Blastobasis adustella	Animalia	Insecta	63		1	3	3	3	3	3	3	3	3	1	3	3	1	216
9185677	Podarcis siculus	Animalia	Squamata	62.5		3	3	3	3	3	3	3	3	1	1	2	2	1	11592253
3172615	Catalpa bignonioides	Plantae	Magnoliopsida	62	1.1447268072721057	2	3	2	3	2	3	2	3	3	3	3	3	6	220
5358907	Trifolium alexandrinum	Plantae	Magnoliopsida	62	1.1275899005553642	2	3	2	3	2	3	2	3	3	3	3	3	6	220
3120692	Artemisia crithmifolia	Plantae	Magnoliopsida	62	1.1054984215354544	2	3	2	3	2	3	2	3	3	3	3	3	6	220
2149679	Holocnemus pluchei	Animalia	Arachnida	62		2	2	2	2	3	3	3	3	3	3	3	3	1	367
2153287	Zoropsis spinimana	Animalia	Arachnida	62		2	2	2	2	3	3	3	3	3	3	3	3	1	367
2227300	Procambarus clarkii	Animalia	Malacostraca	62		3	3	3	2	2	2	2	2	3	3	3	3	1	229
2857017	Allium paradoxum	Plantae	Liliopsida	62		2	2	2	2	3	3	3	3	3	3	3	3	6	196
3098951	Cosmos sulphureus	Plantae	Magnoliopsida	62		2	2	2	2	3	3	3	3	3	3	3	3	6	220
5179027	Scutigera coleoptrata	Animalia	Chilopoda	62		2	2	2	2	3	3	3	3	3	3	3	3	1	360
5188971	Rangia cuneata	Animalia	Bivalvia	62		2	2	2	2	3	3	3	3	3	3	3	3	1	137
2473341	Numida meleagris	Animalia	Aves	61.5	1.43730297828108	3	3	2	3	2	2	2	3	3	2	3	3	1	212
5229205	Eudocimus albus	Animalia	Aves	61	1.2248874654587494	3	2	3	3	3	3	3	3	1	1	2	3	1	212
3171952	Verbascum speciosum	Plantae	Magnoliopsida	60.5	1.2543379064862283	2	3	2	3	2	3	2	3	3	3	2	3	6	220
3002530	Rosa gallica	Plantae	Magnoliopsida	60		3	3	3	3	3	3	3	3	1	1	1	1	6	220
2767229	Scilla sardensis	Plantae	Liliopsida	59.5		2	2	2	2	2	3	3	3	3	3	3	3	6	196
5284237	Cryptomeria japonica	Plantae	Pinopsida	59.5		2	2	2	2	3	3	3	3	3	2	3	2	6	194
2928026	Nemophila menziesii	Plantae	Magnoliopsida	58.5	1.081561300781737	2	2	2	3	3	2	2	3	3	2	3	3	6	220
2498252	Alopochen aegyptiaca	Animalia	Aves	58.5	0.973554590477679	3	3	3	0	3	3	3	0	3	3	3	0	1	212
2767271	Scilla luciliae	Plantae	Liliopsida	58.5		2	2	2	2	3	3	2	2	3	3	3	3	6	196
2767428	Puschkinia scilloides	Plantae	Liliopsida	58.5		1	1	3	3	3	3	3	3	3	3	2	2	6	196
2956441	Colutea media	Plantae	Magnoliopsida	58.5		2	2	2	2	3	3	2	2	3	3	3	3	6	220
4102952	Knautia macedonica	Plantae	Magnoliopsida	58.5		2	2	2	2	3	2	3	3	3	3	2	3	6	220
2747564	Crocus tommasinianus	Plantae	Liliopsida	58	1.29351962562163	2	3	0	3	3	3	2	3	3	3	2	3	6	196
2493633	Taeniopygia guttata	Animalia	Aves	58	1.0917435384607508	3	3	1	3	3	3	1	3	2	3	1	3	1	212
5372655	Salix eleagnos	Plantae	Magnoliopsida	58	1.0662144172899992	3	3	1	3	3	3	1	3	2	3	1	3	6	220
8323485	Haemorhous mexicanus	Animalia	Aves	58		3	2	2	2	3	2	2	2	3	2	3	3	1	212
7266329	Salix alba alba	Plantae	Magnoliopsida	57.5	1.2485913574784249	1	3	2	3	2	3	2	3	3	3	2	3	6	220
5228034	Chrysolophus pictus	Animalia	Aves	57.5	1.0361465813158084	2	3	2	3	1	3	2	3	2	3	3	3	1	212
3602683	Papaver cambricum	Plantae	Magnoliopsida	57	1.2603818835355318	2	3	1	3	3	3	1	3	3	3	1	3	6	220
2498344	Cygnus atratus	Animalia	Aves	57	1.2512381505850159	1	3	3	3	1	3	3	3	1	3	3	3	1	212
2891783	Impatiens balfourii	Plantae	Magnoliopsida	57	1.1693472027710365	2	1	2	3	2	3	2	3	3	3	3	3	6	220
2498388	Aix galericulata	Animalia	Aves	57	1.0971663894190506	1	3	3	3	1	3	3	3	1	3	3	3	1	212
2747567	Crocus vernus	Plantae	Liliopsida	57	1.087404708799191	2	3	1	3	3	3	1	3	3	3	1	3	6	196
5289686	Setaria verticillata	Plantae	Liliopsida	57	1.0367466468859419	1	3	3	3	1	3	3	3	1	3	3	3	6	196
8537667	Chondrilla juncea	Plantae	Magnoliopsida	57	0.9073332461305822	3	3	2	1	3	3	3	1	2	3	2	1	6	220
5123474	Anthophila nemorana	Animalia	Insecta	57		3	2	2	2	2	2	2	2	3	3	3	3	1	216
5420978	Clarkia amoena	Plantae	Magnoliopsida	57		3	2	2	2	2	2	2	2	3	3	3	3	6	220
5361888	Morus nigra	Plantae	Magnoliopsida	56.5	1.027093920073562	1	1	2	3	3	3	2	3	3	3	3	3	6	220
1017419	Oxidus gracilis	Animalia	Diplopoda	56.5		1	1	2	2	3	3	3	3	3	3	3	3	1	361
2227289	Procambarus acutus	Animalia	Malacostraca	56.5		2	2	3	2	2	2	2	2	3	3	3	3	1	229
2855439	Galanthus woronowii	Plantae	Liliopsida	56.5		2	2	3	2	3	3	2	3	2	2	2	2	6	196
3034782	Smyrnium olusatrum	Plantae	Magnoliopsida	56.5		2	2	2	2	3	2	2	2	3	3	3	3	6	220
3131614	Helichrysum italicum	Plantae	Magnoliopsida	56	1.0678825168917032	1	1	1	3	3	3	3	3	3	3	3	3	6	220
2956442	Colutea orientalis	Plantae	Magnoliopsida	56		3	3	3	3	1	1	1	1	3	3	3	3	6	220
5041466	Sceliphron caementarium	Animalia	Insecta	56		3	3	3	3	1	1	3	3	1	1	3	3	1	216
2479407	Myiopsitta monachus	Animalia	Aves	55.5	1.201557454879155	2	2	2	3	3	3	3	3	1	1	2	3	1	212
8190231	Corbicula fluminea	Animalia	Bivalvia	55.5	0.8281711442323645	2	3	3	0	3	3	3	0	3	3	3	0	1	137
2294284	Otala lactea	Animalia	Gastropoda	55.5		1	1	3	2	3	2	3	2	3	3	3	3	1	225
3133938	Coreopsis lanceolata	Plantae	Magnoliopsida	55	1.1136694812705712	2	3	1	3	3	3	1	3	2	3	1	3	6	220
7681436	Cytisus multiflorus	Plantae	Magnoliopsida	55	0.9070714949103511	2	2	2	1	3	2	3	1	3	3	3	3	6	220
1622599	Rhagoletis cingulata	Animalia	Insecta	55	0.7974214047305859	2	2	2	1	3	3	3	1	3	3	3	1	1	216
5154481	Stictocephala bisonia	Animalia	Insecta	55		2	2	3	3	2	2	2	2	2	2	3	3	1	216
5228229	Balearica regulorum	Animalia	Aves	54.5	1.1027554285823042	2	2	2	3	2	2	3	3	2	2	2	3	1	212
2986111	Ribes aureum	Plantae	Magnoliopsida	54.5	1.0095950389709045	2	3	1	3	2	3	1	3	3	3	1	3	6	220
5421180	Koelreuteria paniculata	Plantae	Magnoliopsida	54.5	0.9746988595545839	2	2	2	2	3	2	3	2	3	2	2	2	6	220
2078852	Nezara viridula	Animalia	Insecta	54	1.404746779129403	3	3	0	3	3	3	0	3	3	3	0	3	1	216
3042845	Brassica oleracea	Plantae	Magnoliopsida	54	1.061359889533824	1	3	1	3	3	3	1	3	3	3	1	3	6	220
2495414	Columba livia	Animalia	Aves	54	0.9784628338945195	3	1	3	1	3	1	3	1	3	3	3	1	1	212
2443002	Trachemys scripta	Animalia	Testudines	54		2	2	2	2	2	2	2	2	3	3	3	3	1	11418114
2856780	Allium cristophii	Plantae	Liliopsida	54		2	2	2	2	2	2	2	2	3	3	3	3	6	196
2859597	Ipheion uniflorum	Plantae	Liliopsida	54		2	2	2	2	2	2	2	2	3	3	3	3	6	196
2869597	Sauromatum venosum	Plantae	Liliopsida	54		3	3	2	2	1	1	2	3	3	3	2	2	6	196
2927744	Phlox paniculata	Plantae	Magnoliopsida	54		1	2	3	3	3	2	2	2	3	2	2	2	6	220
2650829	Cyrtomium falcatum	Plantae	Polypodiopsida	53.5	1.099553467459995	3	3	2	3	1	1	3	3	1	1	3	3	6	7228684
2891755	Oxalis latifolia	Plantae	Magnoliopsida	52.5	1.1567586321711	2	3	1	3	2	3	1	3	2	3	1	3	6	220
7332415	Chaenorhinum origanifolium	Plantae	Magnoliopsida	52.5	1.104560221242862	1	1	1	3	3	3	3	3	2	2	3	3	6	220
7332416	Chaenorhinum origanifolium origanifolium	Plantae	Magnoliopsida	52.5	1.104560221242862	1	1	1	3	3	3	3	3	2	2	3	3	6	220
2888323	Clethra alnifolia	Plantae	Magnoliopsida	52.5	1.1003212836888123	2	2	2	3	2	2	2	3	2	2	2	3	6	220
2498408	Lophodytes cucullatus	Animalia	Aves	52.5	1.0393903014188766	2	3	1	3	2	3	1	3	2	3	1	3	1	212
2857697	Allium cepa	Plantae	Liliopsida	52.5	1.0229336751612366	2	2	2	3	2	2	2	3	2	2	2	3	6	196
4483971	Populicerus albicans	Animalia	Insecta	52.5		2	2	2	2	3	3	2	2	2	2	2	2	1	216
10801424	Salvia yangii	Plantae	Magnoliopsida	52.5		2	2	2	2	3	3	2	2	2	2	2	2	6	220
1749449	Cameraria ohridella	Animalia	Insecta	52	1.1262433867857231	3	3	2	3	1	1	3	3	1	1	2	3	1	216
2174528	Saitis barbipes	Animalia	Arachnida	52		1	1	2	2	2	2	3	3	3	3	3	3	1	367
2480446	Haliaeetus leucocephalus	Animalia	Aves	52		3	3	2	2	3	3	3	3	0	0	1	1	1	212
2684984	Araucaria araucana	Plantae	Pinopsida	52		1	1	1	1	3	3	3	3	3	3	3	3	6	194
2888435	Papaver bracteatum	Plantae	Magnoliopsida	52		1	1	1	1	3	3	3	3	3	3	3	3	6	220
5371655	Halesia carolina	Plantae	Magnoliopsida	52		1	1	1	1	3	3	3	3	3	3	3	3	6	220
9583342	Spatula puna	Animalia	Aves	52		1	1	1	1	3	3	3	3	3	3	3	3	1	212
3136320	Hieracium amplexicaule	Plantae	Magnoliopsida	51.5	1.0685690085832482	1	1	2	3	3	1	3	3	3	1	3	3	6	220
7989836	Symphytum caucasicum	Plantae	Magnoliopsida	51.5	1.048355692904204	2	1	2	3	2	1	2	3	3	3	2	3	6	220
2651826	Adiantum raddianum	Plantae	Polypodiopsida	51.5	1.039191847172286	1	1	2	3	3	2	2	3	3	2	2	3	6	7228684
1031684	Lepinotus patruelis	Animalia	Insecta	51.5	0.9231254429570596	2	2	2	1	3	3	3	1	2	2	3	1	1	216
1852787	Blastobasis lacticolella	Animalia	Insecta	51.5		3	2	3	2	1	2	2	2	3	1	2	2	1	216
2000204	Periplaneta australasiae	Animalia	Insecta	51.5		3	3	2	2	1	1	3	3	1	1	3	3	1	216
5218823	Mustela vison	Animalia	Mammalia	51.5		2	2	2	2	2	3	2	3	2	2	2	2	1	359
5341558	Gilia tricolor	Plantae	Magnoliopsida	51.5		2	2	2	2	2	2	2	2	3	3	2	2	6	220
1421091	Lepisma saccharinum	Animalia	Insecta	51	1.5884222868844167	2	3	0	3	3	3	0	3	3	3	0	3	1	216
2498035	Anser indicus	Animalia	Aves	51	1.223404204533369	1	3	2	3	1	3	2	3	1	3	2	3	1	212
2479226	Psittacula krameri	Animalia	Aves	51	1.2010883438561368	1	2	3	3	1	2	3	3	1	2	3	3	1	212
3033896	Berberis thunbergii	Plantae	Magnoliopsida	51	1.1545849332574936	2	3	0	3	3	3	0	3	3	3	0	3	6	220
3664589	Oenothera lindheimeri	Plantae	Magnoliopsida	51	1.1190509690268866	2	2	1	3	3	3	1	3	2	2	1	3	6	220
3067353	Euphorbia characias	Plantae	Magnoliopsida	51	1.092854320040037	2	3	0	3	3	3	0	3	3	3	0	3	6	220
7346102	Erythranthe guttata	Plantae	Magnoliopsida	51	1.0208376969056385	2	3	0	3	3	3	0	3	3	3	0	3	6	220
2479553	Agapornis personatus	Animalia	Aves	51		3	3	1	1	3	3	3	3	1	1	1	1	1	212
2490384	Cardinalis cardinalis	Animalia	Aves	51		3	3	2	2	3	3	2	2	0	0	2	2	1	212
2855398	Galanthus elwesii	Plantae	Liliopsida	51		1	1	2	2	3	2	2	2	3	3	3	3	6	196
3856436	Viburnum davidi	Plantae	Magnoliopsida	51		3	3	3	3	1	1	1	1	3	3	1	1	6	220
3189828	Aesculus parviflora	Plantae	Magnoliopsida	50.5	1.2143524114390565	1	1	2	3	2	3	2	3	2	2	3	3	6	220
3064221	Euphorbia serpens	Plantae	Magnoliopsida	50.5	1.1048536260792023	1	1	2	3	2	2	3	3	2	2	3	3	6	220
5408682	Lobelia pedunculata	Plantae	Magnoliopsida	50.5	0.9496688196414048	2	2	2	1	2	2	2	1	3	3	3	3	6	220
3111754	Zinnia elegans	Plantae	Magnoliopsida	50.5	0.8812079873722521	3	2	3	1	2	2	2	1	2	2	3	1	6	220
7127354	Cyclamen coum	Plantae	Magnoliopsida	50.5	0.7976515682114061	2	2	2	0	3	3	3	0	3	3	3	0	6	220
3085357	Saponaria ocymoides	Plantae	Magnoliopsida	50.5	0.6411279589354415	2	2	2	0	3	3	3	0	3	3	3	0	6	220
2038171	Opsius stactogalus	Animalia	Insecta	50.5		2	1	3	3	3	1	3	3	1	1	2	2	1	216
2437450	Tamias sibiricus	Animalia	Mammalia	50.5		2	2	2	2	2	2	2	2	2	3	2	3	1	359
2781103	Hemerocallis lilioasphodelus	Plantae	Liliopsida	50.5		2	2	2	2	2	2	2	2	2	2	3	3	6	196
3026040	Cotoneaster suecicus	Plantae	Magnoliopsida	50.5		2	2	3	2	2	2	2	2	2	2	2	2	6	220
3040999	Raphanus raphanistrum landra	Plantae	Magnoliopsida	50	1.0524513027016658	2	1	2	3	2	1	2	3	3	1	3	3	6	220
2889304	Persicaria capitata	Plantae	Magnoliopsida	50	1.0455733525516826	1	1	3	3	1	1	2	3	3	3	3	3	6	220
2498390	Marmaronetta angustirostris	Animalia	Aves	50	1.0347042069042376	2	1	2	3	2	1	2	3	3	1	3	3	1	212
3040184	Populus balsamifera	Plantae	Magnoliopsida	50	0.9492743878498026	2	2	2	1	3	2	3	1	3	2	2	1	6	220
1737131	Epiphyas postvittana	Animalia	Insecta	50		2	2	2	2	3	3	3	3	1	1	1	1	1	216
2029273	Zygina nivea	Animalia	Insecta	50		1	1	1	1	3	3	2	3	3	3	3	3	1	216
5229134	Vanellus miles	Animalia	Aves	50		2	2	2	2	3	3	3	3	1	1	1	1	1	212
7334368	Umbilicus rupestris	Plantae	Magnoliopsida	50		1	1	1	1	3	3	2	3	3	3	3	3	6	220
8406661	Silene uniflora	Plantae	Magnoliopsida	50		3	2	2	2	3	2	2	2	1	1	2	2	6	220
1047536	Leptinotarsa decemlineata	Animalia	Insecta	49.5	1.4224183411146991	0	3	3	3	0	3	3	3	0	3	3	3	1	216
3190522	Cotinus coggygria	Plantae	Magnoliopsida	49.5	0.8423005220351744	2	2	2	1	3	2	3	1	2	2	3	1	6	220
2495494	Geopelia cuneata	Animalia	Aves	49	1.219873458364876	3	2	3	3	0	0	3	3	1	1	3	3	1	212
8080743	Scilla siberica	Plantae	Liliopsida	49	1.100141279179201	2	3	0	3	3	3	0	3	2	3	0	3	6	196
5538946	Pimpinella peregrina	Plantae	Magnoliopsida	49	1.0222944674278065	1	1	1	3	3	1	3	3	3	1	3	3	6	220
2928668	Dichondra argentea	Plantae	Magnoliopsida	49		1	1	1	1	3	2	3	3	3	3	3	2	6	220
8408816	Colchicum byzantinum	Plantae	Liliopsida	49		3	3	1	1	1	1	3	3	3	3	1	1	6	196
2891707	Oxalis debilis	Plantae	Magnoliopsida	48.5	1.1256473579061619	2	3	0	3	2	3	0	3	3	3	0	3	6	220
3088310	Petasites japonicus	Plantae	Magnoliopsida	48.5	1.1239989563825565	2	3	0	3	2	3	0	3	3	3	0	3	6	220
2704194	Poa infirma	Plantae	Liliopsida	48.5	1.0959881376622513	1	1	2	3	2	2	2	3	2	2	3	3	6	196
2177741	Hasarius adansoni	Animalia	Arachnida	48.5		1	1	1	1	3	3	2	2	3	3	3	3	1	367
2498335	Cygnus melancoryphus	Animalia	Aves	48.5		1	1	2	2	2	2	2	2	3	3	3	3	1	212
2747718	Crocus speciosus	Plantae	Liliopsida	48.5		1	1	2	2	2	2	3	2	2	3	3	3	6	196
2856920	Allium hollandicum	Plantae	Liliopsida	48.5		3	2	2	2	1	1	2	2	3	2	2	2	6	196
3104106	Sanvitalia procumbens	Plantae	Magnoliopsida	48.5		1	1	1	1	3	3	2	2	3	3	3	3	6	220
5232432	Cereopsis novaehollandiae	Animalia	Aves	48.5		1	1	2	2	2	2	2	2	3	3	3	3	1	212
7156971	Oxalis triangularis	Plantae	Magnoliopsida	48	0.8840904414140026	3	3	2	1	3	2	2	1	1	1	2	1	6	220
2925816	Cynoglossum amabile	Plantae	Magnoliopsida	48	0.8669965386460674	2	1	1	1	3	3	2	1	3	3	3	1	6	220
3112364	Cynara cardunculus	Plantae	Magnoliopsida	48		2	2	2	2	2	2	2	2	2	2	2	2	6	220
2985964	Deutzia gracilis	Plantae	Magnoliopsida	47.5	1.0290522042876311	2	2	2	3	2	2	2	3	1	1	1	3	6	220
2142456	Uloborus plumipes	Animalia	Arachnida	47.5	0.9565564846278585	3	2	2	0	2	2	3	0	2	2	3	2	1	367
2294275	Eobania vermiculata	Animalia	Gastropoda	47.5		1	1	2	1	3	3	3	3	1	1	3	3	1	225
5377163	Iberis amara	Plantae	Magnoliopsida	47.5		1	1	1	1	2	2	3	3	3	3	3	3	6	220
8133114	Aster amellus	Plantae	Magnoliopsida	47	1.0427174828008043	1	1	1	3	1	1	3	3	3	3	3	3	6	220
3088488	Tagetes erecta	Plantae	Magnoliopsida	47	0.991826642325813	2	2	2	1	2	2	2	1	3	3	2	1	6	220
2875968	Corylus colurna	Plantae	Magnoliopsida	47	0.9503282322773804	2	2	3	1	3	3	2	1	1	1	2	1	6	220
2926042	Nonea lutea	Plantae	Magnoliopsida	47		1	1	2	2	3	3	3	3	1	1	2	2	6	220
3113637	Cirsium rivulare	Plantae	Magnoliopsida	46.5	1.1259563580692864	2	1	2	3	2	1	2	3	2	1	2	3	6	220
8889878	Elaphe taeniura	Animalia	Squamata	46.5		3	3	2	3	1	1	1	2	1	1	2	3	1	11592253
3033242	Anemone blanda	Plantae	Magnoliopsida	46	1.1640710137093082	2	1	0	3	3	3	0	3	3	3	0	3	6	220
3069460	Euphorbia oblongata	Plantae	Magnoliopsida	46	0.8478786754903279	3	2	1	1	2	2	2	1	3	2	2	1	6	220
7560711	Oxalis tetraphylla	Plantae	Magnoliopsida	46	0.5188923628884015	2	2	1	0	3	3	2	0	3	3	3	0	6	220
2984532	Zelkova serrata	Plantae	Magnoliopsida	46		1	1	1	1	3	3	2	2	3	3	2	2	6	220
3190411	Ptelea trifoliata	Plantae	Magnoliopsida	46		1	1	1	1	3	3	2	2	3	3	2	2	6	220
3896282	Teucrium hircanicum	Plantae	Magnoliopsida	46		3	3	3	3	1	1	1	1	1	1	1	3	6	220
7740617	Skimmia japonica	Plantae	Magnoliopsida	46		1	1	1	1	3	3	2	2	3	3	2	2	6	220
2498163	Anser canagicus	Animalia	Aves	45.5	1.1224223184327762	1	1	1	3	1	1	3	3	3	3	2	3	1	212
2493660	Estrilda astrild	Animalia	Aves	45.5	1.0882910187952444	1	1	1	3	3	3	2	3	1	1	2	3	1	212
3000610	Chaenomeles japonica	Plantae	Magnoliopsida	45.5	0.9675771682227369	2	3	1	1	2	3	1	1	3	3	1	1	6	220
2888797	Cephalaria gigantea	Plantae	Magnoliopsida	45.5	0.9198526140131031	3	2	2	1	1	1	2	1	3	3	2	1	6	220
2926992	Salvia hispanica	Plantae	Magnoliopsida	45.5	0.8427140001270323	2	2	2	0	3	2	3	0	2	2	2	2	6	220
1713034	Gryllus bimaculatus	Animalia	Insecta	45.5		3	3	3	2	1	1	2	2	1	1	1	1	1	216
2498034	Anser cygnoides	Animalia	Aves	45	1.5658106639246854	1	3	1	3	1	3	1	3	1	3	1	3	1	212
5421039	Ludwigia grandiflora	Plantae	Magnoliopsida	45	1.3385566844543269	1	3	1	3	1	3	1	3	1	3	1	3	6	220
5330661	Arum italicum	Plantae	Liliopsida	45	1.3099356321615045	1	3	1	3	1	3	1	3	1	3	1	3	6	196
5219858	Ondatra zibethicus	Animalia	Mammalia	45	1.2875265698113125	1	3	1	3	1	3	1	3	1	3	1	3	1	359
9451184	Pavo cristatus	Animalia	Aves	45	1.2476869664387695	1	3	1	3	1	3	1	3	1	3	1	3	1	212
2880539	Quercus rubra	Plantae	Magnoliopsida	45	1.132785723539053	1	3	1	3	1	3	1	3	1	3	1	3	6	220
7291264	Bistorta amplexicaulis	Plantae	Magnoliopsida	45	1.1220233915232405	1	3	1	3	1	3	1	3	1	3	1	3	6	220
5410411	Campanula portenschlagiana	Plantae	Magnoliopsida	45	1.1195258296934054	1	3	1	3	1	3	1	3	1	3	1	3	6	220
9188840	Epilobium ciliatum	Plantae	Magnoliopsida	45	1.1159644115008627	1	3	1	3	1	3	1	3	1	3	1	3	6	220
3189815	Aesculus hippocastanum	Plantae	Magnoliopsida	45	1.1114729381447463	1	3	1	3	1	3	1	3	1	3	1	3	6	220
3021730	Prunus cerasifera	Plantae	Magnoliopsida	45	1.1085113619599045	1	3	1	3	1	3	1	3	1	3	1	3	6	220
5341201	Anchusa officinalis	Plantae	Magnoliopsida	45	1.1028071943994906	1	3	1	3	1	3	1	3	1	3	1	3	6	220
3171304	Mazus pumilus	Plantae	Magnoliopsida	45	1.100001710933763	1	3	3	3	1	1	1	3	1	1	3	2	6	220
2219863	Gammarus tigrinus	Animalia	Malacostraca	45	1.0815095384346882	1	1	3	3	1	1	3	3	1	1	3	3	1	229
2498402	Dendrocygna bicolor	Animalia	Aves	45	1.077304338333465	1	3	1	3	1	3	1	3	1	3	1	3	1	212
3040233	Populus alba	Plantae	Magnoliopsida	45	1.0732904149002311	1	3	1	3	1	3	1	3	1	3	1	3	6	220
3172291	Ligustrum ovalifolium	Plantae	Magnoliopsida	45	1.056252531879981	1	3	1	3	1	3	1	3	1	3	1	3	6	220
6109535	Trifolium hybridum	Plantae	Magnoliopsida	45	1.0491466493742645	1	3	1	3	1	3	1	3	1	3	1	3	6	220
5362573	Pyrus communis	Plantae	Magnoliopsida	45	1.0452296728072663	1	3	1	3	1	3	1	3	1	3	1	3	6	220
5367294	Potentilla recta	Plantae	Magnoliopsida	45	1.0414659590164117	1	3	1	3	1	3	1	3	1	3	1	3	6	220
10755213	Narcissus hispanicus hispanicus	Plantae	Liliopsida	45	1.034673486853151	1	3	1	3	1	3	1	3	1	3	1	3	6	196
