taxonKey	canonicalName	kingdom	class	em_pts	mean_growth	year_2023_em_status_occupancy_natura2000_Flanders	year_2023_em_status_occs_natura2000_Flanders	year_2023_em_status_occupancy_Flanders	year_2023_em_status_occs_Flanders	year_2022_em_status_occupancy_natura2000_Flanders	year_2022_em_status_occs_natura2000_Flanders	year_2022_em_status_occupancy_Flanders	year_2022_em_status_occs_Flanders	year_2021_em_status_occupancy_natura2000_Flanders	year_2021_em_status_occs_natura2000_Flanders	year_2021_em_status_occupancy_Flanders	year_2021_em_status_occs_Flanders	kingdomKey	classKey
6098843	Ctenolepisma longicaudatum	Animalia	Insecta	72	1.9244781780110223	3	3	3	3	3	3	3	3	3	3	3	3	1	216
6096602	Lophocolea semiteres	Plantae	Jungermanniopsida	72	1.2696410222639383	3	3	3	3	3	3	3	3	3	3	3	3	6	126
5232437	Branta canadensis	Animalia	Aves	72	1.261631477139446	3	3	3	3	3	3	3	3	3	3	3	3	1	212
5281901	Campylopus introflexus	Plantae	Bryopsida	72	1.1838376815062366	3	3	3	3	3	3	3	3	3	3	3	3	6	327
2677047	Orthodontium lineare	Plantae	Bryopsida	72	1.1690523174798282	3	3	3	3	3	3	3	3	3	3	3	3	6	327
2716226	Cyperus esculentus	Plantae	Liliopsida	72	1.1405254502123587	3	3	3	3	3	3	3	3	3	3	3	3	6	196
2115769	Austrominius modestus	Animalia		72	1.103043792599429	3	3	3	3	3	3	3	3	3	3	3	3	1	
5284982	Pinus strobus	Plantae	Pinopsida	72	1.0782344590391533	3	3	3	3	3	3	3	3	3	3	3	3	6	194
2701986	Juncus canadensis	Plantae	Liliopsida	72	1.0509658793282959	3	3	3	3	3	3	3	3	3	3	3	3	6	196
1311477	Vespa velutina	Animalia	Insecta	72		3	3	3	3	3	3	3	3	3	3	3	3	1	216
1579447	Exaireta spinigera	Animalia	Insecta	72		3	3	3	3	3	3	3	3	3	3	3	3	1	216
2985994	Hydrangea macrophylla	Plantae	Magnoliopsida	72		3	3	3	3	3	3	3	3	3	3	3	3	6	220
4485843	Halyomorpha halys	Animalia	Insecta	72		3	3	3	3	3	3	3	3	3	3	3	3	1	216
