taxonKey	canonicalName	kingdom	class	em_pts	mean_growth	year_2023_em_status_occupancy_natura2000_Brussels	year_2023_em_status_occs_natura2000_Brussels	year_2022_em_status_occupancy_natura2000_Brussels	year_2022_em_status_occs_natura2000_Brussels	year_2021_em_status_occupancy_natura2000_Brussels	year_2021_em_status_occs_natura2000_Brussels	kingdomKey	classKey
7127354	Cyclamen coum	Plantae	Magnoliopsida	31.5		3	3	3	3	3	3	6	220
1311477	Vespa velutina	Animalia	Insecta	30.5		3	3	3	3	3	2	1	216
4565039	Hygromia cinctella	Animalia	Gastropoda	30		3	3	3	2	3	3	1	225
3021496	Prunus laurocerasus	Plantae	Magnoliopsida	29.5	1.0780514206285963	3	3	2	3	3	3	6	220
2078852	Nezara viridula	Animalia	Insecta	28.5		3	2	3	3	3	2	1	216
1047536	Leptinotarsa decemlineata	Animalia	Insecta	28		3	3	2	2	3	3	1	216
1421091	Lepisma saccharinum	Animalia	Insecta	27		3	3	2	3	2	2	1	216
2498344	Cygnus atratus	Animalia	Aves	27		2	2	3	3	3	3	1	212
1749449	Cameraria ohridella	Animalia	Insecta	26.5		3	3	3	3	1	1	1	216
6098843	Ctenolepisma longicaudatum	Animalia	Insecta	26.5		3	3	3	3	1	1	1	216
3190653	Ailanthus altissima	Plantae	Magnoliopsida	25.5	1.1320045982564693	2	3	2	3	2	3	6	220
3172291	Ligustrum ovalifolium	Plantae	Magnoliopsida	25.5	1.0479696574447086	2	3	2	3	2	3	6	220
3040233	Populus alba	Plantae	Magnoliopsida	25.5	1.0092115873030847	2	3	2	3	2	3	6	220
2037925	Orientus ishidae	Animalia	Insecta	25		3	2	2	2	3	2	1	216
2041682	Graphocephala fennahi	Animalia	Insecta	25		2	2	2	3	3	3	1	216
2153287	Zoropsis spinimana	Animalia	Arachnida	25		2	2	2	3	3	3	1	367
4532122	Cydalima perspectalis	Animalia	Insecta	25		3	2	2	2	3	2	1	216
2876607	Alnus cordata	Plantae	Magnoliopsida	24.5		2	2	3	3	2	2	6	220
4067302	Symphytum grandiflorum	Plantae	Magnoliopsida	24.5		3	3	1	1	3	3	6	220
3039194	Parthenocissus quinquefolia	Plantae	Magnoliopsida	24		3	3	3	3	0	0	6	220
4497054	Andricus lignicolus	Animalia	Insecta	24		3	3	3	3	0	0	1	216
5284982	Pinus strobus	Plantae	Pinopsida	24		3	3	3	3	0	0	6	194
5289686	Setaria verticillata	Plantae	Liliopsida	24		3	3	3	3	0	0	6	196
2747564	Crocus tommasinianus	Plantae	Liliopsida	23.5		2	2	2	2	3	3	6	196
4460066	Chrysolina americana	Animalia	Insecta	23.5		2	2	2	2	3	3	1	216
8080743	Scilla siberica	Plantae	Liliopsida	23	1.0099872211053538	2	1	2	3	3	3	6	196
3152583	Hibiscus syriacus	Plantae	Magnoliopsida	23		2	2	3	2	2	2	6	220
1718308	Acheta domesticus	Animalia	Insecta	22.5		1	1	3	3	3	3	1	216
2867614	Lemna minuta	Plantae	Liliopsida	22.5		1	1	3	3	3	3	6	196
3012089	Sorbaria sorbifolia	Plantae	Magnoliopsida	22.5		1	1	3	3	3	3	6	220
3147168	Erigeron karvinskianus	Plantae	Magnoliopsida	22.5		1	1	3	3	3	3	6	220
8313153	Quercus palustris	Plantae	Magnoliopsida	22.5		1	1	3	3	3	3	6	220
8909595	Faxonius limosus	Animalia	Malacostraca	22.5		1	1	3	3	3	3	1	229
8946295	Pontastacus leptodactylus	Animalia	Malacostraca	22.5		1	1	3	3	3	3	1	229
2888625	Viburnum rhytidophyllum	Plantae	Magnoliopsida	22		2	2	3	3	1	1	6	220
3084022	Phytolacca acinosa	Plantae	Magnoliopsida	22		2	2	3	3	1	1	6	220
6109535	Trifolium hybridum	Plantae	Magnoliopsida	21.5	1.0108065197050944	1	3	2	3	1	3	6	220
5232452	Branta hutchinsii	Animalia	Aves	21	1.6863807126823471	1	3	1	3	2	3	1	212
5156102	Leptoglossus occidentalis	Animalia	Insecta	21	0.9831448271651309	3	1	3	1	2	1	1	216
3026162	Cotoneaster franchetii	Plantae	Magnoliopsida	21		1	1	3	2	3	3	6	220
3054357	Juglans nigra	Plantae	Magnoliopsida	21		2	2	2	2	2	2	6	220
5285637	Pinus sylvestris	Plantae	Pinopsida	21		2	2	2	2	2	2	6	194
8745918	Deroceras invadens	Animalia	Gastropoda	21		2	2	2	2	2	2	1	225
4201607	Phedimus spurius	Plantae	Magnoliopsida	20.5		3	3	2	2	0	0	6	220
3146683	Erigeron sumatrensis	Plantae	Magnoliopsida	20	0.9159514539310949	2	1	3	1	3	1	6	220
7346102	Erythranthe guttata	Plantae	Magnoliopsida	20	0.8242310553726833	2	1	3	1	3	1	6	220
2683866	Chamaecyparis lawsoniana	Plantae	Pinopsida	20		1	1	3	3	2	2	6	194
3033077	Aucuba japonica	Plantae	Magnoliopsida	20		2	2	1	1	3	3	6	220
5341201	Anchusa officinalis	Plantae	Magnoliopsida	20		2	2	1	1	3	3	6	220
7291264	Bistorta amplexicaulis	Plantae	Magnoliopsida	20		1	1	3	2	3	2	6	220
7540164	Arion vulgaris	Animalia	Gastropoda	20		1	1	3	2	3	2	1	225
2498388	Aix galericulata	Animalia	Aves	19.5	1.0320662794024091	1	3	1	3	1	3	1	212
3189815	Aesculus hippocastanum	Plantae	Magnoliopsida	19.5	1.0103356518471927	1	3	1	3	1	3	6	220
1346919	Isodontia mexicana	Animalia	Insecta	19.5		3	3	1	1	1	1	1	216
2988188	Pyracantha coccinea	Plantae	Magnoliopsida	19.5		3	3	1	1	1	1	6	220
5123474	Anthophila nemorana	Animalia	Insecta	19.5		3	3	1	1	1	1	1	216
2888439	Papaver somniferum	Plantae	Magnoliopsida	19		1	1	2	2	3	3	6	220
3003244	Rosa multiflora Thunb.	Plantae	Magnoliopsida	19		1	1	2	2	3	3	6	220
3026294	Cotoneaster bullatus	Plantae	Magnoliopsida	19		1	1	2	2	3	3	6	220
3042845	Brassica oleracea	Plantae	Magnoliopsida	19		1	1	2	2	3	3	6	220
3054117	Aubrieta deltoidea	Plantae	Magnoliopsida	19		1	1	2	2	3	3	6	220
3189866	Acer negundo	Plantae	Magnoliopsida	19		1	1	2	2	3	3	6	220
4486243	Oxycarenus lavaterae	Animalia	Insecta	19		1	1	2	2	3	3	1	216
2435035	Felis catus	Animalia	Mammalia	18.5		2	2	2	2	1	1	1	359
3098912	Cosmos bipinnatus	Plantae	Magnoliopsida	18.5		1	1	3	2	2	2	6	220
5330661	Arum italicum	Plantae	Liliopsida	18	0.9479375572368581	2	1	2	1	3	1	6	196
2479407	Myiopsitta monachus	Animalia	Aves	18	0.9142887007172227	2	1	2	1	3	1	1	212
2439261	Rattus norvegicus	Animalia	Mammalia	18	0.7702935774772308	2	1	2	1	3	1	1	359
2443002	Trachemys scripta	Animalia	Testudines	18		1	1	2	2	3	2	1	11418114
8288647	Pterocarya fraxinifolia	Plantae	Magnoliopsida	18		1	1	2	2	3	2	6	220
2479977	Nymphicus hollandicus	Animalia	Aves	17.5		1	1	3	3	1	1	1	212
2855439	Galanthus woronowii	Plantae	Liliopsida	17.5		1	1	3	3	1	1	6	196
2928761	Nicotiana alata	Plantae	Magnoliopsida	17.5		1	1	3	3	1	1	6	220
3602683	Papaver cambricum	Plantae	Magnoliopsida	17.5		1	1	3	3	1	1	6	220
5373124	Malcolmia maritima (L.) W.T.Aiton	Plantae	Magnoliopsida	17.5		1	1	3	3	1	1	6	220
2880539	Quercus rubra	Plantae	Magnoliopsida	16.5	0.9834279637471397	2	1	2	1	2	1	6	220
3033865	Mahonia aquifolium	Plantae	Magnoliopsida	16.5	0.980505544178847	2	1	2	1	2	1	6	220
3025617	Cotoneaster horizontalis	Plantae	Magnoliopsida	16.5	0.9625088124117606	2	1	2	1	2	1	6	220
5281901	Campylopus introflexus	Plantae	Bryopsida	16.5	0.819845763863606	2	1	2	1	2	1	6	327
5362573	Pyrus communis	Plantae	Magnoliopsida	16.5	0.7948969245582579	2	1	2	1	2	1	6	220
2498387	Aix sponsa	Animalia	Aves	16.5	0.5423936851890838	2	1	2	1	2	1	1	212
2889934	Tropaeolum majus	Plantae	Magnoliopsida	16.5		1	1	2	2	2	2	6	220
3026074	Cotoneaster salicifolius	Plantae	Magnoliopsida	16.5		1	1	2	2	2	2	6	220
3026092	Cotoneaster hjelmqvistii	Plantae	Magnoliopsida	16		3	3	0	0	1	1	6	220
4567717	Boettgerilla pallens	Animalia	Gastropoda	16		2	2	2	2	0	0	1	225
4989904	Harmonia axyridis	Animalia	Insecta	15.5	1.0349760875357552	1	1	1	3	1	3	1	216
2498034	Anser cygnoides	Animalia	Aves	15.5		1	1	2	3	1	1	1	212
2722515	Carex morrowii	Plantae	Liliopsida	15.5		1	1	1	1	3	3	6	196
2855398	Galanthus elwesii	Plantae	Liliopsida	15.5		1	1	1	1	3	3	6	196
2869311	Lysichiton americanus	Plantae	Liliopsida	15.5		1	1	1	1	3	3	6	196
2959443	Gleditsia triacanthos	Plantae	Magnoliopsida	15.5		1	1	1	1	3	3	6	220
3033242	Anemone blanda	Plantae	Magnoliopsida	15.5		1	1	1	1	3	3	6	220
3189837	Acer saccharinum	Plantae	Magnoliopsida	15.5		1	1	1	1	3	3	6	220
5372655	Salix eleagnos	Plantae	Magnoliopsida	15.5		1	1	1	1	3	3	6	220
5410151	Campanula poscharskyana	Plantae	Magnoliopsida	15.5		1	1	1	1	3	3	6	220
5598915	Lonicera pileata	Plantae	Magnoliopsida	15.5		1	1	1	1	3	3	6	220
7319302	Dryopteris cycadina	Plantae	Polypodiopsida	15.5		1	1	1	1	3	3	6	7228684
7828157	Petroselinum crispum	Plantae	Magnoliopsida	15.5		1	1	1	1	3	3	6	220
7127810	Cyclamen hederifolium	Plantae	Magnoliopsida	15	0.6372712411284378	2	0	3	0	2	1	6	220
2685361	Abies grandis	Plantae	Pinopsida	15		1	1	3	3	0	0	6	194
2772094	Muscari botryoides	Plantae	Liliopsida	15		1	1	3	3	0	0	6	196
2772174	Muscari armeniacum	Plantae	Liliopsida	15		1	1	3	3	0	0	6	196
2888585	Viburnum tinus	Plantae	Magnoliopsida	15		1	1	3	3	0	0	6	220
3033965	Akebia quinata	Plantae	Magnoliopsida	15		1	1	3	3	0	0	6	220
8362005	Sasa palmata	Plantae	Liliopsida	15		1	1	3	3	0	0	6	196
3028528	Alchemilla mollis	Plantae	Magnoliopsida	14.5	0.7726759539541702	1	1	3	1	1	1	6	220
3067119	Euphorbia maculata	Plantae	Magnoliopsida	14.5		1	1	1	1	3	2	6	220
5284884	Picea abies	Plantae	Pinopsida	14.5		1	1	1	1	3	2	6	194
7062200	Trachemys scripta scripta	Animalia	Testudines	14.5		1	1	1	1	3	2	1	11418114
2174528	Saitis barbipes	Animalia	Arachnida	14		1	1	1	1	2	3	1	367
2426661	Pelophylax ridibundus	Animalia	Amphibia	14		1	1	2	2	1	1	1	131
2985965	Deutzia scabra	Plantae	Magnoliopsida	14		1	1	2	2	1	1	6	220
5218786	Procyon lotor	Animalia	Mammalia	14		1	1	2	2	1	1	1	359
8599762	Aproceros leucopoda	Animalia	Insecta	14		1	1	2	2	1	1	1	216
9508460	Mareca sibilatrix	Animalia	Aves	14		1	1	2	2	1	1	1	212
2479226	Psittacula krameri	Animalia	Aves	13.5	1.2507831915508714	0	3	0	3	0	3	1	212
2495414	Columba livia	Animalia	Aves	13.5	1.2082879556128203	0	3	0	3	0	3	1	212
3021730	Prunus cerasifera	Plantae	Magnoliopsida	13.5	0.7253059331931095	2	0	2	0	3	0	6	220
5410411	Campanula portenschlagiana	Plantae	Magnoliopsida	13.5	0.6331218399800976	2	0	2	0	3	0	6	220
2479798	Melopsittacus undulatus	Animalia	Aves	13.5		3	3	0	0	0	0	1	212
3040185	Populus canescens	Plantae	Magnoliopsida	13.5		3	3	0	0	0	0	6	220
2890541	Geranium purpureum	Plantae	Magnoliopsida	13		1	1	1	1	2	2	6	220
2995149	Rubus phoenicolasius	Plantae	Magnoliopsida	13		1	1	1	1	2	2	6	220
3128225	Centaurea nigra	Plantae	Magnoliopsida	13		1	1	1	1	2	2	6	220
3133887	Coreopsis verticillata	Plantae	Magnoliopsida	13		1	1	1	1	2	2	6	220
5361785	Myriophyllum aquaticum	Plantae	Magnoliopsida	13		1	1	1	1	2	2	6	220
6157026	Trachemys scripta elegans	Animalia	Testudines	13		1	1	1	1	2	2	1	11418114
6157035	Trachemys scripta troostii	Animalia	Testudines	13		1	1	1	1	2	2	1	11418114
2436940	Oryctolagus cuniculus	Animalia	Mammalia	12	0.7556317449405817	2	0	2	0	2	0	1	359
2437450	Tamias sibiricus	Animalia	Mammalia	12	0.7073171473549028	2	0	2	0	2	0	1	359
9188840	Epilobium ciliatum	Plantae	Magnoliopsida	10.5	0.8811908147436391	1	1	1	1	1	1	6	220
2008616	Empicoris rubromaculatus	Animalia	Insecta	10.5		1	1	1	1	1	1	1	216
2494303	Serinus canaria	Animalia	Aves	10.5		1	1	1	1	1	1	1	212
2684984	Araucaria araucana	Plantae	Pinopsida	10.5		1	1	1	1	1	1	6	194
2686212	Larix decidua	Plantae	Pinopsida	10.5		1	1	1	1	1	1	6	194
2687210	Tsuga heterophylla	Plantae	Pinopsida	10.5		1	1	1	1	1	1	6	194
2706026	Miscanthus sinensis	Plantae	Liliopsida	10.5		1	1	1	1	1	1	6	196
2747567	Crocus vernus	Plantae	Liliopsida	10.5		1	1	1	1	1	1	6	196
2747939	Crocosmia crocosmiiflora	Plantae	Liliopsida	10.5		1	1	1	1	1	1	6	196
2772666	Hyacinthus orientalis	Plantae	Liliopsida	10.5		1	1	1	1	1	1	6	196
2873877	Linum austriacum	Plantae	Magnoliopsida	10.5		1	1	1	1	1	1	6	220
2874515	Cucurbita maxima	Plantae	Magnoliopsida	10.5		1	1	1	1	1	1	6	220
2926042	Nonea lutea	Plantae	Magnoliopsida	10.5		1	1	1	1	1	1	6	220
2928026	Nemophila menziesii	Plantae	Magnoliopsida	10.5		1	1	1	1	1	1	6	220
2985964	Deutzia gracilis	Plantae	Magnoliopsida	10.5		1	1	1	1	1	1	6	220
3067353	Euphorbia characias	Plantae	Magnoliopsida	10.5		1	1	1	1	1	1	6	220
3150935	Echinacea purpurea	Plantae	Magnoliopsida	10.5		1	1	1	1	1	1	6	220
3170823	Paulownia tomentosa	Plantae	Magnoliopsida	10.5		1	1	1	1	1	1	6	220
3172615	Catalpa bignonioides	Plantae	Magnoliopsida	10.5		1	1	1	1	1	1	6	220
3189828	Aesculus parviflora	Plantae	Magnoliopsida	10.5		1	1	1	1	1	1	6	220
4102952	Knautia macedonica	Plantae	Magnoliopsida	10.5		1	1	1	1	1	1	6	220
4427283	Anthrenocerus australis	Animalia	Insecta	10.5		1	1	1	1	1	1	1	216
4497124	Andricus quercuscalicis	Animalia	Insecta	10.5		1	1	1	1	1	1	1	216
5220435	Pelodiscus sinensis	Animalia	Testudines	10.5		1	1	1	1	1	1	1	11418114
5229204	Eudocimus ruber	Animalia	Aves	10.5		1	1	1	1	1	1	1	212
5415455	Acanthus mollis	Plantae	Magnoliopsida	10.5		1	1	1	1	1	1	6	220
5774728	Eriophyes pyri	Animalia	Arachnida	10.5		1	1	1	1	1	1	1	367
7443846	Dipsacus strigosus	Plantae	Magnoliopsida	10.5		1	1	1	1	1	1	6	220
8190077	Populus canadensis	Plantae	Magnoliopsida	10.5		1	1	1	1	1	1	6	220
9139578	Aulacaspis rosae	Animalia	Insecta	10.5		1	1	1	1	1	1	1	216
9326020	Gallus gallus	Animalia	Aves	10.5		1	1	1	1	1	1	1	212
5232437	Branta canadensis	Animalia	Aves	6	0.9759069263515352	1	0	1	0	1	0	1	212
8200663	Cymbalaria muralis	Plantae	Magnoliopsida	6	0.7929333750121912	1	0	1	0	1	0	6	220
2498252	Alopochen aegyptiaca	Animalia	Aves	6	0.7022759795099006	1	0	1	0	1	0	1	212
1690429	Meconema meridionale	Animalia	Insecta	6	0.6985143499514502	1	0	1	0	1	0	1	216
5229055	Psittacula eupatria	Animalia	Aves	6	0.6733036735147557	1	0	1	0	1	0	1	212
2882482	Calluna vulgaris	Plantae	Magnoliopsida	6	0.5198967876789347	1	0	1	0	1	0	6	220
