taxonKey	canonicalName	kingdom	class	year_2023_em_status_occupancy_natura2000_Wallonia	year_2023_em_status_occs_natura2000_Wallonia	year_2022_em_status_occupancy_natura2000_Wallonia	year_2022_em_status_occs_natura2000_Wallonia	year_2021_em_status_occupancy_natura2000_Wallonia	year_2021_em_status_occs_natura2000_Wallonia	mean_growth	kingdomKey	classKey
5281901	Campylopus introflexus	Plantae	Bryopsida	3	3	3	3	3	3	1.071464863296806	6	327
5285637	Pinus sylvestris	Plantae	Pinopsida	3	3	3	3	3	3	1.03491012089374	6	194
2685796	Pseudotsuga menziesii	Plantae	Pinopsida	3	1	3	1	3	1	0.9056845035323012	6	194
5284884	Picea abies	Plantae	Pinopsida	3	0	3	0	3	0	0.9421521295796588	6	194
3189837	Acer saccharinum	Plantae	Magnoliopsida	2	3	3	3	3	3	1.3207496316965397	6	220
3033242	Anemone blanda	Plantae	Magnoliopsida	2	3	3	3	3	3	1.2174429012067407	6	220
7346102	Erythranthe guttata	Plantae	Magnoliopsida	2	3	3	3	2	3	1.1507600172089516	6	220
3136320	Hieracium amplexicaule	Plantae	Magnoliopsida	2	3	2	3	2	3	1.1547883239227232	6	220
2685361	Abies grandis	Plantae	Pinopsida	2	3	2	3	2	3	1.0084135755234571	6	194
2965354	Medicago falcata	Plantae	Magnoliopsida	2	3	1	3	2	3	1.019279582608028	6	220
2888625	Viburnum rhytidophyllum	Plantae	Magnoliopsida	2	1	3	3	3	3	1.0212598702779856	6	220
3084022	Phytolacca acinosa	Plantae	Magnoliopsida	2	1	3	1	3	1	0.92363326043699	6	220
3012089	Sorbaria sorbifolia	Plantae	Magnoliopsida	2	1	3	1	3	1	0.8734734911923525	6	220
3026092	Cotoneaster hjelmqvistii	Plantae	Magnoliopsida	2	1	3	1	3	1	0.8636303728326106	6	220
3172291	Ligustrum ovalifolium	Plantae	Magnoliopsida	2	1	3	1	2	1	0.9637808411323194	6	220
3042845	Brassica oleracea	Plantae	Magnoliopsida	2	1	3	1	2	1	0.9602669101653878	6	220
5410411	Campanula portenschlagiana	Plantae	Magnoliopsida	2	1	3	1	2	1	0.953400692077968	6	220
5362054	Crassula helmsii	Plantae	Magnoliopsida	2	1	3	1	2	1	0.8903906836487653	6	220
3190653	Ailanthus altissima	Plantae	Magnoliopsida	2	1	3	1	2	1	0.8613177170907627	6	220
3602683	Papaver cambricum	Plantae	Magnoliopsida	2	1	2	1	3	1	0.8811168001548008	6	220
5421039	Ludwigia grandiflora	Plantae	Magnoliopsida	2	1	2	1	3	1	0.8663818744784961	6	220
8149923	Prunus persica	Plantae	Magnoliopsida	2	1	2	1	3	1	0.8533182424536336	6	220
7802465	Nymphaea marliacea	Plantae	Magnoliopsida	2	1	2	1	3	1	0.8209847351889795	6	220
3026294	Cotoneaster bullatus	Plantae	Magnoliopsida	2	1	2	1	3	1	0.667918904701639	6	220
3147168	Erigeron karvinskianus	Plantae	Magnoliopsida	2	1	2	1	2	3	0.9653322301871924	6	220
3146683	Erigeron sumatrensis	Plantae	Magnoliopsida	2	1	2	1	2	1	0.9423977184052956	6	220
2685484	Abies alba	Plantae	Pinopsida	2	1	2	1	2	1	0.8385430338802324	6	194
2867614	Lemna minuta	Plantae	Liliopsida	2	1	2	1	2	1	0.8289577127837988	6	196
7978544	Hydrocotyle ranunculoides	Plantae	Magnoliopsida	2	1	2	1	2	1	0.7465605152012607	6	220
2876607	Alnus cordata	Plantae	Magnoliopsida	2	0	3	0	2	0	0.8024049813351797	6	220
6362904	Populus trichocarpa	Plantae	Magnoliopsida	2	0	2	0	2	0	0.8469372982085392	6	220
5284809	Pinus nigra	Plantae	Pinopsida	2	0	2	0	2	0	0.8194377174463192	6	194
5598915	Lonicera pileata	Plantae	Magnoliopsida	2	0	2	0	2	0	0.8130202980882243	6	220
5284827	Picea sitchensis	Plantae	Pinopsida	2	0	2	0	2	0	0.7677583858357095	6	194
3025617	Cotoneaster horizontalis	Plantae	Magnoliopsida	2	0	2	0	2	0	0.7480725405806963	6	220
2889934	Tropaeolum majus	Plantae	Magnoliopsida	2	0	2	0	2	0	0.7367248141039889	6	220
3040185	Populus canescens	Plantae	Magnoliopsida	2	0	1	0	2	0	0.8786191658266858	6	220
7828157	Petroselinum crispum	Plantae	Magnoliopsida	1	3	3	3	3	3	1.0056654429358882	6	220
3098912	Cosmos bipinnatus	Plantae	Magnoliopsida	1	3	2	3	3	3	1.253298534087436	6	220
3797084	Alkekengi officinarum	Plantae	Magnoliopsida	1	3	2	3	3	3	1.0370510892217046	6	220
3026454	Spiraea salicifolia	Plantae	Magnoliopsida	1	3	2	3	1	3	1.0163103182655615	6	220
3040233	Populus alba	Plantae	Magnoliopsida	1	3	1	3	1	3	1.1085428902384564	6	220
3021730	Prunus cerasifera	Plantae	Magnoliopsida	1	3	1	3	1	3	1.0951327284750407	6	220
2882482	Calluna vulgaris	Plantae	Magnoliopsida	1	3	1	3	1	3	1.0536859877429292	6	220
3128225	Centaurea nigra	Plantae	Magnoliopsida	1	3	1	3	1	3	1.019786255423167	6	220
3152583	Hibiscus syriacus	Plantae	Magnoliopsida	1	1	3	1	2	1	0.8444501153538819	6	220
3039194	Parthenocissus quinquefolia	Plantae	Magnoliopsida	1	1	2	1	3	1	0.9605703014039126	6	220
8190077	Populus canadensis	Plantae	Magnoliopsida	1	1	2	1	2	1	0.8941585873082436	6	220
4201607	Phedimus spurius	Plantae	Magnoliopsida	1	1	1	1	1	1	0.8879484489574949	6	220
2677047	Orthodontium lineare	Plantae	Bryopsida	1	1	1	1	1	1	0.8783726580754264	6	327
3033865	Mahonia aquifolium	Plantae	Magnoliopsida	1	1	1	1	1	1	0.8579002899342729	6	220
3189866	Acer negundo	Plantae	Magnoliopsida	1	1	1	1	1	1	0.7122833183882374	6	220
3026074	Cotoneaster salicifolius	Plantae	Magnoliopsida	1	0	3	0	2	0	0.6788342576848317	6	220
2988188	Pyracantha coccinea	Plantae	Magnoliopsida	1	0	3	0	2	0	0.5038035580003108	6	220
5365705	Potentilla intermedia	Plantae	Magnoliopsida	1	0	2	0	2	0	0.8953329412086583	6	220
7068732	Arabidopsis arenosa arenosa	Plantae	Magnoliopsida	1	0	2	0	1	0	0.9198483183932176	6	220
7400250	Platanus hispanica	Plantae	Magnoliopsida	1	0	2	0	1	0	0.6964188434189049	6	220
3067891	Euphorbia prostrata	Plantae	Magnoliopsida	1	0	2	0	1	0	0.329933619552502	6	220
10755213	Narcissus hispanicus hispanicus	Plantae	Liliopsida	1	0	1	0	2	0	0.48032910690135233	6	196
8200663	Cymbalaria muralis	Plantae	Magnoliopsida	1	0	1	0	1	0	0.8848001394476209	6	220
2890541	Geranium purpureum	Plantae	Magnoliopsida	1	0	1	0	1	0	0.8250190295705091	6	220
6109535	Trifolium hybridum	Plantae	Magnoliopsida	1	0	1	0	1	0	0.8246449535778685	6	220
5289686	Setaria verticillata	Plantae	Liliopsida	1	0	1	0	1	0	0.7556000004697332	6	196
5362573	Pyrus communis	Plantae	Magnoliopsida	1	0	1	0	1	0	0.7447885937811126	6	220
3003244	Rosa multiflora Thunb.	Plantae	Magnoliopsida	1	0	1	0	1	0	0.7376591119061209	6	220
2888439	Papaver somniferum	Plantae	Magnoliopsida	0	3	0	3	0	3	1.1958411777007796	6	220
5330661	Arum italicum	Plantae	Liliopsida	0	3	0	3	0	3	1.0846765111576298	6	196
3021496	Prunus laurocerasus	Plantae	Magnoliopsida	0	2	0	2	0	2	1.0797636381678233	6	220
2687210	Tsuga heterophylla	Plantae	Pinopsida	0	1	0	1	0	1	0.996273313231687	6	194
2880539	Quercus rubra	Plantae	Magnoliopsida	0	1	0	1	0	1	0.8988219100060281	6	220
5367294	Potentilla recta	Plantae	Magnoliopsida	0	0	0	2	0	2	1.014144541157681	6	220
7224157	Pastinaca sativa sativa	Plantae	Magnoliopsida	0	0	0	0	0	0	0.8781507576920549	6	220
3189815	Aesculus hippocastanum	Plantae	Magnoliopsida	0	0	0	0	0	0	0.8510949119563195	6	220
3028528	Alchemilla mollis	Plantae	Magnoliopsida	0	0	0	0	0	0	0.8365855719508813	6	220
3054368	Juglans regia	Plantae	Magnoliopsida	0	0	0	0	0	0	0.7933149608329065	6	220
3022203	Prunus fruticans	Plantae	Magnoliopsida	0	0	0	0	0	0	0.7642925883168249	6	220
9188840	Epilobium ciliatum	Plantae	Magnoliopsida	0	0	0	0	0	0	0.7512866473600521	6	220
