taxonKey	canonicalName	kingdom	class	em_pts	mean_growth	year_2023_em_status_occupancy_natura2000_Flanders	year_2023_em_status_occs_natura2000_Flanders	year_2022_em_status_occupancy_natura2000_Flanders	year_2022_em_status_occs_natura2000_Flanders	year_2021_em_status_occupancy_natura2000_Flanders	year_2021_em_status_occs_natura2000_Flanders	kingdomKey	classKey
2490384	Cardinalis cardinalis	Animalia	Aves	24		3	3	3	3	0	0	1	212
5228034	Chrysolophus pictus	Animalia	Aves	23.5	1.0327867066177325	2	3	1	3	2	3	1	212
2142456	Uloborus plumipes	Animalia	Arachnida	23.5		3	2	2	2	2	2	1	367
2227289	Procambarus acutus	Animalia	Malacostraca	23.5		2	2	2	2	3	3	1	229
2295442	Limacus flavus	Animalia	Gastropoda	23.5		2	2	2	2	3	3	1	225
2443002	Trachemys scripta	Animalia	Testudines	23.5		2	2	2	2	3	3	1	11418114
2856780	Allium cristophii	Plantae	Liliopsida	23.5		2	2	2	2	3	3	6	196
2859597	Ipheion uniflorum	Plantae	Liliopsida	23.5		2	2	2	2	3	3	6	196
3088488	Tagetes erecta	Plantae	Magnoliopsida	23.5		2	2	2	2	3	3	6	220
3111754	Zinnia elegans	Plantae	Magnoliopsida	23.5		3	2	2	2	2	2	6	220
5341558	Gilia tricolor	Plantae	Magnoliopsida	23.5		2	2	2	2	3	3	6	220
5384931	Houttuynia cordata	Plantae	Magnoliopsida	23.5		2	2	2	2	3	3	6	220
5408682	Lobelia pedunculata	Plantae	Magnoliopsida	23.5		2	2	2	2	3	3	6	220
7540164	Arion vulgaris	Animalia	Gastropoda	23.5		2	2	2	2	3	3	1	225
8745918	Deroceras invadens	Animalia	Gastropoda	23.5		2	2	2	2	3	3	1	225
2891783	Impatiens balfourii	Plantae	Magnoliopsida	23	1.0059782668025503	2	1	2	3	3	3	6	220
1651430	Aedes albopictus	Animalia	Insecta	23		3	2	3	2	1	1	1	216
2427091	Lithobates catesbeianus	Animalia	Amphibia	23		2	1	2	3	3	3	1	131
2926992	Salvia hispanica	Plantae	Magnoliopsida	23		2	2	3	2	2	2	6	220
2959443	Gleditsia triacanthos	Plantae	Magnoliopsida	23		2	1	2	3	3	3	6	220
3190522	Cotinus coggygria	Plantae	Magnoliopsida	23		2	2	3	2	2	2	6	220
8406661	Silene uniflora	Plantae	Magnoliopsida	23		3	2	3	2	1	1	6	220
3131614	Helichrysum italicum	Plantae	Magnoliopsida	22.5	1.0382829191671865	1	1	3	3	3	3	6	220
1017419	Oxidus gracilis	Animalia	Diplopoda	22.5		1	1	3	3	3	3	1	361
2029273	Zygina nivea	Animalia	Insecta	22.5		1	1	3	3	3	3	1	216
2177741	Hasarius adansoni	Animalia	Arachnida	22.5		1	1	3	3	3	3	1	367
2684984	Araucaria araucana	Plantae	Pinopsida	22.5		1	1	3	3	3	3	6	194
2767428	Puschkinia scilloides	Plantae	Liliopsida	22.5		1	1	3	3	3	3	6	196
2888435	Papaver bracteatum	Plantae	Magnoliopsida	22.5		1	1	3	3	3	3	6	220
2888797	Cephalaria gigantea	Plantae	Magnoliopsida	22.5		3	2	1	1	3	3	6	220
2984532	Zelkova serrata	Plantae	Magnoliopsida	22.5		1	1	3	3	3	3	6	220
3104106	Sanvitalia procumbens	Plantae	Magnoliopsida	22.5		1	1	3	3	3	3	6	220
3105768	Sonchus tenerrimus	Plantae	Magnoliopsida	22.5		1	1	3	3	3	3	6	220
3190411	Ptelea trifoliata	Plantae	Magnoliopsida	22.5		1	1	3	3	3	3	6	220
4568269	Paralaoma servilis	Animalia	Gastropoda	22.5		2	2	2	2	3	2	1	225
5218823	Mustela vison	Animalia	Mammalia	22.5		2	2	2	3	2	2	1	359
5361888	Morus nigra	Plantae	Magnoliopsida	22.5		1	1	3	3	3	3	6	220
5370006	Geum ternatum	Plantae	Magnoliopsida	22.5		1	1	3	3	3	3	6	220
5371655	Halesia carolina	Plantae	Magnoliopsida	22.5		1	1	3	3	3	3	6	220
7315072	Papaver atlanticum	Plantae	Magnoliopsida	22.5		1	1	3	3	3	3	6	220
7334368	Umbilicus rupestris	Plantae	Magnoliopsida	22.5		1	1	3	3	3	3	6	220
7740617	Skimmia japonica	Plantae	Magnoliopsida	22.5		1	1	3	3	3	3	6	220
9583342	Spatula puna	Animalia	Aves	22.5		1	1	3	3	3	3	1	212
11844792	Geum ternatum ternatum	Plantae	Magnoliopsida	22.5		1	1	3	3	3	3	6	220
1737131	Epiphyas postvittana	Animalia	Insecta	22		2	2	3	3	1	1	1	216
1852787	Blastobasis lacticolella	Animalia	Insecta	22		3	2	1	2	3	1	1	216
2437450	Tamias sibiricus	Animalia	Mammalia	22		2	2	2	2	2	3	1	359
2479407	Myiopsitta monachus	Animalia	Aves	22		2	2	3	3	1	1	1	212
2875968	Corylus colurna	Plantae	Magnoliopsida	22		2	2	3	3	1	1	6	220
2927744	Phlox paniculata	Plantae	Magnoliopsida	22		1	2	3	2	3	2	6	220
4427319	Anthrenus angustefasciatus	Animalia	Insecta	22		3	3	1	1	2	2	1	216
5229134	Vanellus miles	Animalia	Aves	22		2	2	3	3	1	1	1	212
2480410	Parabuteo unicinctus	Animalia	Aves	21.5		2	2	3	2	1	2	1	212
2856920	Allium hollandicum	Plantae	Liliopsida	21.5		3	2	1	1	3	2	6	196
4989904	Harmonia axyridis	Animalia	Insecta	21	0.9315879338524573	3	0	3	0	3	3	1	216
2049661	Adelges abietis	Animalia	Insecta	21		2	2	2	2	2	2	1	216
2294284	Otala lactea	Animalia	Gastropoda	21		1	1	3	2	3	3	1	225
2439270	Rattus rattus	Animalia	Mammalia	21		2	2	2	2	2	2	1	359
2440946	Muntiacus reevesi	Animalia	Mammalia	21		2	2	2	2	2	2	1	359
2684171	Thuja plicata	Plantae	Pinopsida	21		2	2	2	2	2	2	6	194
2684191	Taxodium distichum	Plantae	Pinopsida	21		2	2	2	2	2	2	6	194
2781103	Hemerocallis lilioasphodelus	Plantae	Liliopsida	21		2	2	2	2	2	2	6	196
2855398	Galanthus elwesii	Plantae	Liliopsida	21		1	1	3	2	3	3	6	196
2857697	Allium cepa	Plantae	Liliopsida	21		2	2	2	2	2	2	6	196
2888323	Clethra alnifolia	Plantae	Magnoliopsida	21		2	2	2	2	2	2	6	220
2888579	Leycesteria formosa	Plantae	Magnoliopsida	21		2	2	2	2	2	2	6	220
2928668	Dichondra argentea	Plantae	Magnoliopsida	21		1	1	3	2	3	3	6	220
3026040	Cotoneaster suecicus	Plantae	Magnoliopsida	21		2	2	2	2	2	2	6	220
3039270	Elaeagnus pungens	Plantae	Magnoliopsida	21		1	1	3	2	3	3	6	220
3112364	Cynara cardunculus	Plantae	Magnoliopsida	21		2	2	2	2	2	2	6	220
4567717	Boettgerilla pallens	Animalia	Gastropoda	21		2	2	2	2	2	2	1	225
5154481	Stictocephala bisonia	Animalia	Insecta	21		2	2	2	2	2	2	1	216
5228229	Balearica regulorum	Animalia	Aves	21		2	2	2	2	2	2	1	212
5284231	Metasequoia glyptostroboides	Plantae	Pinopsida	21		2	2	2	2	2	2	6	194
5373124	Malcolmia maritima (L.) W.T.Aiton	Plantae	Magnoliopsida	21		2	2	2	2	2	2	6	220
7157952	Dryopteris erythrosora	Plantae	Polypodiopsida	21		1	1	3	2	3	3	6	7228684
4483961	Viridicerus ustulatus	Animalia	Insecta	20.5	0.9720398336669188	2	1	3	1	2	3	1	216
3172266	Jasminum nudiflorum	Plantae	Magnoliopsida	20.5		2	3	2	2	1	1	6	220
4845776	Lonchura oryzivora	Animalia	Aves	20.5		3	2	3	2	0	0	1	212
3039267	Elaeagnus umbellata	Plantae	Magnoliopsida	20	0.9745858519773233	2	1	3	1	3	1	6	220
7989836	Symphytum caucasicum	Plantae	Magnoliopsida	20	0.9616165577947866	2	1	2	1	3	3	6	220
3046015	Cardamine corymbosa	Plantae	Magnoliopsida	20	0.7839440285802355	2	1	3	1	3	1	6	220
2227663	Rhithropanopeus harrisii	Animalia	Malacostraca	20		2	2	2	3	1	1	1	229
2651826	Adiantum raddianum	Plantae	Polypodiopsida	20		1	1	3	2	3	2	6	7228684
3189882	Acer palmatum	Plantae	Magnoliopsida	20		1	1	3	3	2	2	6	220
4123912	Agrostis dimorpholemma	Plantae	Liliopsida	20		1	1	3	3	2	2	6	196
4559541	Sinanodonta woodiana	Animalia	Bivalvia	20		1	1	3	2	3	2	1	137
5285635	Pinus rigida	Plantae	Pinopsida	20		1	1	3	3	2	2	6	194
7162908	Convolvulus tricolor	Plantae	Magnoliopsida	20		1	1	3	3	2	2	6	220
7332415	Chaenorhinum origanifolium	Plantae	Magnoliopsida	20		1	1	3	3	2	2	6	220
7332416	Chaenorhinum origanifolium origanifolium	Plantae	Magnoliopsida	20		1	1	3	3	2	2	6	220
5156102	Leptoglossus occidentalis	Animalia	Insecta	19.5	1.9944463194169968	1	3	1	3	1	3	1	216
5421039	Ludwigia grandiflora	Plantae	Magnoliopsida	19.5	1.5006515717352695	1	3	1	3	1	3	6	220
5219858	Ondatra zibethicus	Animalia	Mammalia	19.5	1.4848362942944313	1	3	1	3	1	3	1	359
2498034	Anser cygnoides	Animalia	Aves	19.5	1.4649462163207165	1	3	1	3	1	3	1	212
2439261	Rattus norvegicus	Animalia	Mammalia	19.5	1.4156803338167507	1	3	1	3	1	3	1	359
2037925	Orientus ishidae	Animalia	Insecta	19.5	1.320341484999891	1	3	1	3	1	3	1	216
5341201	Anchusa officinalis	Plantae	Magnoliopsida	19.5	1.255246034952673	1	3	1	3	1	3	6	220
9451184	Pavo cristatus	Animalia	Aves	19.5	1.2496888946118985	1	3	1	3	1	3	1	212
3084015	Phytolacca americana	Plantae	Magnoliopsida	19.5	1.2465866098778084	1	3	1	3	1	3	6	220
2498035	Anser indicus	Animalia	Aves	19.5	1.2411104401350954	1	3	1	3	1	3	1	212
4067302	Symphytum grandiflorum	Plantae	Magnoliopsida	19.5	1.2352246163522134	1	3	1	3	1	3	6	220
7135755	Rhododendron luteum	Plantae	Magnoliopsida	19.5	1.1790340738556913	1	3	1	3	1	3	6	220
3021730	Prunus cerasifera	Plantae	Magnoliopsida	19.5	1.1771365926870068	1	3	1	3	1	3	6	220
3172291	Ligustrum ovalifolium	Plantae	Magnoliopsida	19.5	1.1547608580601234	1	3	1	3	1	3	6	220
3189815	Aesculus hippocastanum	Plantae	Magnoliopsida	19.5	1.1540829522783365	1	3	1	3	1	3	6	220
7291264	Bistorta amplexicaulis	Plantae	Magnoliopsida	19.5	1.1421191083381157	1	3	1	3	1	3	6	220
2498344	Cygnus atratus	Animalia	Aves	19.5	1.1398298170775945	1	3	1	3	1	3	1	212
5330661	Arum italicum	Plantae	Liliopsida	19.5	1.1301810677928066	1	3	1	3	1	3	6	196
3040233	Populus alba	Plantae	Magnoliopsida	19.5	1.1229735883996343	1	3	1	3	1	3	6	220
3021496	Prunus laurocerasus	Plantae	Magnoliopsida	19.5	1.1174032023923968	1	3	1	3	1	3	6	220
2889934	Tropaeolum majus	Plantae	Magnoliopsida	19.5	1.113943885786426	1	3	1	3	1	3	6	220
5410411	Campanula portenschlagiana	Plantae	Magnoliopsida	19.5	1.1000631647225034	1	3	1	3	1	3	6	220
3797084	Alkekengi officinarum	Plantae	Magnoliopsida	19.5	1.095717307341924	1	3	1	3	1	3	6	220
2498387	Aix sponsa	Animalia	Aves	19.5	1.0863670620817485	1	3	1	3	1	3	1	212
5367294	Potentilla recta	Plantae	Magnoliopsida	19.5	1.0685320212896787	1	3	1	3	1	3	6	220
5372639	Salix babylonica	Plantae	Magnoliopsida	19.5	1.0679939744380138	1	3	1	3	1	3	6	220
2996525	Rubus armeniacus	Plantae	Magnoliopsida	19.5	1.057304192567048	1	3	1	3	1	3	6	220
6109535	Trifolium hybridum	Plantae	Magnoliopsida	19.5	1.0552802288100682	1	3	1	3	1	3	6	220
2498388	Aix galericulata	Animalia	Aves	19.5	1.0494574773060366	1	3	1	3	1	3	1	212
5304294	Hyacinthoides massartiana	Plantae	Liliopsida	19.5	1.0451069852501187	1	3	1	3	1	3	6	196
2880539	Quercus rubra	Plantae	Magnoliopsida	19.5	1.0443575297548717	1	3	1	3	1	3	6	220
9188840	Epilobium ciliatum	Plantae	Magnoliopsida	19.5	1.0401691363031276	1	3	1	3	1	3	6	220
2479977	Nymphicus hollandicus	Animalia	Aves	19.5	1.0374561622157532	1	3	1	3	1	3	1	212
5362573	Pyrus communis	Plantae	Magnoliopsida	19.5	1.0251465780911881	1	3	1	3	1	3	6	220
2891774	Impatiens capensis	Plantae	Magnoliopsida	19.5	1.020245728261911	1	3	1	3	1	3	6	220
10755213	Narcissus hispanicus hispanicus	Plantae	Liliopsida	19.5	1.0115987015082415	1	3	1	3	1	3	6	196
2498402	Dendrocygna bicolor	Animalia	Aves	19.5	1.0098163138121605	1	3	1	3	1	3	1	212
5289686	Setaria verticillata	Plantae	Liliopsida	19.5	1.0079631936824995	1	3	1	3	1	3	6	196
1713034	Gryllus bimaculatus	Animalia	Insecta	19.5		3	3	1	1	1	1	1	216
1749449	Cameraria ohridella	Animalia	Insecta	19.5		3	3	1	1	1	1	1	216
2000204	Periplaneta australasiae	Animalia	Insecta	19.5		3	3	1	1	1	1	1	216
2053954	Prokelisia marginata	Animalia	Insecta	19.5		3	3	1	1	1	1	1	216
2115706	Balanus glandula	Animalia	Maxillopoda	19.5		3	3	1	1	1	1	1	203
2481066	Milvago chimachima	Animalia	Aves	19.5		1	1	3	1	3	3	1	212
2650829	Cyrtomium falcatum	Plantae	Polypodiopsida	19.5		3	3	1	1	1	1	6	7228684
3896282	Teucrium hircanicum	Plantae	Magnoliopsida	19.5		3	3	1	1	1	1	6	220
5041466	Sceliphron caementarium	Animalia	Insecta	19.5		3	3	1	1	1	1	1	216
5229136	Vanellus armatus	Animalia	Aves	19.5		3	3	1	1	1	1	1	212
5334253	Lonicera involucrata	Plantae	Magnoliopsida	19.5		3	3	1	1	1	1	6	220
5396474	Heliopsis helianthoides	Plantae	Magnoliopsida	19.5		2	3	1	1	2	2	6	220
7322122	Davidia involucrata	Plantae	Magnoliopsida	19.5		3	3	1	1	1	1	6	220
7763534	Lauritrioza alacris	Animalia	Insecta	19.5		3	3	1	1	1	1	1	216
7790614	Crataegus coccinea	Plantae	Magnoliopsida	19.5		3	3	1	1	1	1	6	220
8889878	Elaphe taeniura	Animalia	Squamata	19.5		3	3	1	1	1	1	1	11592253
2498046	Chenonetta jubata	Animalia	Aves	19	0.996830502726313	3	1	2	1	2	1	1	212
5561475	Chaenostoma cordatum	Plantae	Magnoliopsida	19	0.8276004964071698	3	1	2	1	2	1	6	220
2174528	Saitis barbipes	Animalia	Arachnida	19		1	1	2	2	3	3	1	367
2297108	Milax gagates	Animalia	Gastropoda	19		2	2	1	1	3	2	1	225
2362030	Ctenopharyngodon idella	Animalia		19		1	1	2	2	3	3	1	
2498335	Cygnus melancoryphus	Animalia	Aves	19		1	1	2	2	3	3	1	212
2501248	Mnemiopsis leidyi	Animalia	Tentaculata	19		1	1	2	2	3	3	1	365
2701831	Juncus dudleyi	Plantae	Liliopsida	19		1	1	2	2	3	3	6	196
2739071	Trachycarpus fortunei	Plantae	Liliopsida	19		1	1	2	2	3	3	6	196
2767275	Scilla forbesii	Plantae	Liliopsida	19		1	1	2	2	3	3	6	196
2891664	Oxalis articulata	Plantae	Magnoliopsida	19		2	2	1	1	3	2	6	220
3033261	Anemone coronaria	Plantae	Magnoliopsida	19		1	1	2	2	3	3	6	220
3133887	Coreopsis verticillata	Plantae	Magnoliopsida	19		1	1	2	2	3	3	6	220
3169331	Lysimachia clethroides	Plantae	Magnoliopsida	19		1	1	2	2	3	3	6	220
3924221	Helleborus argutifolius	Plantae	Magnoliopsida	19		1	1	2	2	3	3	6	220
4565061	Cernuella neglecta	Animalia	Gastropoda	19		1	1	2	2	3	3	1	225
5232432	Cereopsis novaehollandiae	Animalia	Aves	19		1	1	2	2	3	3	1	212
5377163	Iberis amara	Plantae	Magnoliopsida	19		1	1	2	2	3	3	6	220
5828216	Cenchrus flaccidus	Plantae	Liliopsida	19		1	1	2	2	3	3	6	196
6100996	Crithagra mozambica	Animalia	Aves	19		2	2	1	1	3	2	1	212
7172831	Phedimus aizoon	Plantae	Magnoliopsida	19		1	1	2	2	3	3	6	220
