taxonKey	canonicalName	kingdom	class	em_pts	mean_growth	year_2023_em_status_occupancy_natura2000_Flanders	year_2023_em_status_occs_natura2000_Flanders	year_2022_em_status_occupancy_natura2000_Flanders	year_2022_em_status_occs_natura2000_Flanders	year_2021_em_status_occupancy_natura2000_Flanders	year_2021_em_status_occs_natura2000_Flanders	kingdomKey	classKey
5281901	Campylopus introflexus	Plantae	Bryopsida	31.5	1.2328518805031499	3	3	3	3	3	3	6	327
6096602	Lophocolea semiteres	Plantae	Jungermanniopsida	31.5	1.2274147894983127	3	3	3	3	3	3	6	126
5232437	Branta canadensis	Animalia	Aves	31.5	1.2122871212187945	3	3	3	3	3	3	1	212
2498252	Alopochen aegyptiaca	Animalia	Aves	31.5	1.2008381208250396	3	3	3	3	3	3	1	212
2115769	Austrominius modestus	Animalia		31.5	1.1829956187878743	3	3	3	3	3	3	1	
2716226	Cyperus esculentus	Plantae	Liliopsida	31.5	1.1760051254022634	3	3	3	3	3	3	6	196
2677047	Orthodontium lineare	Plantae	Bryopsida	31.5	1.1352881425302999	3	3	3	3	3	3	6	327
2701986	Juncus canadensis	Plantae	Liliopsida	31.5	1.041975540249611	3	3	3	3	3	3	6	196
5284982	Pinus strobus	Plantae	Pinopsida	31.5	1.0063417065056344	3	3	3	3	3	3	6	194
1311477	Vespa velutina	Animalia	Insecta	31.5		3	3	3	3	3	3	1	216
1579447	Exaireta spinigera	Animalia	Insecta	31.5		3	3	3	3	3	3	1	216
1622658	Rhagoletis completa	Animalia	Insecta	31.5		3	3	3	3	3	3	1	216
2078852	Nezara viridula	Animalia	Insecta	31.5		3	3	3	3	3	3	1	216
2888859	Muehlenbeckia complexa	Plantae	Magnoliopsida	31.5		3	3	3	3	3	3	6	220
2928238	Phacelia campanularia	Plantae	Magnoliopsida	31.5		3	3	3	3	3	3	6	220
2985994	Hydrangea macrophylla	Plantae	Magnoliopsida	31.5		3	3	3	3	3	3	6	220
4485843	Halyomorpha halys	Animalia	Insecta	31.5		3	3	3	3	3	3	1	216
5218786	Procyon lotor	Animalia	Mammalia	31.5		3	3	3	3	3	3	1	359
5806954	Tarsostenus carus	Animalia	Insecta	31.5		3	3	3	3	3	3	1	216
6098843	Ctenolepisma longicaudatum	Animalia	Insecta	31.5		3	3	3	3	3	3	1	216
6164210	Canis lupus familiaris	Animalia	Mammalia	31.5		3	3	3	3	3	3	1	359
5372655	Salix eleagnos	Plantae	Magnoliopsida	30	1.1839570351903308	3	3	3	3	2	3	6	220
2493633	Taeniopygia guttata	Animalia	Aves	30	1.1562475673577648	3	3	3	3	2	3	1	212
4063383	Trachystemon orientale	Plantae	Magnoliopsida	30	1.0886569533532433	3	3	3	3	2	3	6	220
8537667	Chondrilla juncea	Plantae	Magnoliopsida	30	1.036986245987816	3	3	3	3	2	3	6	220
2747564	Crocus tommasinianus	Plantae	Liliopsida	29	1.3225712160288179	2	3	3	3	3	3	6	196
3602683	Papaver cambricum	Plantae	Magnoliopsida	29	1.2573784991498103	2	3	3	3	3	3	6	220
1421091	Lepisma saccharinum	Animalia	Insecta	29	1.2323394965603225	2	3	3	3	3	3	1	216
3033896	Berberis thunbergii	Plantae	Magnoliopsida	29	1.165822172183562	2	3	3	3	3	3	6	220
8190231	Corbicula fluminea	Animalia	Bivalvia	29	1.1220657941951515	2	3	3	3	3	3	1	137
2747567	Crocus vernus	Plantae	Liliopsida	29	1.1164514220796444	2	3	3	3	3	3	6	196
7346102	Erythranthe guttata	Plantae	Magnoliopsida	29	1.0802161561102592	2	3	3	3	3	3	6	220
3067353	Euphorbia characias	Plantae	Magnoliopsida	29	1.0750039973150973	2	3	3	3	3	3	6	220
2473477	Syrmaticus reevesii	Animalia	Aves	29	1.0632399311370822	2	3	3	3	3	3	1	212
2687210	Tsuga heterophylla	Plantae	Pinopsida	29	1.0609255180308026	2	3	3	3	3	3	6	194
1346919	Isodontia mexicana	Animalia	Insecta	29		3	3	3	2	3	2	1	216
5328593	Aponogeton distachyos	Plantae	Liliopsida	28	1.2255157540829602	3	3	2	3	2	3	6	196
5328909	Sagittaria latifolia	Plantae	Liliopsida	28	1.1203425504606128	3	3	2	3	2	3	6	196
1152186	Callidiellum rufipennis	Animalia	Insecta	28		3	3	2	2	3	3	1	216
2227300	Procambarus clarkii	Animalia	Malacostraca	28		3	3	2	2	3	3	1	229
5959231	Ara ararauna	Animalia	Aves	28		3	2	3	2	3	3	1	212
2685361	Abies grandis	Plantae	Pinopsida	27.5	1.1340365926446534	2	3	3	3	2	3	6	194
8080743	Scilla siberica	Plantae	Liliopsida	27.5	1.0584326809137354	2	3	3	3	2	3	6	196
3133938	Coreopsis lanceolata	Plantae	Magnoliopsida	27.5	1.0271112779410498	2	3	3	3	2	3	6	220
3152861	Liriodendron tulipifera	Plantae	Magnoliopsida	27.5	1.017593650812894	2	3	3	3	2	3	6	220
3171952	Verbascum speciosum	Plantae	Magnoliopsida	27	1.2444850686749755	2	3	2	3	3	3	6	220
3172615	Catalpa bignonioides	Plantae	Magnoliopsida	27	1.2180382023584855	2	3	2	3	3	3	6	220
5410151	Campanula poscharskyana	Plantae	Magnoliopsida	27	1.1132138320495577	2	3	2	3	3	3	6	220
3120692	Artemisia crithmifolia	Plantae	Magnoliopsida	27	1.1054984215354544	2	3	2	3	3	3	6	220
2225772	Hemigrapsus sanguineus	Animalia	Malacostraca	27	1.0909053557160728	2	3	2	3	3	3	1	229
5358907	Trifolium alexandrinum	Plantae	Magnoliopsida	27	1.078109229604521	2	3	2	3	3	3	6	220
3088310	Petasites japonicus	Plantae	Magnoliopsida	27	1.0726873294241213	2	3	2	3	3	3	6	220
7915783	Oenothera fallax	Plantae	Magnoliopsida	27	1.0679181290145106	2	3	2	3	3	3	6	220
3000610	Chaenomeles japonica	Plantae	Magnoliopsida	27	1.0643411943553633	2	3	2	3	3	3	6	220
2891707	Oxalis debilis	Plantae	Magnoliopsida	27	1.0393416957567656	2	3	2	3	3	3	6	220
2986111	Ribes aureum	Plantae	Magnoliopsida	27	1.0087312618165145	2	3	2	3	3	3	6	220
1421095	Ctenolepisma lineata	Animalia	Insecta	27		2	2	3	3	3	3	1	216
1622599	Rhagoletis cingulata	Animalia	Insecta	27		2	2	3	3	3	3	1	216
1997215	Blattella germanica	Animalia	Insecta	27		2	2	3	3	3	3	1	216
2149679	Holocnemus pluchei	Animalia	Arachnida	27		2	2	3	3	3	3	1	367
2153287	Zoropsis spinimana	Animalia	Arachnida	27		2	2	3	3	3	3	1	367
2473341	Numida meleagris	Animalia	Aves	27		3	3	2	2	3	2	1	212
2767271	Scilla luciliae	Plantae	Liliopsida	27		2	2	3	3	3	3	6	196
2857017	Allium paradoxum	Plantae	Liliopsida	27		2	2	3	3	3	3	6	196
2956441	Colutea media	Plantae	Magnoliopsida	27		2	2	3	3	3	3	6	220
3085357	Saponaria ocymoides	Plantae	Magnoliopsida	27		2	2	3	3	3	3	6	220
3098951	Cosmos sulphureus	Plantae	Magnoliopsida	27		2	2	3	3	3	3	6	220
5179027	Scutigera coleoptrata	Animalia	Chilopoda	27		2	2	3	3	3	3	1	360
5188971	Rangia cuneata	Animalia	Bivalvia	27		2	2	3	3	3	3	1	137
7127354	Cyclamen coum	Plantae	Magnoliopsida	27		2	2	3	3	3	3	6	220
7560711	Oxalis tetraphylla	Plantae	Magnoliopsida	27		2	2	3	3	3	3	6	220
8323485	Haemorhous mexicanus	Animalia	Aves	27		3	2	3	2	3	2	1	212
3042845	Brassica oleracea	Plantae	Magnoliopsida	26.5	1.0847587665404508	1	3	3	3	3	3	6	220
2479553	Agapornis personatus	Animalia	Aves	26.5		3	3	3	3	1	1	1	212
3002530	Rosa gallica	Plantae	Magnoliopsida	26.5		3	3	3	3	1	1	6	220
9185677	Podarcis siculus	Animalia	Squamata	26.5		3	3	3	3	1	1	1	11592253
3067891	Euphorbia prostrata	Plantae	Magnoliopsida	26		2	2	3	3	3	2	6	220
5123474	Anthophila nemorana	Animalia	Insecta	26		3	2	2	2	3	3	1	216
5284237	Cryptomeria japonica	Plantae	Pinopsida	26		2	2	3	3	3	2	6	194
5420978	Clarkia amoena	Plantae	Magnoliopsida	26		3	2	2	2	3	3	6	220
2650827	Cyrtomium fortunei	Plantae	Polypodiopsida	25.5	1.375055124819695	2	3	2	3	2	3	6	7228684
5420991	Ludwigia peploides	Plantae	Magnoliopsida	25.5	1.271572151297615	2	3	2	3	2	3	6	220
2891755	Oxalis latifolia	Plantae	Magnoliopsida	25.5	1.0815374030140712	2	3	2	3	2	3	6	220
2772094	Muscari botryoides	Plantae	Liliopsida	25.5	1.0802088830154293	2	3	2	3	2	3	6	196
3026074	Cotoneaster salicifolius	Plantae	Magnoliopsida	25.5	1.0614873092854602	2	3	2	3	2	3	6	220
2498408	Lophodytes cucullatus	Animalia	Aves	25.5	1.039853127905999	2	3	2	3	2	3	1	212
3034782	Smyrnium olusatrum	Plantae	Magnoliopsida	25.5		2	2	3	2	3	3	6	220
4102952	Knautia macedonica	Plantae	Magnoliopsida	25.5		2	2	3	2	3	3	6	220
7681436	Cytisus multiflorus	Plantae	Magnoliopsida	25.5		2	2	3	2	3	3	6	220
3033242	Anemone blanda	Plantae	Magnoliopsida	25	1.0009284410948163	2	1	3	3	3	3	6	220
2767229	Scilla sardensis	Plantae	Liliopsida	25		2	2	2	3	3	3	6	196
2925816	Cynoglossum amabile	Plantae	Magnoliopsida	25		2	1	3	3	3	3	6	220
3069460	Euphorbia oblongata	Plantae	Magnoliopsida	25		3	2	2	2	3	2	6	220
7156971	Oxalis triangularis	Plantae	Magnoliopsida	25		3	3	3	2	1	1	6	220
7266329	Salix alba alba	Plantae	Magnoliopsida	24.5	1.0974611367054503	1	3	2	3	3	3	6	220
2495414	Columba livia	Animalia	Aves	24.5	0.9968257715153999	3	1	3	1	3	3	1	212
3690997	Cardamine occulta	Plantae	Magnoliopsida	24.5	0.98970833594576	3	1	3	1	3	3	6	220
3040184	Populus balsamifera	Plantae	Magnoliopsida	24.5	0.9873639924458473	2	2	3	2	3	2	6	220
1031684	Lepinotus patruelis	Animalia	Insecta	24.5		2	2	3	3	2	2	1	216
1852831	Blastobasis adustella	Animalia	Insecta	24.5		1	3	3	3	3	1	1	216
2855439	Galanthus woronowii	Plantae	Liliopsida	24.5		2	2	3	3	2	2	6	196
2869597	Sauromatum venosum	Plantae	Liliopsida	24.5		3	3	1	1	3	3	6	196
2928026	Nemophila menziesii	Plantae	Magnoliopsida	24.5		2	2	3	2	3	2	6	220
2956442	Colutea orientalis	Plantae	Magnoliopsida	24.5		3	3	1	1	3	3	6	220
3664589	Oenothera lindheimeri	Plantae	Magnoliopsida	24.5		2	2	3	3	2	2	6	220
3856436	Viburnum davidi	Plantae	Magnoliopsida	24.5		3	3	1	1	3	3	6	220
4483971	Populicerus albicans	Animalia	Insecta	24.5		2	2	3	3	2	2	1	216
4486243	Oxycarenus lavaterae	Animalia	Insecta	24.5		2	2	3	3	2	2	1	216
5229205	Eudocimus albus	Animalia	Aves	24.5		3	2	3	3	1	1	1	212
5421180	Koelreuteria paniculata	Plantae	Magnoliopsida	24.5		2	2	3	2	3	2	6	220
8408816	Colchicum byzantinum	Plantae	Liliopsida	24.5		3	3	1	1	3	3	6	196
10801424	Salvia yangii	Plantae	Magnoliopsida	24.5		2	2	3	3	2	2	6	220
2480446	Haliaeetus leucocephalus	Animalia	Aves	24		3	3	3	3	0	0	1	212
