taxonKey	taxonName	kingdom	class	em_pts	mean_growth	year_2024_em_status_occupancyNatura2000_Brussels	year_2024_em_status_occsNatura2000_Brussels	year_2024_em_status_occupancy_Brussels	year_2024_em_status_occs_Brussels	year_2023_em_status_occupancyNatura2000_Brussels	year_2023_em_status_occsNatura2000_Brussels	year_2023_em_status_occupancy_Brussels	year_2023_em_status_occs_Brussels	year_2022_em_status_occupancyNatura2000_Brussels	year_2022_em_status_occsNatura2000_Brussels	year_2022_em_status_occupancy_Brussels	year_2022_em_status_occs_Brussels	clasKey
3132570	Galinsoga parviflora Cav.	Plantae	Magnoliopsida	65	1.3614120221166814	3	3	3	3	1	3	3	3	2	3	3	3	220
1749449	Cameraria ohridella Deschka & Dimić, 1986	Animalia	Insecta	64		3	3	2	2	3	3	2	2	3	3	3	3	216
2888740	Centranthus ruber (L.) DC.	Plantae	Magnoliopsida	63	1.2541417690277443	2	2	3	3	3	3	3	3	2	2	3	3	220
2479407	Myiopsitta monachus (Boddaert, 1783)	Animalia	Aves	63	0.9534184685891087	3	3	3	1	3	3	3	1	3	3	3	1	212
4565039	Hygromia cinctella (Draparnaud, 1801)	Animalia	Gastropoda	63	0.6626030310012319	3	3	3	1	3	3	3	1	3	3	3	1	225
5189806	Physella acuta (Draparnaud, 1805)	Animalia	Gastropoda	62		2	2	2	2	3	3	3	3	3	3	3	3	225
2037925	Orientus ishidae (Matsumura, 1902)	Animalia	Insecta	61	1.2623387335168654	2	2	3	3	3	2	3	3	2	2	3	3	216
5352251	Robinia pseudoacacia L.	Plantae	Magnoliopsida	61	1.1317782269577015	1	3	3	3	1	3	3	3	3	3	3	3	220
1047536	Leptinotarsa decemlineata (Say, 1824)	Animalia	Insecta	61	1.0452673792057008	3	3	3	1	3	3	3	3	1	1	3	3	216
3047621	Sinapis alba L.	Plantae	Magnoliopsida	60.5	1.2755418425797727	2	2	2	3	3	3	3	3	2	2	3	3	220
3042291	Hesperis matronalis L.	Plantae	Magnoliopsida	60.5	1.2387800050165592	2	2	2	3	3	3	3	3	2	2	3	3	220
2041682	Graphocephala fennahi Young, 1977	Animalia	Insecta	60	1.3729164180129532	2	2	3	3	2	2	3	3	2	3	3	3	216
3103791	Matricaria discoidea DC.	Plantae	Magnoliopsida	60	1.2636697085692863	3	1	3	3	3	1	3	3	3	1	3	3	220
5373324	Lunaria annua L.	Plantae	Magnoliopsida	60	1.1639567561092017	3	1	3	3	3	1	3	3	3	1	3	3	220
5289684	Setaria viridis (L.) P.Beauv.	Plantae	Liliopsida	60	1.1041301843461606	3	1	3	3	3	1	3	3	3	1	3	3	196
2926130	Pentaglottis sempervirens (L.) Tausch ex L.H.Bailey	Plantae	Magnoliopsida	60	1.0954874875351766	3	1	3	3	3	1	3	3	3	1	3	3	220
3034825	Heracleum mantegazzianum Sommier & Levier	Plantae	Magnoliopsida	60	1.043471839471905	3	3	1	3	3	3	1	3	3	3	1	3	220
5377060	Lepidium didymum L.	Plantae	Magnoliopsida	60	1.0377306312510954	3	1	3	3	3	1	3	3	3	1	3	3	220
5356517	Lathyrus latifolius L.	Plantae	Magnoliopsida	60	1.018066174350647	3	3	1	3	3	3	1	3	3	3	1	3	220
3602683	Papaver cambricum L.	Plantae	Magnoliopsida	60		3	3	3	3	3	3	3	3	1	1	1	1	220
4067302	Symphytum grandiflorum DC.	Plantae	Magnoliopsida	60		3	3	3	3	3	3	3	3	1	1	1	1	220
5392174	Bidens frondosa L.	Plantae	Magnoliopsida	59.5	1.0232303871595174	3	3	3	3	1	1	3	3	2	2	3	3	220
5376648	Lepidium virginicum L.	Plantae	Magnoliopsida	59	1.0779694885564235	2	3	3	3	2	2	3	3	1	2	3	3	220
3085381	Polycarpon tetraphyllum (L.) L.	Plantae	Magnoliopsida	58.5	1.107923600795093	3	3	1	3	3	3	1	3	3	2	1	3	220
2930137	Solanum lycopersicum L.	Plantae	Magnoliopsida	58.5	1.100959556267291	2	2	3	3	2	2	3	3	2	2	3	3	220
2890502	Geranium endressii J.Gay	Plantae	Magnoliopsida	57.5	1.0670106466987852	3	1	3	3	2	1	3	3	3	1	3	3	220
2888625	Viburnum rhytidophyllum Hemsl. ex Forbes & Hemsl.	Plantae	Magnoliopsida	57.5		2	2	2	2	3	2	3	3	3	3	2	2	220
5341201	Anchusa officinalis L.	Plantae	Magnoliopsida	57.5		3	3	3	3	1	3	3	3	1	1	2	2	220
3109086	Senecio inaequidens DC.	Plantae	Magnoliopsida	57	1.4545155356989685	1	3	3	3	1	3	3	3	1	3	3	3	220
5341501	Melissa officinalis L.	Plantae	Magnoliopsida	57	1.185612133348197	1	3	3	3	1	3	3	3	1	3	3	3	220
8298495	Galinsoga quadriradiata Ruiz & Pav.	Plantae	Magnoliopsida	57	1.1413890287715922	1	3	3	3	1	3	3	3	1	3	3	3	220
3021496	Prunus laurocerasus L.	Plantae	Magnoliopsida	57	1.074328250077624	1	3	3	3	1	3	3	3	1	3	3	3	220
8427624	Oxalis corniculata L.	Plantae	Magnoliopsida	57	1.0622282410904256	1	3	3	3	1	3	3	3	1	3	3	3	220
2971095	Melilotus albus Medik.	Plantae	Magnoliopsida	57	1.0605378545428579	1	3	3	3	1	3	3	3	1	3	3	3	220
3040185	Populus ×canescens (Aiton) Sm.	Plantae	Magnoliopsida	57	1.0475566829965015	2	1	3	3	3	1	3	3	3	1	3	3	220
3067119	Euphorbia maculata L.	Plantae	Magnoliopsida	56	1.2727156864288016	3	3	3	3	1	1	3	3	1	1	3	3	220
7795888	Triticum aestivum L.	Plantae	Liliopsida	56	1.1956899539673567	2	2	3	3	1	1	3	3	3	2	3	3	196
5289906	Rostraria cristata (L.) Tzvelev	Plantae	Liliopsida	56	1.149866605694135	3	3	3	3	1	1	3	3	1	1	3	3	196
3190538	Rhus typhina L.	Plantae	Magnoliopsida	56	1.1128281274038483	3	3	3	3	1	1	3	3	1	1	3	3	220
3172118	Veronica longifolia L.	Plantae	Magnoliopsida	56		2	3	3	3	2	2	3	3	1	1	2	3	220
3189866	Acer negundo L.	Plantae	Magnoliopsida	55.5	1.1019987884035352	3	1	3	3	2	1	3	3	2	1	3	3	220
5373358	Lobularia maritima (L.) Desv.	Plantae	Magnoliopsida	54.5	1.070069405752555	2	1	3	3	2	1	3	3	3	1	3	3	220
2925514	Verbena bonariensis L.	Plantae	Magnoliopsida	54	1.165763677331522	3	3	1	3	2	3	1	3	2	2	1	3	220
2889173	Reynoutria japonica Houtt.	Plantae	Magnoliopsida	54	1.0439511206075547	1	3	1	3	3	3	1	3	3	3	1	3	220
8946295	Pontastacus leptodactylus (Eschscholtz, 1823)	Animalia	Malacostraca	54		2	2	2	2	2	2	2	2	3	3	3	3	229
2753146	Lilium martagon L.	Plantae	Liliopsida	53.5		3	3	2	3	1	1	1	1	3	3	3	3	196
3170823	Paulownia tomentosa (Thunb.) Steud.	Plantae	Magnoliopsida	53	1.465010966138784	3	3	1	3	3	3	1	3	1	1	1	3	220
3032698	Tellima grandiflora (Pursh) Douglas ex Lindl.	Plantae	Magnoliopsida	53	1.0603940676345658	3	1	3	3	1	1	3	3	2	1	3	3	220
8200663	Cymbalaria muralis G.Gaertn., B.Mey. & Scherb.	Plantae	Magnoliopsida	53	1.0149705305026169	1	3	3	1	1	3	3	3	1	3	3	3	220
4486243	Oxycarenus lavaterae (Fabricius, 1787)	Animalia	Insecta	53		3	3	3	3	1	1	3	1	1	1	3	3	216
2876607	Alnus cordata (Loisel.) Duby	Plantae	Magnoliopsida	52.5	1.0537053282741504	2	2	1	3	3	2	1	3	3	3	1	3	220
2928751	Datura stramonium L.	Plantae	Magnoliopsida	52.5	1.0466457474659574	2	1	3	3	2	1	3	3	2	1	3	3	220
3041022	Armoracia rusticana P.Gaertn., B.Mey. & Scherb.	Plantae	Magnoliopsida	52.5	1.0237548222548465	2	3	1	3	2	3	1	3	2	3	1	3	220
2890287	Geranium nodosum L.	Plantae	Magnoliopsida	52.5	0.6097720047676668	3	3	2	1	2	2	2	1	3	3	2	1	220
3066965	Euphorbia lathyris L.	Plantae	Magnoliopsida	51	0.85629182725124	3	1	3	1	3	1	3	1	3	1	3	1	220
5156102	Leptoglossus occidentalis Heidemann, 1910	Animalia	Insecta	51	0.7078973112076741	3	1	3	1	3	1	3	1	3	1	3	1	216
7346102	Erythranthe guttata (DC.) G.L.Nesom	Plantae	Magnoliopsida	51	0.7056698692746602	3	1	3	1	3	1	3	1	3	1	3	1	220
2855398	Galanthus elwesii Hook.f.	Plantae	Liliopsida	51		3	3	3	3	1	1	3	3	1	1	1	1	196
2926992	Salvia hispanica L.	Plantae	Magnoliopsida	51		3	3	3	3	1	1	3	3	1	1	1	1	220
5341497	Nepeta racemosa Lam.	Plantae	Magnoliopsida	51		3	3	3	3	1	1	3	3	1	1	1	1	220
5415012	Linaria purpurea (L.) Mill.	Plantae	Magnoliopsida	50.5		2	2	3	3	1	1	1	1	3	3	3	3	220
5334351	Fallopia baldschuanica (Regel) Holub	Plantae	Magnoliopsida	50	1.0278295881079142	3	3	2	3	1	1	2	3	1	1	2	3	220
5290052	Zea mays L.	Plantae	Liliopsida	50		3	3	3	3	1	1	2	2	1	1	2	2	196
3152861	Liriodendron tulipifera L.	Plantae	Magnoliopsida	49		3	3	3	3	1	1	1	1	1	1	3	3	220
3033227	Eranthis hyemalis (L.) Salisb.	Plantae	Magnoliopsida	48.5	0.8322067860174399	2	2	2	1	2	2	2	1	3	3	3	1	220
3033865	Mahonia aquifolium (Pursh) Nutt.	Plantae	Magnoliopsida	48	1.1950588408938863	3	1	1	3	3	1	1	3	3	1	1	3	220
2020655	Corythucha ciliata (Say, 1832)	Animalia	Insecta	48	1.082752466136094	1	2	2	1	1	1	3	3	3	3	3	3	216
2888513	Pseudofumaria lutea (L.) Borkh.	Plantae	Magnoliopsida	48	0.9477623301842061	1	3	3	1	1	3	3	1	1	3	3	1	220
3034915	Astrantia major L.	Plantae	Magnoliopsida	48		3	3	3	3	1	3	1	1	1	1	1	1	220
2890541	Geranium purpureum Vill.	Plantae	Magnoliopsida	47.5	1.3257903451631392	2	2	1	3	3	3	1	3	1	1	1	3	220
2747564	Crocus tommasinianus Herb.	Plantae	Liliopsida	47.5		2	2	2	1	2	2	2	3	2	2	2	2	196
5371702	Nigella damascena L.	Plantae	Magnoliopsida	47.5		3	3	2	2	1	1	2	2	2	2	1	2	220
8373355	Artemisia annua L.	Plantae	Magnoliopsida	47	0.9358607681325374	3	3	3	1	1	1	3	1	1	1	3	1	220
2928761	Nicotiana alata Link & Otto	Plantae	Magnoliopsida	47		3	3	1	1	1	1	1	1	3	3	3	3	220
3188894	Oenothera glazioviana Micheli	Plantae	Magnoliopsida	46.5	1.2302052204461897	2	0	3	3	2	0	3	3	2	0	3	3	220
2855860	Allium schoenoprasum L.	Plantae	Liliopsida	46.5	1.051821829253335	2	2	1	3	2	2	1	3	2	2	1	3	196
2873861	Linum usitatissimum L.	Plantae	Magnoliopsida	46.5	1.023370420369542	2	0	3	3	2	0	3	3	2	0	3	3	220
3021922	Prunus cerasus L.	Plantae	Magnoliopsida	46.5	1.0228811605925074	2	2	1	3	2	2	1	3	2	2	1	3	220
3034922	Foeniculum vulgare Mill.	Plantae	Magnoliopsida	46.5	0.8919684225700242	3	1	3	1	2	1	3	1	2	1	3	1	220
3054357	Juglans nigra L.	Plantae	Magnoliopsida	46.5	0.8392788715889072	3	1	3	1	2	1	3	1	2	1	3	1	220
2747567	Crocus vernus (L.) Hill	Plantae	Liliopsida	46.5		3	3	3	3	1	1	1	1	1	1	2	2	196
5374672	Barbarea verna (Mill.) Asch.	Plantae	Magnoliopsida	46.5		2	3	2	3	2	2	2	2	1	1	1	1	220
7291264	Bistorta amplexicaulis (D.Don) Greene	Plantae	Magnoliopsida	46.5		3	3	3	3	1	1	1	1	1	1	2	2	220
7844167	Colutea arborescens L.	Plantae	Magnoliopsida	46	0.748461521321675	2	3	2	1	2	3	2	1	1	1	3	1	220
3084719	Portulaca oleracea L.	Plantae	Magnoliopsida	45.5	1.1880554577618199	3	1	1	3	2	1	1	3	3	1	1	3	220
5410151	Campanula poscharskyana Degen	Plantae	Magnoliopsida	45.5	0.9389460884642734	3	3	3	1	1	1	2	1	1	1	2	3	220
5341754	Nicandra physalodes (L.) Gaertn.	Plantae	Magnoliopsida	45.5	0.9386309212636161	1	1	2	1	3	2	2	1	3	3	3	1	220
2880539	Quercus rubra L.	Plantae	Magnoliopsida	45	1.2264253970298562	1	3	1	3	1	3	1	3	1	3	1	3	220
3190653	Ailanthus altissima (Mill.) Swingle	Plantae	Magnoliopsida	45	1.1371282614788323	1	3	1	3	1	3	1	3	1	3	1	3	220
3118430	Tanacetum parthenium (L.) Sch.Bip.	Plantae	Magnoliopsida	45	1.0995057924478517	1	1	3	3	1	1	3	3	1	1	3	3	220
3172291	Ligustrum ovalifolium Hassk.	Plantae	Magnoliopsida	45	1.0862390848040515	1	3	1	3	1	3	1	3	1	3	1	3	220
2855356	Galanthus nivalis L.	Plantae	Liliopsida	45	1.0626181204966836	1	1	3	3	1	1	3	3	1	1	3	3	196
3085360	Saponaria officinalis L.	Plantae	Magnoliopsida	45	1.048040956051385	1	1	3	3	1	1	3	3	1	1	3	3	220
3031774	Mespilus germanica L.	Plantae	Magnoliopsida	45	1.0314649644915814	1	1	3	3	1	1	3	3	1	1	3	3	220
3021730	Prunus cerasifera Ehrh.	Plantae	Magnoliopsida	45	0.9735290684923616	1	1	3	1	3	1	3	1	3	1	3	1	220
2888439	Papaver somniferum L.	Plantae	Magnoliopsida	45	0.8994960971865781	2	2	3	1	1	1	3	1	2	2	3	1	220
2964355	Lupinus polyphyllus Lindl.	Plantae	Magnoliopsida	45	0.8657126788819952	2	2	2	1	2	2	2	1	2	3	2	1	220
4989904	Harmonia axyridis (Pallas, 1773)	Animalia	Insecta	44	1.0444255689430668	3	1	1	1	3	1	1	3	3	1	1	3	216
3003244	Rosa multiflora Thunb.	Plantae	Magnoliopsida	44		1	3	2	3	1	1	2	2	1	1	3	3	220
5406789	Alcea rosea L.	Plantae	Magnoliopsida	43.5	1.3816060250139583	2	0	1	3	3	0	1	3	3	3	1	3	220
5389173	Telekia speciosa (Schreb.) Baumg.	Plantae	Magnoliopsida	43.5	1.0111800320298103	1	1	3	1	2	1	3	3	1	1	3	3	220
8193111	Melilotus officinalis (L.) Lam.	Plantae	Magnoliopsida	43.5	0.9932840263312918	2	1	3	1	2	1	3	1	2	1	3	1	220
3048203	Erysimum cheiri (L.) Crantz	Plantae	Magnoliopsida	43.5	0.9008012778547257	3	3	3	1	1	1	2	1	1	1	2	1	220
3084022	Phytolacca acinosa Roxb.	Plantae	Magnoliopsida	43.5	0.8273495573316888	3	3	2	0	1	1	2	0	3	2	3	0	220
2930262	Solanum tuberosum L.	Plantae	Magnoliopsida	43.5	0.7959785375153314	3	3	3	1	1	1	2	1	1	1	2	1	220
2891390	Geranium phaeum L.	Plantae	Magnoliopsida	43.5	0.7663467210861722	2	1	3	1	2	1	3	1	2	1	3	1	220
3028528	Alchemilla mollis (Buser) Rothm.	Plantae	Magnoliopsida	43	0.9730999049002909	2	1	3	1	1	1	3	1	3	1	3	1	220
2975667	Galega officinalis L.	Plantae	Magnoliopsida	43	0.7986029135114479	1	1	3	1	3	3	2	1	1	1	3	1	220
2495414	Columba livia J.F.Gmelin, 1789	Animalia	Aves	42	1.2896411783491746	3	0	1	3	3	0	1	3	3	0	1	3	212
1421091	Lepisma saccharinum Linnaeus, 1758	Animalia	Insecta	42	0.6703021022581681	1	1	2	1	3	3	2	1	1	3	2	1	216
2927305	Lavandula angustifolia Mill.	Plantae	Magnoliopsida	42	0.6227412287532114	3	2	3	2	1	1	1	2	1	1	1	2	220
5388595	Jacobaea maritima (L.) Pelser & Meijden	Plantae	Magnoliopsida	42		3	3	2	2	1	1	1	1	1	1	2	2	220
5229055	Psittacula eupatria (Linnaeus, 1766)	Animalia	Aves	41.5	0.9391748318006127	1	3	3	1	1	2	3	1	1	2	1	1	212
8190077	Populus ×canadensis Moench	Plantae	Magnoliopsida	41.5	0.8120176111313007	2	2	3	1	1	1	3	1	1	1	3	1	220
5369784	Geum macrophyllum Willd.	Plantae	Magnoliopsida	41.5		1	1	3	3	1	1	2	2	1	1	3	3	220
7127810	Cyclamen hederifolium Aiton	Plantae	Magnoliopsida	41	0.7257597344968889	2	1	2	1	2	1	2	1	3	1	3	1	220
3169708	Vinca major L.	Plantae	Magnoliopsida	41	0.7115972214871892	2	1	3	0	2	1	3	0	3	1	3	0	220
4532122	Cydalima perspectalis (Walker, 1859)	Animalia	Insecta	41	0.41385972685164824	2	1	2	0	3	2	3	0	2	2	2	0	216
3026294	Cotoneaster bullatus Bois ex Bilm. & Bois	Plantae	Magnoliopsida	40.5	0.7304783239915296	2	2	2	1	1	1	2	1	2	2	3	1	220
8994150	Oenothera parviflora L.	Plantae	Magnoliopsida	40	1.007326930517342	1	1	3	3	1	1	3	1	1	1	3	1	220
2985965	Deutzia scabra Thunb.	Plantae	Magnoliopsida	40		2	2	2	2	1	1	1	1	2	2	2	2	220
3120284	Achillea filipendulina Lam.	Plantae	Magnoliopsida	39.5	0.6651972321447223	1	3	1	1	1	2	1	1	3	2	3	1	220
5361880	Cannabis sativa L.	Plantae	Magnoliopsida	39.5	0.5547050053345638	3	3	2	1	1	1	2	1	1	1	1	1	220
3012089	Sorbaria sorbifolia (L.) A.Braun	Plantae	Magnoliopsida	39.5	0.5346667820421367	2	2	2	0	1	1	2	0	3	3	3	0	220
5415455	Acanthus mollis L.	Plantae	Magnoliopsida	39.5		3	2	3	2	1	1	1	1	1	1	1	1	220
3686235	Staphylea pinnata L.	Plantae	Magnoliopsida	38		1	1	3	3	1	1	1	1	1	1	3	3	220
5374118	Isatis tinctoria L.	Plantae	Magnoliopsida	38		1	1	2	2	1	1	1	1	3	3	2	2	220
5391480	Calendula officinalis L.	Plantae	Magnoliopsida	37.5		1	1	2	2	1	1	1	1	3	1	3	3	220
8745918	Deroceras invadens Reise, Hutchinson, Schunack & Schlitt, 2011	Animalia	Gastropoda	37	0.5576824609159909	3	2	1	1	2	2	1	1	1	1	1	1	225
3027159	Spiraea douglasii Hook.	Plantae	Magnoliopsida	36.5		2	2	2	2	1	1	1	1	1	1	2	2	220
2891770	Impatiens glandulifera Royle	Plantae	Magnoliopsida	36	0.9810668873205723	1	1	3	1	1	1	3	1	1	1	3	1	220
3054368	Juglans regia L.	Plantae	Magnoliopsida	36	0.9233945872435034	1	1	3	1	1	1	3	1	1	1	3	1	220
5232437	Branta canadensis (Linnaeus, 1758)	Animalia	Aves	36	0.7728753073706371	3	0	3	0	2	0	3	0	2	0	3	0	212
2078852	Nezara viridula (Linnaeus, 1758)	Animalia	Insecta	36	0.5674633664681066	2	2	0	0	3	2	0	0	3	3	2	0	216
2986130	Ribes sanguineum Pursh	Plantae	Magnoliopsida	35.5	0.6699141391399479	2	2	2	1	1	1	2	1	1	1	2	1	220
2888380	Eschscholzia californica Cham.	Plantae	Magnoliopsida	35.5		1	1	1	2	1	1	1	2	3	3	1	2	220
5284950	Picea omorika (Pancic) Purk.	Plantae	Pinopsida	35		3	3	1	1	1	1	1	1	1	1	1	1	194
8002952	Ambrosia artemisiifolia L.	Plantae	Magnoliopsida	34	0.6647905374632921	2	2	1	1	2	2	1	1	1	1	1	1	220
2443002	Trachemys scripta (Thunberg In Schoepff, 1792)	Animalia	Testudines	34		2	2	2	2	1	1	1	1	1	1	1	1	11418114
2498034	Anser cygnoides (Linnaeus, 1758)	Animalia	Aves	34		2	2	1	1	1	1	1	1	2	3	0	2	212
3172347	Fraxinus ornus L.	Plantae	Magnoliopsida	34		1	1	1	1	1	2	1	2	1	2	3	3	220
5284884	Picea abies (L.) H.Karst.	Plantae	Pinopsida	34		2	2	2	2	1	1	1	1	1	1	1	1	194
5386938	Tragopogon porrifolius L.	Plantae	Magnoliopsida	34		2	2	2	2	1	1	1	1	1	1	1	1	220
8080743	Scilla siberica Andrews	Plantae	Liliopsida	33.5	0.9396248423313867	1	1	2	1	1	1	3	1	1	1	3	1	196
3169340	Lysimachia punctata L.	Plantae	Magnoliopsida	33.5	0.8806959534430288	2	1	1	1	2	1	1	1	3	1	1	1	220
2889373	Fagopyrum esculentum Moench	Plantae	Magnoliopsida	33.5	0.8673716313436021	2	1	1	1	2	1	1	1	3	1	1	1	220
6376340	Thalictrum aquilegiifolium L.	Plantae	Magnoliopsida	33.5		1	1	2	2	1	1	1	1	1	1	3	3	220
9188840	Epilobium ciliatum Raf.	Plantae	Magnoliopsida	33	1.2513476671276096	1	1	1	3	1	1	1	3	1	1	1	3	220
9823072	Oxalis stricta L.	Plantae	Magnoliopsida	33	1.1441019840612643	1	1	1	3	1	1	1	3	1	1	1	3	220
2986184	Ribes alpinum L.	Plantae	Magnoliopsida	33	1.0139896725301678	1	1	1	3	1	1	1	3	1	1	1	3	220
5384741	Silene coronaria (L.) Clairv.	Plantae	Magnoliopsida	33	0.9838435450065776	2	2	1	1	1	1	1	1	2	2	1	1	220
2932872	Solanum decipiens Opiz	Plantae	Magnoliopsida	33	0.9002759913397097	2	2	1	1	1	1	1	1	2	2	1	1	220
3026074	Cotoneaster salicifolius Franch.	Plantae	Magnoliopsida	33	0.7079746583383819	2	2	1	1	1	1	1	1	2	2	1	1	220
7540164	Arion vulgaris Moquin-Tandon, 1855	Animalia	Gastropoda	33	0.36366154650031945	2	2	1	0	1	1	1	1	3	2	1	1	225
2008616	Empicoris rubromaculatus (Blackburn, 1888)	Animalia	Insecta	32.5		3	2	1	1	1	1	1	1	1	1	1	1	216
3189837	Acer saccharinum L.	Plantae	Magnoliopsida	32.5		3	2	1	1	1	1	1	1	1	1	1	1	220
3053522	Berteroa incana (L.) DC.	Plantae	Magnoliopsida	32	1.043190262131871	2	0	1	3	1	0	1	3	2	0	1	3	220
6411098	Lamium galeobdolon subsp. argentatum (Smejkal) J.Duvign.	Plantae	Magnoliopsida	32	1.0100137755239118	1	1	1	1	1	1	1	3	1	1	3	3	220
2683866	Chamaecyparis lawsoniana (A.Murray bis) Parl.	Plantae	Pinopsida	32	0.4036962785468436	2	2	1	0	1	1	1	0	3	3	1	0	194
3188924	Oenothera biennis L.	Plantae	Magnoliopsida	31.5	0.9054039734473124	2	1	1	1	2	1	1	1	2	1	1	1	220
2926110	Borago officinalis L.	Plantae	Magnoliopsida	31.5	0.9038339587383337	1	0	3	1	1	0	3	1	1	1	3	1	220
7327990	Rhododendron ponticum L.	Plantae	Magnoliopsida	31.5	0.5300386715375831	2	1	1	1	2	1	1	1	2	1	1	1	220
1690429	Meconema meridionale Costa, 1860	Animalia	Insecta	31.5	0.45258643950302285	1	3	1	0	1	3	1	0	1	3	1	0	216
2687210	Tsuga heterophylla (Raf.) Sarg.	Plantae	Pinopsida	31		1	1	1	1	1	3	1	3	1	1	1	1	194
2498388	Aix galericulata (Linnaeus, 1758)	Animalia	Aves	30	0.999983402722388	1	3	0	1	1	3	0	1	1	3	0	1	212
2439261	Rattus norvegicus (Berkenhout, 1769)	Animalia	Mammalia	30	0.981854441828763	1	0	3	1	1	0	3	1	1	0	3	1	359
3128225	Centaurea nigra L.	Plantae	Magnoliopsida	29.5	0.9793824272504601	2	2	1	1	1	1	1	1	1	1	1	1	220
3152583	Hibiscus syriacus L.	Plantae	Magnoliopsida	29.5	0.37043989224093093	1	1	1	0	1	1	1	0	3	3	3	0	220
2889088	Reynoutria sachalinensis (F.Schmidt) Nakai	Plantae	Magnoliopsida	29	0.8841102885486894	2	1	1	1	1	1	1	1	2	1	1	1	220
