taxonKey	taxonName	kingdom	class	em_pts	mean_growth	year_2024_em_status_occupancyNatura2000_Brussels	year_2024_em_status_occsNatura2000_Brussels	year_2024_em_status_occupancy_Brussels	year_2024_em_status_occs_Brussels	year_2023_em_status_occupancyNatura2000_Brussels	year_2023_em_status_occsNatura2000_Brussels	year_2023_em_status_occupancy_Brussels	year_2023_em_status_occs_Brussels	year_2022_em_status_occupancyNatura2000_Brussels	year_2022_em_status_occsNatura2000_Brussels	year_2022_em_status_occupancy_Brussels	year_2022_em_status_occs_Brussels	clasKey
8012439	Symphoricarpos albus (L.) K.Koch	Plantae	Magnoliopsida	72	1.4321350923340204	3	3	3	3	3	3	3	3	3	3	3	3	220
2702808	Echinochloa crus-galli (L.) P.Beauv.	Plantae	Liliopsida	72	1.4198840467321223	3	3	3	3	3	3	3	3	3	3	3	3	196
3021850	Prunus serotina Ehrh.	Plantae	Magnoliopsida	72	1.345613748392048	3	3	3	3	3	3	3	3	3	3	3	3	220
3122924	Pilosella aurantiaca (L.) F.W.Schultz & Sch.Bip.	Plantae	Magnoliopsida	72	1.3305567521623538	3	3	3	3	3	3	3	3	3	3	3	3	220
2890122	Geranium pyrenaicum Burm.f.	Plantae	Magnoliopsida	72	1.327052967462984	3	3	3	3	3	3	3	3	3	3	3	3	220
5333294	Castanea sativa Mill.	Plantae	Magnoliopsida	72	1.278880013146794	3	3	3	3	3	3	3	3	3	3	3	3	220
3146683	Erigeron sumatrensis Retz.	Plantae	Magnoliopsida	72	1.2736642095507236	3	3	3	3	3	3	3	3	3	3	3	3	220
2702084	Juncus tenuis Willd.	Plantae	Liliopsida	72	1.2303729931533551	3	3	3	3	3	3	3	3	3	3	3	3	196
5365717	Potentilla indica (Andrews) Th.Wolf	Plantae	Magnoliopsida	72	1.2147766285477861	3	3	3	3	3	3	3	3	3	3	3	3	220
3146791	Erigeron canadensis L.	Plantae	Magnoliopsida	72	1.1989149504614292	3	3	3	3	3	3	3	3	3	3	3	3	220
5330661	Arum italicum Mill.	Plantae	Liliopsida	72	1.1964195727672595	3	3	3	3	3	3	3	3	3	3	3	3	196
3117449	Erigeron annuus (L.) Pers.	Plantae	Magnoliopsida	72	1.1468817053413116	3	3	3	3	3	3	3	3	3	3	3	3	220
5304294	Hyacinthoides ×massartiana Geerinck	Plantae	Liliopsida	72	1.1462891134489823	3	3	3	3	3	3	3	3	3	3	3	3	196
9151957	Medicago sativa L.	Plantae	Magnoliopsida	72	1.133809808138231	3	3	3	3	3	3	3	3	3	3	3	3	220
5389017	Solidago gigantea Aiton	Plantae	Magnoliopsida	72	1.1322998719545827	3	3	3	3	3	3	3	3	3	3	3	3	220
2891782	Impatiens parviflora DC.	Plantae	Magnoliopsida	72	1.0822969897757655	3	3	3	3	3	3	3	3	3	3	3	3	220
5289972	Digitaria sanguinalis (L.) Scop.	Plantae	Liliopsida	72	1.027100148001473	3	3	3	3	3	3	3	3	3	3	3	3	196
3147168	Erigeron karvinskianus DC.	Plantae	Magnoliopsida	70	1.420924466092274	3	3	3	3	3	3	2	3	3	3	3	3	220
1311477	Vespa velutina Lepeletier, 1836	Animalia	Insecta	70		3	3	3	2	3	3	3	3	3	3	3	3	216
3082244	Cornus sericea L.	Plantae	Magnoliopsida	69.5	1.2976500857521982	3	3	3	3	2	3	3	3	3	3	3	3	220
3173338	Buddleja davidii Franch.	Plantae	Magnoliopsida	68	1.1791651735657693	3	3	3	3	3	3	3	3	1	3	3	3	220
2153287	Zoropsis spinimana (Dufour, 1820)	Animalia	Arachnida	68		3	3	3	3	3	2	3	3	2	3	3	3	367
5410411	Campanula portenschlagiana Schult.	Plantae	Magnoliopsida	67.5	1.2261201366435646	3	3	3	3	2	3	3	3	2	3	3	3	220
6098843	Ctenolepisma longicaudatum Escherich, 1905	Animalia	Insecta	66.5	1.5901448492005117	2	2	3	3	3	3	3	3	3	3	3	3	216
3172077	Veronica persica Poir.	Plantae	Magnoliopsida	66	1.2061535222600757	1	3	3	3	3	3	3	3	3	3	3	3	220
