taxonKey	nubKey	taxonID	scientificName	taxonomicStatus	acceptedKey	acceptedName	acceptedTaxonRank	acceptedClassKey	acceptedClass	acceptedKingdom	first_observed
152543162	7239373	https://www.gbif.org/species/7239373	Uromyces veratri (DC.) J.Schröt.	ACCEPTED	7239373	Uromyces veratri (DC.) J.Schröt.	SPECIES	270	Pucciniomycetes	Fungi	1852
152543166	2516117	https://www.gbif.org/species/2516117	Gymnosporangium confusum Plowr.	ACCEPTED	2516117	Gymnosporangium confusum Plowr.	SPECIES	270	Pucciniomycetes	Fungi	1879
152543167	2516137	https://www.gbif.org/species/2516137	Gymnosporangium sabinae (Dicks.) G.Winter	ACCEPTED	2516137	Gymnosporangium sabinae (Dicks.) G.Winter	SPECIES	270	Pucciniomycetes	Fungi	1878
152543176	3376286	https://www.gbif.org/species/3376286	Puccinia pazschkei Dietel	ACCEPTED	3376286	Puccinia pazschkei Dietel	SPECIES	270	Pucciniomycetes	Fungi	1895
152543183	2515236	https://www.gbif.org/species/2515236	Puccinia antirrhini Dietel & Holw.	ACCEPTED	2515236	Puccinia antirrhini Dietel & Holw.	SPECIES	270	Pucciniomycetes	Fungi	1947
152543197	2513609	https://www.gbif.org/species/2513609	Entyloma calendulae (Oudem.) de Bary	ACCEPTED	2513609	Entyloma calendulae (Oudem.) de Bary	SPECIES	151	Exobasidiomycetes	Fungi	1900
152543227	2498015	https://www.gbif.org/species/2498015	Tadorna ferruginea (Pallas, 1764)	ACCEPTED	2498015	Tadorna ferruginea (Pallas, 1764)	SPECIES	212	Aves	Animalia	1880
152543227	2498015	https://www.gbif.org/species/2498015	Tadorna ferruginea (Pallas, 1764)	ACCEPTED	2498015	Tadorna ferruginea (Pallas, 1764)	SPECIES	212	Aves	Animalia	1880
152543266	5421116	https://www.gbif.org/species/5421116	Tribulus terrestris L.	ACCEPTED	5421116	Tribulus terrestris L.	SPECIES	220	Magnoliopsida	Plantae	1835
152543281	3686235	https://www.gbif.org/species/3686235	Staphylea pinnata L.	ACCEPTED	3686235	Staphylea pinnata L.	SPECIES	220	Magnoliopsida	Plantae	1948
152543305	3190538	https://www.gbif.org/species/3190538	Rhus typhina L.	ACCEPTED	3190538	Rhus typhina L.	SPECIES	220	Magnoliopsida	Plantae	1898
152543324	8077391	https://www.gbif.org/species/8077391	Citrus ×aurantium L.	ACCEPTED	8077391	Citrus ×aurantium L.	SPECIES	220	Magnoliopsida	Plantae	1949
152543324	8077391	https://www.gbif.org/species/8077391	Citrus ×aurantium L.	ACCEPTED	8077391	Citrus ×aurantium L.	SPECIES	220	Magnoliopsida	Plantae	1949
152543330	3190382	https://www.gbif.org/species/3190382	Ruta graveolens L.	ACCEPTED	3190382	Ruta graveolens L.	SPECIES	220	Magnoliopsida	Plantae	1881
152543372	2431886	https://www.gbif.org/species/2431886	Triturus marmoratus (Latreille, 1800)	ACCEPTED	2431886	Triturus marmoratus (Latreille, 1800)	SPECIES	131	Amphibia	Animalia	1877
152543372	2431886	https://www.gbif.org/species/2431886	Triturus marmoratus (Latreille, 1800)	ACCEPTED	2431886	Triturus marmoratus (Latreille, 1800)	SPECIES	131	Amphibia	Animalia	1877
152543401	3989886	https://www.gbif.org/species/3989886	Lythrum acutangulum Lag.	ACCEPTED	3989886	Lythrum acutangulum Lag.	SPECIES	220	Magnoliopsida	Plantae	1874
152543401	3989886	https://www.gbif.org/species/3989886	Lythrum acutangulum Lag.	ACCEPTED	3989886	Lythrum acutangulum Lag.	SPECIES	220	Magnoliopsida	Plantae	1874
152543404	3988701	https://www.gbif.org/species/3988701	Lythrum junceum Banks & Sol.	ACCEPTED	3988701	Lythrum junceum Banks & Sol.	SPECIES	220	Magnoliopsida	Plantae	1926
152543406	5203111	https://www.gbif.org/species/5203111	Umbra pygmaea (DeKay, 1842)	ACCEPTED	5203111	Umbra pygmaea (DeKay, 1842)	SPECIES			Animalia	1920
152543406	5203111	https://www.gbif.org/species/5203111	Umbra pygmaea (DeKay, 1842)	ACCEPTED	5203111	Umbra pygmaea (DeKay, 1842)	SPECIES			Animalia	1920
152543409	3188757	https://www.gbif.org/species/3188757	Trapa natans L.	ACCEPTED	3188757	Trapa natans L.	SPECIES	220	Magnoliopsida	Plantae	1800
152543416	7814921	https://www.gbif.org/species/7814921	Clarkia bottae (Spach) F.H.Lewis & M.E.Lewis	ACCEPTED	7814921	Clarkia bottae (Spach) F.H.Lewis & M.E.Lewis	SPECIES	220	Magnoliopsida	Plantae	1893
152543416	7814921	https://www.gbif.org/species/7814921	Clarkia bottae (Spach) F.H.Lewis & M.E.Lewis	ACCEPTED	7814921	Clarkia bottae (Spach) F.H.Lewis & M.E.Lewis	SPECIES	220	Magnoliopsida	Plantae	1893
152543418	5544928	https://www.gbif.org/species/5544928	Clarkia purpurea subsp. quadrivulnera (Douglas) F.H.Lewis & M.E.Lewis	ACCEPTED	5544928	Clarkia purpurea subsp. quadrivulnera (Douglas) F.H.Lewis & M.E.Lewis	SUBSPECIES	220	Magnoliopsida	Plantae	1894
152543418	5544928	https://www.gbif.org/species/5544928	Clarkia purpurea subsp. quadrivulnera (Douglas) F.H.Lewis & M.E.Lewis	ACCEPTED	5544928	Clarkia purpurea subsp. quadrivulnera (Douglas) F.H.Lewis & M.E.Lewis	SUBSPECIES	220	Magnoliopsida	Plantae	1894
152543423	5420982	https://www.gbif.org/species/5420982	Clarkia pulchella Pursh	ACCEPTED	5420982	Clarkia pulchella Pursh	SPECIES	220	Magnoliopsida	Plantae	1902
152543434	8994150	https://www.gbif.org/species/8994150	Oenothera parviflora L.	ACCEPTED	8994150	Oenothera parviflora L.	SPECIES	220	Magnoliopsida	Plantae	1860
152543434	8994150	https://www.gbif.org/species/8994150	Oenothera parviflora L.	ACCEPTED	8994150	Oenothera parviflora L.	SPECIES	220	Magnoliopsida	Plantae	1860
152543434	8994150	https://www.gbif.org/species/8994150	Oenothera parviflora L.	ACCEPTED	8994150	Oenothera parviflora L.	SPECIES	220	Magnoliopsida	Plantae	1883
152543438	8153538	https://www.gbif.org/species/8153538	Oenothera ×oehlkersii Kappus	ACCEPTED	8153538	Oenothera ×oehlkersii Kappus	SPECIES	220	Magnoliopsida	Plantae	1884
152543443	2382155	https://www.gbif.org/species/2382155	Sander lucioperca (Linnaeus, 1758)	ACCEPTED	2382155	Sander lucioperca (Linnaeus, 1758)	SPECIES			Animalia	1890
152543443	2382155	https://www.gbif.org/species/2382155	Sander lucioperca (Linnaeus, 1758)	ACCEPTED	2382155	Sander lucioperca (Linnaeus, 1758)	SPECIES			Animalia	1890
152543450	2394486	https://www.gbif.org/species/2394486	Lepomis gibbosus (Linnaeus, 1758)	ACCEPTED	2394486	Lepomis gibbosus (Linnaeus, 1758)	SPECIES			Animalia	1885
152543450	2394486	https://www.gbif.org/species/2394486	Lepomis gibbosus (Linnaeus, 1758)	ACCEPTED	2394486	Lepomis gibbosus (Linnaeus, 1758)	SPECIES			Animalia	1885
152543451	7322529	https://www.gbif.org/species/7322529	Oenothera ×rubricaulis Kleb.	ACCEPTED	7322529	Oenothera ×rubricaulis Kleb.	SPECIES	220	Magnoliopsida	Plantae	1887
152543451	7322529	https://www.gbif.org/species/7322529	Oenothera ×rubricaulis Kleb.	ACCEPTED	7322529	Oenothera ×rubricaulis Kleb.	SPECIES	220	Magnoliopsida	Plantae	1887
152543452	7322393	https://www.gbif.org/species/7322393	Oenothera indecora Cambess.	ACCEPTED	7322393	Oenothera indecora Cambess.	SPECIES	220	Magnoliopsida	Plantae	1895
152543452	7322393	https://www.gbif.org/species/7322393	Oenothera indecora Cambess.	ACCEPTED	7322393	Oenothera indecora Cambess.	SPECIES	220	Magnoliopsida	Plantae	1895
152543455	2394563	https://www.gbif.org/species/2394563	Micropterus salmoides (Lacepède, 1802)	ACCEPTED	2394563	Micropterus salmoides (Lacepède, 1802)	SPECIES			Animalia	1877
152543463	3667628	https://www.gbif.org/species/3667628	Oenothera ×nuda Renner ex Rostanski	ACCEPTED	3667628	Oenothera ×nuda Renner ex Rostanski	SPECIES	220	Magnoliopsida	Plantae	1933
152543463	3667628	https://www.gbif.org/species/3667628	Oenothera ×nuda Renner ex Rostanski	ACCEPTED	3667628	Oenothera ×nuda Renner ex Rostanski	SPECIES	220	Magnoliopsida	Plantae	1933
152543475	3188830	https://www.gbif.org/species/3188830	Oenothera stricta Link	ACCEPTED	3188830	Oenothera stricta Link	SPECIES	220	Magnoliopsida	Plantae	1878
152543476	3188838	https://www.gbif.org/species/3188838	Oenothera perennis L.	ACCEPTED	3188838	Oenothera perennis L.	SPECIES	220	Magnoliopsida	Plantae	1943
152543476	3188838	https://www.gbif.org/species/3188838	Oenothera perennis L.	ACCEPTED	3188838	Oenothera perennis L.	SPECIES	220	Magnoliopsida	Plantae	1943
152543478	3188867	https://www.gbif.org/species/3188867	Oenothera laciniata Hill	ACCEPTED	3188867	Oenothera laciniata Hill	SPECIES	220	Magnoliopsida	Plantae	1893
152543480	3188875	https://www.gbif.org/species/3188875	Oenothera rosea Aiton	ACCEPTED	3188875	Oenothera rosea Aiton	SPECIES	220	Magnoliopsida	Plantae	1835
152543480	3188875	https://www.gbif.org/species/3188875	Oenothera rosea Aiton	ACCEPTED	3188875	Oenothera rosea Aiton	SPECIES	220	Magnoliopsida	Plantae	1835
152543482	3188884	https://www.gbif.org/species/3188884	Oenothera oakesiana (A.Gray) J.W.Robbins ex S.Watson	ACCEPTED	3188884	Oenothera oakesiana (A.Gray) J.W.Robbins ex S.Watson	SPECIES	220	Magnoliopsida	Plantae	1867
152543486	3188924	https://www.gbif.org/species/3188924	Oenothera biennis L.	ACCEPTED	3188924	Oenothera biennis L.	SPECIES	220	Magnoliopsida	Plantae	1792
152543487	3188894	https://www.gbif.org/species/3188894	Oenothera glazioviana Micheli	ACCEPTED	3188894	Oenothera glazioviana Micheli	SPECIES	220	Magnoliopsida	Plantae	1868
152543493	5202520	https://www.gbif.org/species/5202520	Ictalurus punctatus (Rafinesque, 1818)	ACCEPTED	5202520	Ictalurus punctatus (Rafinesque, 1818)	SPECIES			Animalia	1884
152543493	5202520	https://www.gbif.org/species/5202520	Ictalurus punctatus (Rafinesque, 1818)	ACCEPTED	5202520	Ictalurus punctatus (Rafinesque, 1818)	SPECIES			Animalia	1884
152543496	2340977	https://www.gbif.org/species/2340977	Ameiurus melas (Rafinesque, 1820)	ACCEPTED	2340977	Ameiurus melas (Rafinesque, 1820)	SPECIES			Animalia	1880
152543496	2340977	https://www.gbif.org/species/2340977	Ameiurus melas (Rafinesque, 1820)	ACCEPTED	2340977	Ameiurus melas (Rafinesque, 1820)	SPECIES			Animalia	1880
152543498	2340989	https://www.gbif.org/species/2340989	Ameiurus nebulosus (Lesueur, 1819)	ACCEPTED	2340989	Ameiurus nebulosus (Lesueur, 1819)	SPECIES			Animalia	1871
152543498	2340989	https://www.gbif.org/species/2340989	Ameiurus nebulosus (Lesueur, 1819)	ACCEPTED	2340989	Ameiurus nebulosus (Lesueur, 1819)	SPECIES			Animalia	1871
152543505	5204019	https://www.gbif.org/species/5204019	Oncorhynchus mykiss (Walbaum, 1792)	ACCEPTED	5204019	Oncorhynchus mykiss (Walbaum, 1792)	SPECIES			Animalia	1884
152543505	5204019	https://www.gbif.org/species/5204019	Oncorhynchus mykiss (Walbaum, 1792)	ACCEPTED	5204019	Oncorhynchus mykiss (Walbaum, 1792)	SPECIES			Animalia	1884
152543526	4286975	https://www.gbif.org/species/4286975	Cyprinus carpio Linnaeus, 1758	ACCEPTED	4286975	Cyprinus carpio Linnaeus, 1758	SPECIES			Animalia	1201
152543526	4286975	https://www.gbif.org/species/4286975	Cyprinus carpio Linnaeus, 1758	ACCEPTED	4286975	Cyprinus carpio Linnaeus, 1758	SPECIES			Animalia	1201
152543532	4286942	https://www.gbif.org/species/4286942	Carassius auratus (Linnaeus, 1758)	ACCEPTED	4286942	Carassius auratus (Linnaeus, 1758)	SPECIES			Animalia	1601
152543532	4286942	https://www.gbif.org/species/4286942	Carassius auratus (Linnaeus, 1758)	ACCEPTED	4286942	Carassius auratus (Linnaeus, 1758)	SPECIES			Animalia	1601
152543533	2366634	https://www.gbif.org/species/2366634	Carassius gibelio (Bloch, 1782)	ACCEPTED	2366634	Carassius gibelio (Bloch, 1782)	SPECIES			Animalia	1601
152543533	2366634	https://www.gbif.org/species/2366634	Carassius gibelio (Bloch, 1782)	ACCEPTED	2366634	Carassius gibelio (Bloch, 1782)	SPECIES			Animalia	1601
152543543	2362881	https://www.gbif.org/species/2362881	Leucaspius delineatus (Heckel, 1843)	ACCEPTED	2362881	Leucaspius delineatus (Heckel, 1843)	SPECIES			Animalia	1910
152543572	5777912	https://www.gbif.org/species/5777912	Lithoglyphus naticoides (C.Pfeiffer, 1828)	ACCEPTED	5777912	Lithoglyphus naticoides (C.Pfeiffer, 1828)	SPECIES	225	Gastropoda	Animalia	1924
152543572	5777912	https://www.gbif.org/species/5777912	Lithoglyphus naticoides (C.Pfeiffer, 1828)	ACCEPTED	5777912	Lithoglyphus naticoides (C.Pfeiffer, 1828)	SPECIES	225	Gastropoda	Animalia	1924
152543577	5410480	https://www.gbif.org/species/5410480	Campanula rhomboidalis L.	ACCEPTED	5410480	Campanula rhomboidalis L.	SPECIES	220	Magnoliopsida	Plantae	1949
152543577	5410480	https://www.gbif.org/species/5410480	Campanula rhomboidalis L.	ACCEPTED	5410480	Campanula rhomboidalis L.	SPECIES	220	Magnoliopsida	Plantae	1949
