taxonKey	canonicalName	kingdom	class	em_pts	mean_growth	year_2023_em_status_occupancy_natura2000_Wallonia	year_2023_em_status_occs_natura2000_Wallonia	year_2023_em_status_occupancy_Wallonia	year_2023_em_status_occs_Wallonia	year_2022_em_status_occupancy_natura2000_Wallonia	year_2022_em_status_occs_natura2000_Wallonia	year_2022_em_status_occupancy_Wallonia	year_2022_em_status_occs_Wallonia	year_2021_em_status_occupancy_natura2000_Wallonia	year_2021_em_status_occs_natura2000_Wallonia	year_2021_em_status_occupancy_Wallonia	year_2021_em_status_occs_Wallonia	kingdomKey	classKey
2037925	Orientus ishidae	Animalia	Insecta	61		2	2	2	2	3	3	3	3	3	3	3	2	1	216
2469188	Podarcis muralis	Animalia	Squamata	61		3	2	3	3	2	3	3	3	2	2	2	2	1	11592253
5179027	Scutigera coleoptrata	Animalia	Chilopoda	60.5		2	2	2	2	3	3	3	2	3	3	3	3	1	360
5220170	Rupicapra rupicapra	Animalia	Mammalia	60		3	3	3	3	3	3	3	3	1	1	1	1	1	359
2473477	Syrmaticus reevesii	Animalia	Aves	59.5	1.1769103489720136	2	3	3	3	2	2	3	3	2	2	2	3	1	212
5415012	Linaria purpurea	Plantae	Magnoliopsida	59.5		2	2	2	2	3	3	3	3	3	3	2	2	6	220
7135755	Rhododendron luteum	Plantae	Magnoliopsida	59.5		3	3	3	3	1	1	2	2	3	3	3	3	6	220
3136320	Hieracium amplexicaule	Plantae	Magnoliopsida	58.5	1.1640684694549492	2	3	2	3	2	3	2	3	2	3	2	3	6	220
2880580	Quercus cerris	Plantae	Magnoliopsida	58.5	1.0559392582605749	2	2	2	3	3	3	2	3	2	2	3	3	6	220
8745918	Deroceras invadens	Animalia	Gastropoda	58.5		2	2	2	2	3	3	2	2	3	3	3	3	1	225
2683866	Chamaecyparis lawsoniana	Plantae	Pinopsida	57.5	1.1752088374428409	2	2	2	3	2	2	2	3	3	3	3	3	6	194
7828157	Petroselinum crispum	Plantae	Magnoliopsida	57.5	1.0762268720630412	1	3	1	3	3	3	2	3	3	3	2	3	6	220
2153287	Zoropsis spinimana	Animalia	Arachnida	57.5		2	2	2	2	2	2	3	3	3	3	3	3	1	367
2775619	Yucca gloriosa	Plantae	Liliopsida	57.5		3	2	2	2	3	2	3	2	3	2	2	2	6	196
2747564	Crocus tommasinianus	Plantae	Liliopsida	57	0.9811627441620302	2	2	2	1	3	3	3	1	3	3	3	3	6	196
4483961	Viridicerus ustulatus	Animalia	Insecta	57		3	3	3	2	3	3	3	3	0	0	2	2	1	216
3797084	Alkekengi officinarum	Plantae	Magnoliopsida	56.5	1.0569295391413205	1	3	1	3	2	3	2	3	3	3	3	3	6	220
2766030	Pontederia cordata	Plantae	Liliopsida	56.5		1	1	2	2	3	3	3	3	3	3	3	3	6	196
2855398	Galanthus elwesii	Plantae	Liliopsida	56.5		1	1	2	2	3	3	3	3	3	3	3	3	6	196
2986111	Ribes aureum	Plantae	Magnoliopsida	56.5		1	1	2	2	3	3	3	3	3	3	3	3	6	220
4565061	Cernuella neglecta	Animalia	Gastropoda	56.5		3	2	2	2	3	3	3	3	2	2	1	1	1	225
2888625	Viburnum rhytidophyllum	Plantae	Magnoliopsida	56	1.0042673063808303	2	1	2	1	3	3	3	3	3	3	2	3	6	220
1311477	Vespa velutina	Animalia	Insecta	56		2	2	2	2	3	3	3	3	2	2	2	2	1	216
2891774	Impatiens capensis	Plantae	Magnoliopsida	55.5		1	1	3	2	3	2	3	2	3	3	3	3	6	220
5598598	Lonicera acuminata	Plantae	Magnoliopsida	55.5		3	3	2	2	3	3	3	3	1	1	1	1	6	220
5324959	Himantoglossum robertianum	Plantae	Liliopsida	55		1	2	1	2	3	3	3	3	3	3	2	3	6	196
3084022	Phytolacca acinosa	Plantae	Magnoliopsida	54.5	1.2924753732907643	2	1	2	3	3	1	3	3	3	1	3	3	6	220
9451184	Pavo cristatus	Animalia	Aves	54.5	1.049511787369549	3	3	2	3	2	2	2	3	1	1	2	3	1	212
2685361	Abies grandis	Plantae	Pinopsida	54.5	1.0028785843763675	2	3	2	1	2	3	2	3	2	3	2	3	6	194
4567717	Boettgerilla pallens	Animalia	Gastropoda	54		2	2	2	2	2	2	2	2	3	3	3	3	1	225
5284702	Cedrus atlantica	Plantae	Pinopsida	54		2	2	2	2	2	2	2	2	3	3	3	3	6	194
7127354	Cyclamen coum	Plantae	Magnoliopsida	54		2	2	2	2	2	2	2	2	3	3	3	3	6	220
9350124	Natrix helvetica	Animalia	Squamata	54		2	2	2	2	2	2	2	2	3	3	3	3	1	11592253
2705090	Panicum miliaceum	Plantae	Liliopsida	53.5	1.1539519692092564	1	1	2	3	3	3	3	3	2	2	2	3	6	196
4264680	Myocastor coypus	Animalia	Mammalia	53.5	1.0061571161033218	3	1	2	1	3	1	3	3	3	1	3	3	1	359
2437450	Tamias sibiricus	Animalia	Mammalia	53.5		3	2	2	2	2	2	2	2	2	3	2	3	1	359
2650827	Cyrtomium fortunei	Plantae	Polypodiopsida	53.5		3	3	2	2	2	2	2	2	2	2	2	2	6	7228684
1309600	Andricus kollari	Animalia	Insecta	53	0.7817526413945424	3	3	3	1	3	3	3	1	1	1	1	1	1	216
3140436	Lactuca macrophylla	Plantae	Magnoliopsida	53		1	1	2	2	3	3	3	2	2	3	3	3	6	220
7315072	Papaver atlanticum	Plantae	Magnoliopsida	53		1	1	2	2	3	3	2	2	3	3	3	3	6	220
3152861	Liriodendron tulipifera	Plantae	Magnoliopsida	52.5	1.0562072493849533	2	2	2	3	2	2	2	3	2	2	2	3	6	220
2747567	Crocus vernus	Plantae	Liliopsida	52		1	1	1	1	3	3	3	3	3	3	3	3	6	196
3026107	Cotoneaster simonsii	Plantae	Magnoliopsida	52		3	3	2	2	3	3	2	2	1	1	1	1	6	220
3104106	Sanvitalia procumbens	Plantae	Magnoliopsida	52		1	1	1	1	3	3	3	3	3	3	3	3	6	220
3981543	Berberis julianae	Plantae	Magnoliopsida	52		1	1	1	1	3	3	3	3	3	3	3	3	6	220
3147168	Erigeron karvinskianus	Plantae	Magnoliopsida	51	1.2036815112834667	2	1	2	3	2	1	2	3	2	3	3	3	6	220
5410411	Campanula portenschlagiana	Plantae	Magnoliopsida	51	1.0618545310820215	2	1	2	3	3	1	3	3	2	1	2	3	6	220
2685796	Pseudotsuga menziesii	Plantae	Pinopsida	51	0.9351264806148231	3	1	3	1	3	1	3	1	3	1	3	1	6	194
2959443	Gleditsia triacanthos	Plantae	Magnoliopsida	51		3	3	2	2	1	1	2	2	3	2	2	2	6	220
2985965	Deutzia scabra	Plantae	Magnoliopsida	51		1	1	1	1	3	3	3	3	3	3	3	2	6	220
3034015	Laurus nobilis	Plantae	Magnoliopsida	51		1	1	1	1	3	3	3	3	3	3	3	2	6	220
3170040	Gentiana lutea	Plantae	Magnoliopsida	51		1	2	3	2	2	2	3	2	2	2	3	2	6	220
2888585	Viburnum tinus	Plantae	Magnoliopsida	50.5		1	1	2	2	3	3	2	2	3	3	2	2	6	220
3020871	Prunus lusitanica	Plantae	Magnoliopsida	50.5		1	1	1	1	3	3	3	3	3	3	2	3	6	220
3036033	Hedera colchica	Plantae	Magnoliopsida	50.5		1	1	1	1	3	3	3	3	3	2	3	3	6	220
3133887	Coreopsis verticillata	Plantae	Magnoliopsida	50.5		1	1	1	1	3	3	3	3	3	2	3	3	6	220
5341497	Nepeta racemosa	Plantae	Magnoliopsida	50.5		2	2	2	2	2	2	2	2	2	2	3	3	6	220
3690997	Cardamine occulta	Plantae	Magnoliopsida	50		2	2	2	2	3	3	3	2	0	0	3	3	6	220
5584611	Silene chalcedonica	Plantae	Magnoliopsida	50		1	1	1	1	3	3	2	3	3	3	3	3	6	220
5330661	Arum italicum	Plantae	Liliopsida	49.5	1.2085143490948924	0	3	3	3	0	3	3	3	0	3	3	3	6	196
4460066	Chrysolina americana	Animalia	Insecta	49.5	1.0971867644445692	3	3	0	3	2	2	0	3	3	3	0	3	1	216
2772094	Muscari botryoides	Plantae	Liliopsida	49.5	1.0783888278860083	1	1	1	3	2	2	2	3	3	3	3	3	6	196
4532122	Cydalima perspectalis	Animalia	Insecta	49.5	0.8952654689317693	3	3	1	1	3	3	1	1	3	2	1	1	1	216
2891783	Impatiens balfourii	Plantae	Magnoliopsida	49.5	0.8891800478849189	1	1	2	1	3	3	3	1	3	3	3	1	6	220
3026334	Cotoneaster divaricatus	Plantae	Magnoliopsida	49.5		1	1	1	1	3	3	3	3	3	3	2	2	6	220
5284982	Pinus strobus	Plantae	Pinopsida	49.5		1	1	1	1	3	3	3	3	3	2	3	2	6	194
1421091	Lepisma saccharinum	Animalia	Insecta	49	1.1894825008953458	3	2	0	3	2	3	0	3	3	3	0	3	1	216
7127810	Cyclamen hederifolium	Plantae	Magnoliopsida	49	0.7937234560033571	2	2	2	0	3	3	3	0	3	3	2	0	6	220
7560711	Oxalis tetraphylla	Plantae	Magnoliopsida	49		2	2	2	2	3	3	2	2	1	1	2	2	6	220
2494303	Serinus canaria	Animalia	Aves	48.5		1	1	2	2	2	2	2	2	3	3	3	3	1	212
