taxonKey	taxonName	reappearance_year	years_without_occurrences	acceptedKingdom
6432925	Fraxinus angustifolia subsp. oxycarpa (M.Bieb. ex Willd.) Franco & Rocha Afonso	2023	6	Plantae
6436603	Hypericum hircinum	2023	6	Plantae
2010226	Sthenarus rotermundi	2023	5	Animalia
2047706	Stragania apicalis	2023	5	Animalia
2479498	Polytelis anthopeplus	2023	5	Animalia
2498411	Amazonetta brasiliensis	2023	5	Animalia
2890651	Geranium psilostemon	2023	5	Plantae
5303891	Danae racemosa	2023	5	Plantae
5334253	Lonicera involucrata	2023	5	Plantae
5359169	Trifolium michelianum	2023	5	Plantae
7322122	Davidia involucrata	2023	5	Plantae
7577557	Bispira polyomma	2023	5	Animalia
7664179	Technomyrmex vitiensis	2023	5	Animalia
8356787	Pourthiaea villosa	2023	5	Plantae
10933479	Haliclona xena	2023	5	Animalia
7992320	Phorcus lineatus	2022	38	Animalia
5366327	Potentilla montana	2022	35	Plantae
2172885	Evarcha jucunda	2022	27	Animalia
5568424	Dysphania carinata	2022	27	Plantae
5300102	Gagea pratensis	2022	24	Plantae
3002530	Rosa gallica	2022	22	Plantae
6068804	Cenchrus petiolaris	2022	22	Plantae
2948921	Cullen americanum	2022	21	Plantae
2984481	Celtis occidentalis	2022	21	Plantae
3827980	Erodium crinitum	2022	21	Plantae
2492196	Melospiza melodia	2022	18	Animalia
2874692	Frankenia pulverulenta	2022	18	Plantae
5844449	Aquila fasciata	2022	18	Animalia
2925530	Verbena urticifolia	2022	17	Plantae
3100375	Acanthospermum hispidum	2022	17	Plantae
3631129	Eryngium giganteum	2022	17	Plantae
2714656	Cyperus congestus	2022	14	Plantae
2891661	Oxalis pes-caprae	2022	14	Plantae
2489071	Lamprotornis chalybaeus	2022	13	Animalia
2498288	Coscoroba coscoroba	2022	13	Animalia
3025605	Cotoneaster zabelii	2022	12	Plantae
2498350	Somateria spectabilis	2022	11	Animalia
2705339	Eragrostis mexicana	2022	11	Plantae
2996897	Rubus setchuenensis	2022	11	Plantae
3152264	Malvastrum americanum	2022	11	Plantae
5360429	Trigonella caelesyriaca	2022	11	Plantae
2474162	Coturnix japonica	2022	10	Animalia
2889010	Rumex cristatus	2022	10	Plantae
3066993	Euphorbia dentata	2022	10	Plantae
3596131	Halimium lasianthum subsp. alyssoides (Lam.) Greuter	2022	10	Plantae
3829143	Erodium stephanianum	2022	10	Plantae
5358302	Scorpiurus muricatus	2022	10	Plantae
8237223	Halimium lasianthum	2022	10	Plantae
1803163	Utetheisa pulchella	2022	9	Animalia
2765221	Tradescantia pallida	2022	9	Plantae
2772958	Ornithogalum narbonense	2022	9	Plantae
5299590	Tulipa urumiensis	2022	9	Plantae
5333354	Leucothoe fontanesiana	2022	9	Plantae
5415056	Forsythia suspensa	2022	9	Plantae
7427650	Convolvulus tricolor subsp. cupanianus (Tod.) Cavara & Grande	2022	9	Plantae
2162049	Olios argelasius	2022	8	Animalia
2480513	Aquila nipalensis	2022	8	Animalia
2728060	Carex vulpinoidea	2022	8	Plantae
2874190	Passiflora edulis	2022	8	Plantae
3152084	Corchorus olitorius	2022	8	Plantae
5569367	Scaevola aemula	2022	8	Plantae
7295374	Anchusa officinalis subsp. officinalis	2022	8	Plantae
7372514	Malcolmia maritima	2022	8	Plantae
7901010	Rumex obtusifolius subsp. sylvestris (Lam.) Celak.	2022	8	Plantae
8060423	Cercidiphyllum japonicum	2022	8	Plantae
2916662	Asperula arvensis	2022	7	Plantae
2926055	Asperugo procumbens	2022	7	Plantae
2965221	Medicago laciniata	2022	7	Plantae
3088623	Guizotia scabra	2022	7	Plantae
3119185	Helianthus decapetalus	2022	7	Plantae
3129010	Centaurea diluta	2022	7	Plantae
3916499	Caylusea abyssinica	2022	7	Plantae
5617467	Alcea rugosa	2022	7	Plantae
7346090	Erythranthe moschata	2022	7	Plantae
2215949	Melita nitida	2022	6	Animalia
2489004	Acridotheres ginginianus	2022	6	Animalia
2965434	Medicago monspeliaca	2022	6	Plantae
2971112	Melilotus sulcatus	2022	6	Plantae
2986022	Philadelphus pubescens	2022	6	Plantae
3128228	Centaurea nigrescens	2022	6	Plantae
3148589	Anacyclus clavatus	2022	6	Plantae
4137839	Koeleria glauca	2022	6	Plantae
4496869	Neuroterus saliens	2022	6	Animalia
5217334	Xenopus laevis	2022	6	Animalia
5219380	Mephitis mephitis	2022	6	Animalia
5384373	Amaranthus graecizans	2022	6	Plantae
5660450	Pulmonaria rubra	2022	6	Plantae
7116158	Sphaeralcea bonariensis	2022	6	Plantae
8350395	Cyclospermum leptophyllum	2022	6	Plantae
1713418	Locusta migratoria	2022	5	Animalia
2498302	Oxyura leucocephala	2022	5	Animalia
2703231	Zizania latifolia	2022	5	Plantae
2925767	Heliotropium europaeum	2022	5	Plantae
2952882	Bituminaria bituminosa	2022	5	Plantae
2965280	Medicago truncatula	2022	5	Plantae
2970585	Sesbania herbacea	2022	5	Plantae
3044912	Alyssum montanum	2022	5	Plantae
3054352	Juglans cinerea	2022	5	Plantae
3152493	Anoda cristata	2022	5	Plantae
3172294	Ligustrum sinense	2022	5	Plantae
3586046	Gladiolus hortulanus	2022	5	Plantae
5290069	Parapholis incurva	2022	5	Plantae
5341394	Perilla frutescens	2022	5	Plantae
5406735	Sida rhombifolia	2022	5	Plantae
5609719	Scutellaria columnae	2022	5	Plantae
7529533	Canna hybrida	2022	5	Plantae
8338793	Modiola caroliniana	2022	5	Plantae
9228111	Fumaria bastardii	2022	5	Plantae
