taxonKey	taxonName	reappearance_year	years_without_occurrences	acceptedKingdom
2226990	Pacifastacus leniusculus	2026	17	Animalia
1873890	Cadra cautella	2026	15	Animalia
7339492	Rodgersia aesculifolia	2026	15	Plantae
2986132	Ribes divaricatum	2026	12	Plantae
5219702	Cavia porcellus	2026	11	Animalia
7262958	Acer monspessulanum	2026	6	Plantae
5299675	Tulipa gesneriana	2026	5	Plantae
9139578	Aulacaspis rosae	2026	5	Animalia
3125933	Santolina chamaecyparissus	2025	45	Plantae
5232445	Branta sandvicensis	2025	27	Animalia
3140436	Lactuca macrophylla	2025	24	Plantae
5177089	Jaera istri	2025	20	Animalia
6313089	Echinochloa crus-galli subsp. utilis (Ohwi & Yabuno) T.Koyama	2025	20	Plantae
2220312	Hemimysis anomala	2025	19	Animalia
7730307	Erythranthe lutea	2025	14	Plantae
2481670	Limnodromus scolopaceus	2025	13	Animalia
2705420	Eragrostis pectinacea	2025	13	Plantae
7068732	Arabidopsis arenosa subsp. arenosa	2025	13	Plantae
8069880	Falco rusticolus	2025	13	Animalia
3642531	Chaerophyllum aureum	2025	12	Plantae
5376309	Diplotaxis erucoides	2025	10	Plantae
4925890	Acer tataricum subsp. ginnala (Maxim.) Wesm.	2025	9	Plantae
5285074	Pinus wallichiana	2025	9	Plantae
5422556	Undaria pinnatifida	2025	9	Chromista
4293134	Neoclytus acuminatus	2025	8	Animalia
5391845	Bidens pilosa	2025	8	Plantae
5406735	Sida rhombifolia	2025	8	Plantae
2455615	Pantherophis guttatus	2025	7	Animalia
2479498	Polytelis anthopeplus	2025	7	Animalia
2498125	Anas carolinensis	2025	7	Animalia
3756077	Chenopodium giganteum	2025	7	Plantae
5374922	Arabis caucasica	2025	7	Plantae
2925351	Clerodendrum bungei	2025	6	Plantae
3138192	Eutrochium purpureum	2025	6	Plantae
6035638	Chenopodium probstii	2025	6	Plantae
2481110	Phoenicopterus chilensis	2025	5	Animalia
2498155	Mareca americana	2025	5	Animalia
2726539	Carex scoparia	2025	5	Plantae
2856681	Allium sativum	2025	5	Plantae
