taxonKey	taxonName	kingdom	class	year_2024_em_status_occupancy_natura2000	year_2024_em_status_occs_natura2000	year_2024_em_status_occupancy_Belgium	year_2024_em_status_occs_Belgium	year_2023_em_status_occupancy_natura2000	year_2023_em_status_occs_natura2000	year_2023_em_status_occupancy_Belgium	year_2023_em_status_occs_Belgium	year_2022_em_status_occupancy_natura2000	year_2022_em_status_occs_natura2000	year_2022_em_status_occupancy_Belgium	year_2022_em_status_occs_Belgium	mean_growth	clasKey
5341201	Anchusa officinalis L.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.389033799498657	220
5410411	Campanula portenschlagiana Schult.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.3888282381945887	220
3067353	Euphorbia characias L.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.3823713582104096	220
5229205	Eudocimus albus (Linnaeus, 1758)	Animalia	Aves	3	3	3	3	3	3	3	3	3	3	3	3	1.3685846091868819	212
2926110	Borago officinalis L.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.3617365146117328	220
5392859	Echinops bannaticus Rochel ex Schrad.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.3609198988793707	220
3147168	Erigeron karvinskianus DC.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.3562812259807036	220
3033865	Mahonia aquifolium (Pursh) Nutt.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.355193905135135	220
2888740	Centranthus ruber (L.) DC.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.3523788215520351	220
3117449	Erigeron annuus (L.) Pers.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.3417492084981666	220
8427624	Oxalis corniculata L.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.3388989527910677	220
7315063	Pseudofumaria alba (Mill.) Lidén	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.329247949434276	220
2747564	Crocus tommasinianus Herb.	Plantae	Liliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.3276182302327282	196
2891770	Impatiens glandulifera Royle	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.3257672065831616	220
5290177	Lagurus ovatus L.	Plantae	Liliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.3252176336535173	196
2926130	Pentaglottis sempervirens (L.) Tausch ex L.H.Bailey	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.3252158326543901	220
4427319	Anthrenus angustefasciatus Ganglbauer, 1904	Animalia	Insecta	3	3	3	3	3	3	3	3	3	3	3	3	1.3241684728499397	216
3172077	Veronica persica Poir.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.3130220115826343	220
3085623	Petrorhagia saxifraga (L.) Link	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.312088589164146	220
8200663	Cymbalaria muralis G.Gaertn., B.Mey. & Scherb.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.3040864046470646	220
2439261	Rattus norvegicus (Berkenhout, 1769)	Animalia	Mammalia	3	3	3	3	3	3	3	3	3	3	3	3	1.3030231435311013	359
2705181	Sorghum bicolor (L.) Moench	Plantae	Liliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.3000021600401825	196
3122924	Pilosella aurantiaca (L.) F.W.Schultz & Sch.Bip.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.2982851779082547	220
3067119	Euphorbia maculata L.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.2957760016249453	220
5350005	Coronilla varia L.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.2957392025800165	220
7332415	Chaenorhinum origanifolium (L.) Fourr.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.2883150386569244	220
3188894	Oenothera glazioviana Micheli	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.287259022312938	220
2890122	Geranium pyrenaicum Burm.f.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.2841599279862559	220
3084719	Portulaca oleracea L.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.2835323282824955	220
5365717	Potentilla indica (Andrews) Th.Wolf	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.2818263010236233	220
5373324	Lunaria annua L.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.2808159417865892	220
2772666	Hyacinthus orientalis L.	Plantae	Liliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.2806102794392078	196
5328909	Sagittaria latifolia Willd.	Plantae	Liliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.2782014491335638	196
5341754	Nicandra physalodes (L.) Gaertn.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.2768537976081773	220
2876049	Corylus maxima Mill.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.2766800559641576	220
5386938	Tragopogon porrifolius L.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.2753731498181242	220
8002952	Ambrosia artemisiifolia L.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.2748028031138123	220
5356517	Lathyrus latifolius L.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.273546102364353	220
2747567	Crocus vernus (L.) Hill	Plantae	Liliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.273525244355948	196
3085360	Saponaria officinalis L.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.2729245710082098	220
8298495	Galinsoga quadriradiata Ruiz & Pav.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.2722543097718224	220
8012439	Symphoricarpos albus (L.) K.Koch	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.2719138672927874	220
5384364	Amaranthus hybridus L.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.270345374322785	220
5408087	Lobelia erinus L.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.2696098950605066	220
9151957	Medicago sativa L.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.2676859322483225	220
7795888	Triticum aestivum L.	Plantae	Liliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.265845603825595	196
2765272	Tradescantia virginiana L.	Plantae	Liliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.259484005554583	196
8911082	Amaranthus blitum L.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.257546771405862	220
5352251	Robinia pseudoacacia L.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.2563702209470426	220
7820753	Magallana gigas (Thunberg, 1793)	Animalia	Bivalvia	3	3	3	3	3	3	3	3	3	3	3	3	1.254905023191108	137
3053522	Berteroa incana (L.) DC.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.252319140982121	220
2227300	Procambarus clarkii (Girard, 1852)	Animalia	Malacostraca	3	3	3	3	3	3	3	3	3	3	3	3	1.248222645688271	229
2706056	Hordeum vulgare L.	Plantae	Liliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.2480275026471754	196
2495414	Columba livia J.F.Gmelin, 1789	Animalia	Aves	3	3	3	3	3	3	3	3	3	3	3	3	1.2436163650463723	212
5392174	Bidens frondosa L.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.2402712103379003	220
4933624	Inula racemosa Hook.fil.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.2370372050413554	220
4382841	Hemigrapsus takanoi Asakura & Watanabe, 2005	Animalia	Malacostraca	3	3	3	3	3	3	3	3	3	3	3	3	1.2363452799184849	229
3066965	Euphorbia lathyris L.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.2338810622267344	220
3048203	Erysimum cheiri (L.) Crantz	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.2319041812788225	220
3084015	Phytolacca americana L.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.2316585399303956	220
5389017	Solidago gigantea Aiton	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.2279075676974822	220
2975667	Galega officinalis L.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.2263138386750279	220
2964355	Lupinus polyphyllus Lindl.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.226004451892316	220
