taxonKey,speciesKey,scientificName,kingdom,phylum,order,class,genus,family,species,rank,includes
1004851,1004851,"Hagiosynodos latus (Busk, 1856)",Animalia,Bryozoa,Cheilostomatida,Gymnolaemata,Hagiosynodos,Cheiloporinidae,Hagiosynodos latus,SPECIES,"1004851: Hagiosynodos latus (Busk, 1856)"
1005709,1005709,"Escharoides bishopi De Blauwe, 2006",Animalia,Bryozoa,Cheilostomatida,Gymnolaemata,Escharoides,Exochellidae,Escharoides bishopi,SPECIES,"1005709: Escharoides bishopi De Blauwe, 2006"
1005827,1005827,"Setosella vulnerata (Busk, 1860)",Animalia,Bryozoa,Cheilostomatida,Gymnolaemata,Setosella,Setosellidae,Setosella vulnerata,SPECIES,"1005827: Setosella vulnerata (Busk, 1860)"
1005875,1005875,"Trypostega venusta (Norman, 1864)",Animalia,Bryozoa,Cheilostomatida,Gymnolaemata,Trypostega,Trypostegidae,Trypostega venusta,SPECIES,"1005875: Trypostega venusta (Norman, 1864)"
1005964,1005964,"Hippothoa flagellum Manzoni, 1870",Animalia,Bryozoa,Cheilostomatida,Gymnolaemata,Hippothoa,Hippothoidae,Hippothoa flagellum,SPECIES,"1005964: Hippothoa flagellum Manzoni, 1870"
1005979,1005979,"Hippothoa divaricata Lamouroux, 1821",Animalia,Bryozoa,Cheilostomatida,Gymnolaemata,Hippothoa,Hippothoidae,Hippothoa divaricata,SPECIES,"1005979: Hippothoa divaricata Lamouroux, 1821"
1006372,1006372,"Chorizopora brongniartii (Audouin, 1826)",Animalia,Bryozoa,Cheilostomatida,Gymnolaemata,Chorizopora,Chorizoporidae,Chorizopora brongniartii,SPECIES,"1006372: Chorizopora brongniartii (Audouin, 1826)"
1006459,1006459,"Aspidelectra melolontha (Landsborough, 1852)",Animalia,Bryozoa,Cheilostomatida,Gymnolaemata,Aspidelectra,Electridae,Aspidelectra melolontha,SPECIES,"1006459: Aspidelectra melolontha (Landsborough, 1852)"
1006487,1006487,"Flustra foliacea (Linnaeus, 1758)",Animalia,Bryozoa,Cheilostomatida,Gymnolaemata,Flustra,Flustridae,Flustra foliacea,SPECIES,"1006487: Flustra foliacea (Linnaeus, 1758)"
1006700,1006700,"Parasmittina trispinosa (Johnston, 1838)",Animalia,Bryozoa,Cheilostomatida,Gymnolaemata,Parasmittina,Smittinidae,Parasmittina trispinosa,SPECIES,"1006700: Parasmittina trispinosa (Johnston, 1838)"
1007094,1007094,"Crassimarginatella solidula (Hincks, 1860)",Animalia,Bryozoa,Cheilostomatida,Gymnolaemata,Crassimarginatella,Calloporidae,Crassimarginatella solidula,SPECIES,"1007094: Crassimarginatella solidula (Hincks, 1860)"
1007312,1007312,"Callopora discreta (Hincks, 1862)",Animalia,Bryozoa,Cheilostomatida,Gymnolaemata,Callopora,Calloporidae,Callopora discreta,SPECIES,"1007312: Callopora discreta (Hincks, 1862)"
1007316,1007316,"Callopora dumerilii (Audouin, 1826)",Animalia,Bryozoa,Cheilostomatida,Gymnolaemata,Callopora,Calloporidae,Callopora dumerilii,SPECIES,"1007316: Callopora dumerilii (Audouin, 1826)"
1007569,1007569,"Herentia hyndmanni (Johnston, 1847)",Animalia,Bryozoa,Cheilostomatida,Gymnolaemata,Herentia,Escharinidae,Herentia hyndmanni,SPECIES,"1007552: Escharina hyndmanni (Johnston, 1847)"
1007745,1007745,"Conopeum reticulum (Linnaeus, 1767)",Animalia,Bryozoa,Cheilostomatida,Gymnolaemata,Conopeum,Electridae,Conopeum reticulum,SPECIES,"1007745: Conopeum reticulum (Linnaeus, 1767)"
1008192,1008192,"Cribrilina punctata (Hassall, 1841)",Animalia,Bryozoa,Cheilostomatida,Gymnolaemata,Cribrilina,Cribrilinidae,Cribrilina punctata,SPECIES,"1008192: Cribrilina punctata (Hassall, 1841)"
1008243,1008243,"Collarina balzaci (Audouin, 1826)",Animalia,Bryozoa,Cheilostomatida,Gymnolaemata,Collarina,Cribrilinidae,Collarina balzaci,SPECIES,"1008243: Collarina balzaci (Audouin, 1826)"
1008297,1008297,"Puellina bifida (d'Hondt, 1970)",Animalia,Bryozoa,Cheilostomatida,Gymnolaemata,Puellina,Cribrilinidae,Puellina bifida,SPECIES,"1008297: Puellina bifida (d'Hondt, 1970)"
1008334,1008334,"Puellina praecox Bishop & Househam, 1987",Animalia,Bryozoa,Cheilostomatida,Gymnolaemata,Puellina,Cribrilinidae,Puellina praecox,SPECIES,"1008334: Puellina praecox Bishop & Househam, 1987"
1008593,1008593,"Cryptosula pallasiana (Moll, 1803)",Animalia,Bryozoa,Cheilostomatida,Gymnolaemata,Cryptosula,Cryptosulidae,Cryptosula pallasiana,SPECIES,"1008593: Cryptosula pallasiana (Moll, 1803)"
1008812,1008812,"Neolagenipora collaris (Norman, 1867)",Animalia,Bryozoa,Cheilostomatida,Gymnolaemata,Neolagenipora,Escharellidae,Neolagenipora collaris,SPECIES,"1008812: Neolagenipora collaris (Norman, 1867)"
1008943,1008943,"Fenestrulina malusii (Audouin, 1826)",Animalia,Bryozoa,Cheilostomatida,Gymnolaemata,Fenestrulina,Fenestrulinidae,Fenestrulina malusii,SPECIES,"1008943: Fenestrulina malusii (Audouin, 1826)"
1008955,1008955,"Fenestrulina delicia Winston, Hayward & Craig, 2000",Animalia,Bryozoa,Cheilostomatida,Gymnolaemata,Fenestrulina,Fenestrulinidae,Fenestrulina delicia,SPECIES,"1008955: Fenestrulina delicia Winston, Hayward & Craig, 2000"
1009018,1009018,"Microporella ciliata (Pallas, 1766)",Animalia,Bryozoa,Cheilostomatida,Gymnolaemata,Microporella,Microporellidae,Microporella ciliata,SPECIES,"1009018: Microporella ciliata (Pallas, 1766)"
1009341,1009341,"Hippoporina pertusa (Esper, 1796)",Animalia,Bryozoa,Cheilostomatida,Gymnolaemata,Hippoporina,Bitectiporidae,Hippoporina pertusa,SPECIES,"1009341: Hippoporina pertusa (Esper, 1796)"
1009401,1009401,"Schizomavella linearis (Hassall, 1841)",Animalia,Bryozoa,Cheilostomatida,Gymnolaemata,Schizomavella,Bitectiporidae,Schizomavella linearis,SPECIES,"1009401: Schizomavella linearis (Hassall, 1841)"
1009775,1009775,"Turbicellepora avicularis (Hincks, 1860)",Animalia,Bryozoa,Cheilostomatida,Gymnolaemata,Turbicellepora,Celleporidae,Turbicellepora avicularis,SPECIES,"1009775: Turbicellepora avicularis (Hincks, 1860)"
1009806,1009806,"Cellepora pumicosa (Pallas, 1766)",Animalia,Bryozoa,Cheilostomatida,Gymnolaemata,Cellepora,Celleporidae,Cellepora pumicosa,SPECIES,"1009806: Cellepora pumicosa (Pallas, 1766)"
1009964,1009964,"Reptadeonella violacea (Johnston, 1847)",Animalia,Bryozoa,Cheilostomatida,Gymnolaemata,Reptadeonella,Adeonidae,Reptadeonella violacea,SPECIES,"1009964: Reptadeonella violacea (Johnston, 1847)"
1010597,1010597,"Penetrantia concharum Silén, 1946",Animalia,Bryozoa,Ctenostomatida,Gymnolaemata,Penetrantia,Penetrantiidae,Penetrantia concharum,SPECIES,"1010597: Penetrantia concharum Silén, 1946"
1012292,1012292,"Ommatoiulus sabulosus (Linnaeus, 1758)",Animalia,Arthropoda,Julida,Diplopoda,Ommatoiulus,Julidae,Ommatoiulus sabulosus,SPECIES,"1012292: Ommatoiulus sabulosus (Linnaeus, 1758)"
1013335,1013335,"Tachypodoiulus niger (Leach, 1814)",Animalia,Arthropoda,Julida,Diplopoda,Tachypodoiulus,Julidae,Tachypodoiulus niger,SPECIES,"1013335: Tachypodoiulus niger (Leach, 1814)"
1013651,1013651,"Cylindroiulus punctatus (Leach, 1816)",Animalia,Arthropoda,Julida,Diplopoda,Cylindroiulus,Julidae,Cylindroiulus punctatus,SPECIES,"1013651: Cylindroiulus punctatus (Leach, 1816)"
1016841,1016841,"Orthomorpha coarctata (Saussure, 1860)",Animalia,Arthropoda,Polydesmida,Diplopoda,Orthomorpha,Paradoxosomatidae,Orthomorpha coarctata,SPECIES,"1016841: Orthomorpha coarctata (Saussure, 1860)"
1017419,1017419,"Oxidus gracilis (C.L.Koch, 1847)",Animalia,Arthropoda,Polydesmida,Diplopoda,Oxidus,Paradoxosomatidae,Oxidus gracilis,SPECIES,"1017419: Oxidus gracilis (C.L.Koch, 1847)"
1021882,1021882,"Nanogona polydesmoides (Leach, 1814)",Animalia,Arthropoda,Chordeumatida,Diplopoda,Nanogona,Craspedosomatidae,Nanogona polydesmoides,SPECIES,"1021882: Nanogona polydesmoides (Leach, 1814)"
1028151,1028151,"Glomeris intermedia Latzel, 1884",Animalia,Arthropoda,Glomerida,Diplopoda,Glomeris,Glomeridae,Glomeris intermedia,SPECIES,"1028151: Glomeris intermedia Latzel, 1884"
1028923,1028923,"Darwinula stevensoni (Brady & Robertson, 1870)",Animalia,Arthropoda,Podocopida,Ostracoda,Darwinula,Darwinulidae,Darwinula stevensoni,SPECIES,"1028923: Darwinula stevensoni (Brady & Robertson, 1870)"
1029011,1029011,"Potamocypris zschokkei (Kaufmann, 1900)",Animalia,Arthropoda,Podocopida,Ostracoda,Potamocypris,Cyprididae,Potamocypris zschokkei,SPECIES,"1029011: Potamocypris zschokkei (Kaufmann, 1900)"
1029114,1029114,"Heterocypris incongruens (Ramdohr, 1808)",Animalia,Arthropoda,Podocopida,Ostracoda,Heterocypris,Cyprididae,Heterocypris incongruens,SPECIES,"1029114: Heterocypris incongruens (Ramdohr, 1808)"
1029180,1029180,"Cypria ophtalmica (Jurine, 1820)",Animalia,Arthropoda,Podocopida,Ostracoda,Cypria,Cyprididae,Cypria ophtalmica,SPECIES,"1029180: Cypria ophtalmica (Jurine, 1820)"
1029186,1029186,"Cypria exsculpta Fischer, 1855",Animalia,Arthropoda,Podocopida,Ostracoda,Cypria,Cyprididae,Cypria exsculpta,SPECIES,"1029186: Cypria exsculpta Fischer, 1855"
