taxonKey	taxonName	reappearance_year	years_without_occurrences	acceptedKingdom
2481959	Gavia arctica	2026	10	Animalia
2480372	Elanus caeruleus	2026	6	Animalia
5359249	Trifolium rubens	2025	38	Plantae
3172348	Fraxinus pennsylvanica	2025	33	Plantae
3172613	Catalpa ovata	2025	33	Plantae
5411408	Campanula latifolia	2025	27	Plantae
7738766	Miscanthus sacchariflorus	2025	16	Plantae
7262908	Acer cappadocicum	2025	15	Plantae
2454645	Python	2025	13	Animalia
9305555	Spatula versicolor	2025	13	Animalia
2888946	Rumex longifolius	2025	12	Plantae
3169331	Lysimachia clethroides	2025	10	Plantae
6387003	Equisetum praealtum	2025	10	Plantae
2874515	Cucurbita maxima	2025	9	Plantae
2702816	Echinochloa muricata	2025	8	Plantae
2985994	Hydrangea macrophylla	2025	8	Plantae
2479329	Platycercus eximius	2025	7	Animalia
2498408	Lophodytes cucullatus	2025	6	Animalia
9326020	Gallus gallus	2025	6	Animalia
2700768	Luzula nivea	2025	5	Plantae
4206362	Onopordum beckianum	2025	5	Plantae
5671747	Cenchrus alopecuroides	2025	5	Plantae
6409706	Salvia verbenaca	2025	5	Plantae
9073641	Camelina sativa	2024	41	Plantae
3172059	Veronica spicata	2024	40	Plantae
3034653	Chaerophyllum bulbosum	2024	36	Plantae
5371889	Oenanthe pimpinelloides	2024	36	Plantae
10095118	Microcarbo pygmaeus	2024	23	Animalia
2481744	Calidris melanotos	2024	22	Animalia
9419993	Erodium moschatum	2024	22	Plantae
3033543	Clematis recta	2024	18	Plantae
4205640	Juglans mandshurica	2024	18	Plantae
2439270	Rattus rattus	2024	16	Animalia
3054110	Aubrieta columnae	2024	15	Plantae
2891755	Oxalis latifolia	2024	14	Plantae
2974811	Vicia pannonica	2024	14	Plantae
2974811	Vicia pannonica	2024	14	Plantae
5892120	Girardia tigrina	2024	14	Animalia
3032653	Heuchera sanguinea	2024	13	Plantae
2781103	Hemerocallis lilioasphodelus	2024	12	Plantae
5384818	Silene dichotoma	2024	12	Plantae
2888564	Lamprocapnos spectabilis	2024	11	Plantae
2888636	Symphoricarpos orbiculatus	2024	10	Plantae
3064221	Euphorbia serpens	2024	10	Plantae
2986022	Philadelphus pubescens	2024	9	Plantae
5641274	Primula denticulata	2024	8	Plantae
2379245	Proterorhinus semilunaris	2024	7	Animalia
2925527	Verbena hastata	2024	7	Plantae
5298765	Iris foetidissima	2024	7	Plantae
2480764	Threskiornis aethiopicus	2024	6	Animalia
5284950	Picea omorika	2024	6	Plantae
7763534	Lauritrioza alacris	2024	6	Animalia
1652212	Aedes japonicus	2024	5	Animalia
2705503	Glyceria striata	2024	5	Plantae
5587240	Silene vulgaris subsp. vulgaris	2024	5	Plantae
3022668	Prunus virginiana	2023	33	Plantae
7790614	Crataegus coccinea	2023	28	Plantae
5328909	Sagittaria latifolia	2023	22	Plantae
5391599	Chamaemelum nobile	2023	20	Plantae
2480491	Circus macrourus	2023	19	Animalia
1702101	Anacridium aegyptium	2023	16	Animalia
2426640	Pelophylax bedriagae	2023	16	Animalia
3085381	Polycarpon tetraphyllum	2023	16	Plantae
2876049	Corylus maxima	2023	14	Plantae
3026040	Cotoneaster suecicus	2023	11	Plantae
3189882	Acer palmatum	2023	11	Plantae
8183217	Salix gmelinii	2023	11	Plantae
5420991	Ludwigia peploides	2023	10	Plantae
5073820	Drosophila suzukii	2023	8	Animalia
5411453	Campanula medium	2023	8	Plantae
7068845	Beta vulgaris subsp. vulgaris Linnaeus, 1753	2023	8	Plantae
7818643	Prunus armeniaca	2023	8	Plantae
10944522	Mummenhoffia alliacea	2023	8	Plantae
2705144	Panicum dichotomiflorum	2023	7	Plantae
1031400	Ectopsocus briggsi	2023	6	Animalia
4933624	Inula racemosa	2023	6	Plantae
5361762	Myriophyllum heterophyllum	2023	6	Plantae
7889822	Spiraea billardii	2023	6	Plantae
2882849	Vaccinium corymbosum	2023	5	Plantae
8168344	Hedera hibernica	2023	5	Plantae
5366327	Potentilla montana	2022	35	Plantae
7529533	Canna hybrida	2022	30	Plantae
2971016	Melilotus indicus	2022	27	Plantae
5607452	Thymus citriodorus	2022	27	Plantae
3152816	Platanus orientalis	2022	23	Plantae
3039267	Elaeagnus umbellata	2022	19	Plantae
3152560	Hibiscus trionum	2022	17	Plantae
3171888	Lindernia dubia	2022	15	Plantae
3189883	Acer rubrum	2022	13	Plantae
5328593	Aponogeton distachyos	2022	13	Plantae
7358948	Lasius neglectus	2022	13	Animalia
3022203	Prunus fruticans	2022	11	Plantae
5682465	Erica carnea	2022	11	Plantae
2702822	Echinochloa frumentacea	2022	10	Plantae
5415016	Linaria maroccana	2022	10	Plantae
5568339	Dysphania pumilio	2022	9	Plantae
2480989	Caracara plancus	2022	8	Animalia
4125308	Panicum schinzii	2022	8	Plantae
3690997	Cardamine occulta	2022	7	Plantae
7905507	Amaranthus albus	2022	7	Plantae
2889378	Fagopyrum tataricum	2022	6	Plantae
5355395	Spartium junceum	2022	6	Plantae
1031394	Ectopsocus petersi	2022	5	Animalia
2703231	Zizania latifolia	2022	5	Plantae
3064669	Euphorbia myrsinites	2022	5	Plantae
3114229	Rudbeckia laciniata	2022	5	Plantae
3172068	Veronica cymbalaria	2022	5	Plantae
