class	kingdom	variable	year	area	n_emerging	n_total
Magnoliopsida	Plantae	occs	2020	Natura2000	419	873
Insecta	Animalia	occs	2020	Natura2000	95	182
Liliopsida	Plantae	occs	2020	Natura2000	90	201
Aves	Animalia	occs	2020	Natura2000	64	212
Arachnida	Animalia	occs	2020	Natura2000	14	26
Gastropoda	Animalia	occs	2020	Natura2000	12	21
Malacostraca	Animalia	occs	2020	Natura2000	11	31
Mammalia	Animalia	occs	2020	Natura2000	10	31
Pinopsida	Plantae	occs	2020	Natura2000	10	35
Polypodiopsida	Plantae	occs	2020	Natura2000	10	20
Testudines	Animalia	occs	2020	Natura2000	8	14
	Animalia	occs	2020	Natura2000	7	25
Amphibia	Animalia	occs	2020	Natura2000	6	11
Squamata	Animalia	occs	2020	Natura2000	6	16
Bivalvia	Animalia	occs	2020	Natura2000	5	13
Ascidiacea	Animalia	occs	2020	Natura2000	3	4
Bryopsida	Plantae	occs	2020	Natura2000	2	2
Clitellata	Animalia	occs	2020	Natura2000	2	6
Diplopoda	Animalia	occs	2020	Natura2000	2	2
Pucciniomycetes	Fungi	occs	2020	Natura2000	2	5
Agaricomycetes	Fungi	occs	2020	Natura2000	1	2
Ginkgoopsida	Plantae	occs	2020	Natura2000	1	1
Hydrozoa	Animalia	occs	2020	Natura2000	1	2
Jungermanniopsida	Plantae	occs	2020	Natura2000	1	1
Monogenea	Animalia	occs	2020	Natura2000	1	1
Phaeophyceae	Chromista	occs	2020	Natura2000	1	2
Polychaeta	Animalia	occs	2020	Natura2000	1	4
Ustilaginomycetes	Fungi	occs	2020	Natura2000	1	2
Anthozoa	Animalia	occs	2020	Natura2000	0	1
Branchiopoda	Animalia	occs	2020	Natura2000	0	1
Chilopoda	Animalia	occs	2020	Natura2000	0	1
Copepoda	Animalia	occs	2020	Natura2000	0	1
Demospongiae	Animalia	occs	2020	Natura2000	0	1
Gnetopsida	Plantae	occs	2020	Natura2000	0	1
Gymnolaemata	Animalia	occs	2020	Natura2000	0	2
Leotiomycetes	Fungi	occs	2020	Natura2000	0	1
Maxillopoda	Animalia	occs	2020	Natura2000	0	1
Phylactolaemata	Animalia	occs	2020	Natura2000	0	1
Tentaculata	Animalia	occs	2020	Natura2000	0	1
Magnoliopsida	Plantae	occs	2021	Natura2000	411	873
Liliopsida	Plantae	occs	2021	Natura2000	89	201
Insecta	Animalia	occs	2021	Natura2000	85	182
Aves	Animalia	occs	2021	Natura2000	69	212
Arachnida	Animalia	occs	2021	Natura2000	15	26
Gastropoda	Animalia	occs	2021	Natura2000	15	21
Polypodiopsida	Plantae	occs	2021	Natura2000	13	20
Malacostraca	Animalia	occs	2021	Natura2000	10	31
Mammalia	Animalia	occs	2021	Natura2000	9	31
Pinopsida	Plantae	occs	2021	Natura2000	9	35
Testudines	Animalia	occs	2021	Natura2000	8	14
	Animalia	occs	2021	Natura2000	7	25
Amphibia	Animalia	occs	2021	Natura2000	6	11
Squamata	Animalia	occs	2021	Natura2000	5	16
Bivalvia	Animalia	occs	2021	Natura2000	4	13
Ascidiacea	Animalia	occs	2021	Natura2000	3	4
Bryopsida	Plantae	occs	2021	Natura2000	2	2
Clitellata	Animalia	occs	2021	Natura2000	2	6
Diplopoda	Animalia	occs	2021	Natura2000	2	2
Pucciniomycetes	Fungi	occs	2021	Natura2000	2	5
Agaricomycetes	Fungi	occs	2021	Natura2000	1	2
Chilopoda	Animalia	occs	2021	Natura2000	1	1
Ginkgoopsida	Plantae	occs	2021	Natura2000	1	1
Hydrozoa	Animalia	occs	2021	Natura2000	1	2
Jungermanniopsida	Plantae	occs	2021	Natura2000	1	1
Monogenea	Animalia	occs	2021	Natura2000	1	1
Polychaeta	Animalia	occs	2021	Natura2000	1	4
Tentaculata	Animalia	occs	2021	Natura2000	1	1
Ustilaginomycetes	Fungi	occs	2021	Natura2000	1	2
Anthozoa	Animalia	occs	2021	Natura2000	0	1
Branchiopoda	Animalia	occs	2021	Natura2000	0	1
Copepoda	Animalia	occs	2021	Natura2000	0	1
Demospongiae	Animalia	occs	2021	Natura2000	0	1
Gnetopsida	Plantae	occs	2021	Natura2000	0	1
Gymnolaemata	Animalia	occs	2021	Natura2000	0	2
Leotiomycetes	Fungi	occs	2021	Natura2000	0	1
Maxillopoda	Animalia	occs	2021	Natura2000	0	1
Phaeophyceae	Chromista	occs	2021	Natura2000	0	2
Phylactolaemata	Animalia	occs	2021	Natura2000	0	1
Magnoliopsida	Plantae	occs	2022	Natura2000	384	873
Insecta	Animalia	occs	2022	Natura2000	99	182
Liliopsida	Plantae	occs	2022	Natura2000	78	201
Aves	Animalia	occs	2022	Natura2000	68	212
Arachnida	Animalia	occs	2022	Natura2000	14	26
Gastropoda	Animalia	occs	2022	Natura2000	11	21
Malacostraca	Animalia	occs	2022	Natura2000	10	31
Mammalia	Animalia	occs	2022	Natura2000	10	31
Polypodiopsida	Plantae	occs	2022	Natura2000	10	20
Pinopsida	Plantae	occs	2022	Natura2000	9	35
	Animalia	occs	2022	Natura2000	7	25
Amphibia	Animalia	occs	2022	Natura2000	6	11
Squamata	Animalia	occs	2022	Natura2000	6	16
