key	nubKey	scientificName	datasetKey	canonicalName	species	genus	family	order	class	phylum	kingdom	rank	speciesKey	genusKey	familyKey	orderKey	classKey	phylumKey	kingdomKey	taxonomicStatus	locationId	locality	country	status	first_observed	last_observed	establishmentMeans	degree_of_establishment	native_range	native_continent	habitat	marine	freshwater	terrestrial	source	pathway_level1	pathway_level2
152543101	5740285	Gyrodactylus proterorhini Ergens, 1967	6d9e952f-948c-4483-9807-575348147c7e	Gyrodactylus proterorhini	Gyrodactylus proterorhini	Gyrodactylus	Gyrodactylidae	Gyrodactylidea	Monogenea	Platyhelminthes	Animalia	SPECIES	152543101	213213331	213213330	213213329	213213327	213213326	213212180	ACCEPTED	ISO_3166:BE	Belgium	BE	PRESENT	2011	2018	INTRODUCED				freshwater	FALSE	TRUE	FALSE	https://www.gbif.org/species/164300887: Gyrodactylus proterorhini Ergens, 1967 in Reyserhove L, Groom Q, Adriaens T, Desmet P, Dekoninck W, Van Keer K, Lock K (2020). Ad hoc checklist of alien species in Belgium. Version 1.7. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/3pmlxs	unknown	unknown
152543101	5740285	Gyrodactylus proterorhini Ergens, 1967	6d9e952f-948c-4483-9807-575348147c7e	Gyrodactylus proterorhini	Gyrodactylus proterorhini	Gyrodactylus	Gyrodactylidae	Gyrodactylidea	Monogenea	Platyhelminthes	Animalia	SPECIES	152543101	213213331	213213330	213213329	213213327	213213326	213212180	ACCEPTED	ISO_3166:BE-VLG	Flemish Region	BE	PRESENT	2011	2018	INTRODUCED				freshwater	FALSE	TRUE	FALSE	https://www.gbif.org/species/164300887: Gyrodactylus proterorhini Ergens, 1967 in Reyserhove L, Groom Q, Adriaens T, Desmet P, Dekoninck W, Van Keer K, Lock K (2020). Ad hoc checklist of alien species in Belgium. Version 1.7. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/3pmlxs	unknown	unknown
152543102	3202936	Aphanomyces astaci Schikora	6d9e952f-948c-4483-9807-575348147c7e	Aphanomyces astaci	Aphanomyces astaci	Aphanomyces	Leptolegniaceae	Saprolegniales	Peronosporea	Oomycota	Chromista	SPECIES	152543102	213212190	213212189	213212187	213212185	213212183	213212181	ACCEPTED	ISO_3166:BE	Belgium	BE	PRESENT	2018	2018	INTRODUCED				freshwater	FALSE	TRUE	FALSE	https://www.gbif.org/species/164300676: Aphanomyces astaci Schikora in Reyserhove L, Groom Q, Adriaens T, Desmet P, Dekoninck W, Van Keer K, Lock K (2020). Ad hoc checklist of alien species in Belgium. Version 1.7. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/3pmlxs	unknown	unknown
152543110	5179027	Scutigera coleoptrata Linnaeus, 1758	6d9e952f-948c-4483-9807-575348147c7e	Scutigera coleoptrata	Scutigera coleoptrata	Scutigera	Scutigeridae	Scutigeromorpha	Chilopoda	Arthropoda	Animalia	SPECIES	152543110	213214637	213214636	213214635	213214633	213213706	213212180	ACCEPTED	ISO_3166:BE	Belgium	BE	PRESENT	1997	2021	INTRODUCED				terrestrial	FALSE	FALSE	TRUE	https://www.gbif.org/species/164300956: Scutigera coleoptrata (Linnaeus 1758) in Reyserhove L, Groom Q, Adriaens T, Desmet P, Dekoninck W, Van Keer K, Lock K (2020). Ad hoc checklist of alien species in Belgium. Version 1.7. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/3pmlxs	unknown	unknown
152543110	5179027	Scutigera coleoptrata Linnaeus, 1758	6d9e952f-948c-4483-9807-575348147c7e	Scutigera coleoptrata	Scutigera coleoptrata	Scutigera	Scutigeridae	Scutigeromorpha	Chilopoda	Arthropoda	Animalia	SPECIES	152543110	213214637	213214636	213214635	213214633	213213706	213212180	ACCEPTED	ISO_3166:BE-VLG	Flemish Region	BE	PRESENT	1997	2021	INTRODUCED				terrestrial	FALSE	FALSE	TRUE	https://www.gbif.org/species/164300956: Scutigera coleoptrata (Linnaeus 1758) in Reyserhove L, Groom Q, Adriaens T, Desmet P, Dekoninck W, Van Keer K, Lock K (2020). Ad hoc checklist of alien species in Belgium. Version 1.7. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/3pmlxs	unknown	unknown
152543110	5179027	Scutigera coleoptrata Linnaeus, 1758	6d9e952f-948c-4483-9807-575348147c7e	Scutigera coleoptrata	Scutigera coleoptrata	Scutigera	Scutigeridae	Scutigeromorpha	Chilopoda	Arthropoda	Animalia	SPECIES	152543110	213214637	213214636	213214635	213214633	213213706	213212180	ACCEPTED	ISO_3166:BE-WAL	Walloon Region	BE	PRESENT	2015	2021	INTRODUCED				terrestrial	FALSE	FALSE	TRUE	https://www.gbif.org/species/164300956: Scutigera coleoptrata (Linnaeus 1758) in Reyserhove L, Groom Q, Adriaens T, Desmet P, Dekoninck W, Van Keer K, Lock K (2020). Ad hoc checklist of alien species in Belgium. Version 1.7. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/3pmlxs	unknown	unknown
152543115	5250069	Thecaphora oxalidis (Ellis & Tracy) M.Lutz, R.Bauer & Piątek	6d9e952f-948c-4483-9807-575348147c7e	Thecaphora oxalidis	Thecaphora oxalidis	Thecaphora	Glomosporiaceae	Urocystidales	Ustilaginomycetes	Basidiomycota	Fungi	SPECIES	152543115	213212237	213212235	213212229	213212218	213212216	213212214	ACCEPTED	ISO_3166:BE	Belgium	BE	PRESENT	2014	2018	INTRODUCED				terrestrial	FALSE	FALSE	TRUE	https://www.gbif.org/species/164300768: Thecaphora oxalidis (Ellis & Tracy) M. Lutz, R. Bauer & Piątek in Reyserhove L, Groom Q, Adriaens T, Desmet P, Dekoninck W, Van Keer K, Lock K (2020). Ad hoc checklist of alien species in Belgium. Version 1.7. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/3pmlxs	unknown	unknown
152543120	4985072	Tricellaria inopinata d'Hondt & Occhipinti Ambrogi, 1985	6d9e952f-948c-4483-9807-575348147c7e	Tricellaria inopinata	Tricellaria inopinata	Tricellaria	Candidae	Cheilostomatida	Gymnolaemata	Bryozoa	Animalia	SPECIES	152543120	213214877	213214876	213214870	213214864	213214863	213212180	ACCEPTED	ISO_3166:BE	Belgium	BE	PRESENT	2000	2000	INTRODUCED				marine	TRUE	FALSE	FALSE	https://www.gbif.org/species/157131005: Tricellaria inopinata d'Hondt & Occhipinti Ambrogi, 1985 in Rius, M.; Ahyong, S.; Bieler, R.; Boudouresque, C.; Costello, M. J.; Downey, R.; Galil, B. S.; Gollasch, S.; Hutchings, P.; Kamburska, L.; Katsanevakis, S.; Kupriyanova, E.; Lejeusne, C.; Marchini, A.; Occhipinti, A.; Pagad, S.; Panov, V. E.; Poore, G. C. B; Robinson, T. B.; Sterrer, W.; Turon, X.; Valls Domedel, G.; Verleye, T.; Vieira, L. M.; Willan, R. C.; Yeo Chong Jinn, D.; Zhan, A. (2023). World Register of Introduced Marine Species (WRiMS). Accessed at https://www.marinespecies.org/introduced on 2023-09-01. doi:10.14284/347	unknown	unknown
152543120	4985072	Tricellaria inopinata d'Hondt & Occhipinti Ambrogi, 1985	6d9e952f-948c-4483-9807-575348147c7e	Tricellaria inopinata	Tricellaria inopinata	Tricellaria	Candidae	Cheilostomatida	Gymnolaemata	Bryozoa	Animalia	SPECIES	152543120	213214877	213214876	213214870	213214864	213214863	213212180	ACCEPTED	ISO_3166:BE-VLG	Flemish Region	BE	PRESENT			INTRODUCED				marine	TRUE	FALSE	FALSE	https://www.gbif.org/species/157131005: Tricellaria inopinata d'Hondt & Occhipinti Ambrogi, 1985 in Rius, M.; Ahyong, S.; Bieler, R.; Boudouresque, C.; Costello, M. J.; Downey, R.; Galil, B. S.; Gollasch, S.; Hutchings, P.; Kamburska, L.; Katsanevakis, S.; Kupriyanova, E.; Lejeusne, C.; Marchini, A.; Occhipinti, A.; Pagad, S.; Panov, V. E.; Poore, G. C. B; Robinson, T. B.; Sterrer, W.; Turon, X.; Valls Domedel, G.; Verleye, T.; Vieira, L. M.; Willan, R. C.; Yeo Chong Jinn, D.; Zhan, A. (2023). World Register of Introduced Marine Species (WRiMS). Accessed at https://www.marinespecies.org/introduced on 2023-09-01. doi:10.14284/347	unknown	unknown
152543121	5250090	Urocystis trollii Nannf.	6d9e952f-948c-4483-9807-575348147c7e	Urocystis trollii	Urocystis trollii	Urocystis	Urocystidaceae	Urocystidales	Ustilaginomycetes	Basidiomycota	Fungi	SPECIES	152543121	213212232	213212230	213212229	213212218	213212216	213212214	ACCEPTED	ISO_3166:BE	Belgium	BE	PRESENT	1894	2018	INTRODUCED				terrestrial	FALSE	FALSE	TRUE	https://www.gbif.org/species/164300703: Urocystis trollii Nannf. in Reyserhove L, Groom Q, Adriaens T, Desmet P, Dekoninck W, Van Keer K, Lock K (2020). Ad hoc checklist of alien species in Belgium. Version 1.7. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/3pmlxs	unknown	unknown
152543128	2557730	Sporisorium destruens (Schltdl.) Vánky	6d9e952f-948c-4483-9807-575348147c7e	Sporisorium destruens	Sporisorium destruens	Sporisorium	Ustilaginaceae	Ustilaginales	Ustilaginomycetes	Basidiomycota	Fungi	SPECIES	152543128	213212223	213212221	213212220	213212218	213212216	213212214	ACCEPTED	ISO_3166:BE	Belgium	BE	PRESENT	1899	2018	INTRODUCED				terrestrial	FALSE	FALSE	TRUE	https://www.gbif.org/species/164300761: Sporisorium destruens (Schltdl.) Vánky in Reyserhove L, Groom Q, Adriaens T, Desmet P, Dekoninck W, Van Keer K, Lock K (2020). Ad hoc checklist of alien species in Belgium. Version 1.7. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/3pmlxs	unknown	unknown
152543132	6157050	Graptemys pseudogeographica kohnii (Baur, 1890)	6d9e952f-948c-4483-9807-575348147c7e	Graptemys pseudogeographica kohnii		Graptemys	Emydidae		Testudines	Chordata	Animalia	SUBSPECIES		213213145	213213138		213213120	213212182	213212180	ACCEPTED	ISO_3166:BE	Belgium	BE	PRESENT	2005	2018	INTRODUCED	casual	Northern America	America	freshwater|terrestrial	FALSE	TRUE	TRUE	https://www.gbif.org/species/213159098: Graptemys pseudogeographica kohnii (Baur, 1890) in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T (2023). Checklist of alien herpetofauna of Belgium. Version 1.3. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c	escape	pet
152543132	6157050	Graptemys pseudogeographica kohnii (Baur, 1890)	6d9e952f-948c-4483-9807-575348147c7e	Graptemys pseudogeographica kohnii		Graptemys	Emydidae		Testudines	Chordata	Animalia	SUBSPECIES		213213145	213213138		213213120	213212182	213212180	ACCEPTED	ISO_3166:BE	Belgium	BE	PRESENT	2005	2018	INTRODUCED	casual	Northern America	America	freshwater|terrestrial	FALSE	TRUE	TRUE	https://www.gbif.org/species/213159098: Graptemys pseudogeographica kohnii (Baur, 1890) in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T (2023). Checklist of alien herpetofauna of Belgium. Version 1.3. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c	release	other
152543132	6157050	Graptemys pseudogeographica kohnii (Baur, 1890)	6d9e952f-948c-4483-9807-575348147c7e	Graptemys pseudogeographica kohnii		Graptemys	Emydidae		Testudines	Chordata	Animalia	SUBSPECIES		213213145	213213138		213213120	213212182	213212180	ACCEPTED	ISO_3166:BE	Belgium	BE	PRESENT	2005	2018	INTRODUCED	casual	Northern America	America	freshwater|terrestrial	FALSE	TRUE	TRUE	https://www.gbif.org/species/213159098: Graptemys pseudogeographica kohnii (Baur, 1890) in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T (2023). Checklist of alien herpetofauna of Belgium. Version 1.3. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c	escape	pet
