taxonKey	year	em_status	dr_1	dr_2	dr_3	dr_4
2480772	2018	1	FALSE	FALSE	FALSE	FALSE
2480800	2018	0	TRUE	FALSE	TRUE	FALSE
2480897	2018	1	FALSE	FALSE	FALSE	FALSE
2481034	2018	0	TRUE	FALSE	TRUE	FALSE
2481092	2018	1	FALSE	FALSE	FALSE	TRUE
2481104	2018	0	FALSE	FALSE	TRUE	FALSE
2481110	2018	1	FALSE	FALSE	FALSE	FALSE
2481936	2018	0	TRUE	FALSE	TRUE	FALSE
2484103	2018	0	TRUE	FALSE	TRUE	FALSE
2484133	2018	0	TRUE	FALSE	TRUE	FALSE
2486131	2018	0	TRUE	FALSE	TRUE	FALSE
2486151	2018	0	FALSE	FALSE	TRUE	FALSE
2489004	2018	1	TRUE	FALSE	FALSE	FALSE
2489005	2018	1	TRUE	FALSE	FALSE	FALSE
2489010	2018	3	FALSE	TRUE	FALSE	TRUE
2489071	2018	0	TRUE	FALSE	TRUE	FALSE
2489080	2018	1	TRUE	FALSE	FALSE	FALSE
2489089	2018	1	TRUE	FALSE	FALSE	TRUE
2493598	2018	1	FALSE	FALSE	FALSE	FALSE
2493633	2018	2	FALSE	TRUE	FALSE	FALSE
2493660	2018	2	FALSE	TRUE	FALSE	FALSE
2493698	2018	0	FALSE	FALSE	TRUE	FALSE
2494066	2018	0	TRUE	FALSE	TRUE	FALSE
2494070	2018	0	TRUE	FALSE	TRUE	FALSE
2494097	2018	1	FALSE	FALSE	FALSE	FALSE
2494303	2018	1	FALSE	FALSE	FALSE	FALSE
2494408	2018	0	TRUE	FALSE	TRUE	FALSE
2494514	2018	0	TRUE	FALSE	TRUE	FALSE
2495134	2018	1	TRUE	TRUE	FALSE	TRUE
2495190	2018	1	TRUE	FALSE	FALSE	FALSE
2495414	2018	2	FALSE	TRUE	FALSE	FALSE
2495494	2018	1	FALSE	FALSE	FALSE	FALSE
2495688	2018	3	FALSE	TRUE	FALSE	TRUE
2498001	2018	1	FALSE	FALSE	FALSE	FALSE
2498007	2018	1	FALSE	FALSE	FALSE	FALSE
2498010	2018	1	FALSE	FALSE	FALSE	FALSE
2498011	2018	1	FALSE	FALSE	FALSE	FALSE
2498034	2018	2	FALSE	TRUE	FALSE	FALSE
2498035	2018	2	FALSE	TRUE	FALSE	FALSE
2498046	2018	2	FALSE	TRUE	FALSE	FALSE
2498064	2018	1	TRUE	FALSE	FALSE	FALSE
2498065	2018	1	FALSE	FALSE	FALSE	FALSE
2498071	2018	2	FALSE	TRUE	FALSE	FALSE
2498084	2018	0	TRUE	FALSE	TRUE	FALSE
2498090	2018	1	FALSE	FALSE	FALSE	FALSE
2498094	2018	0	FALSE	FALSE	TRUE	FALSE
2498096	2018	0	FALSE	FALSE	TRUE	FALSE
2498097	2018	0	FALSE	FALSE	TRUE	FALSE
2498107	2018	2	FALSE	TRUE	FALSE	FALSE
2498110	2018	2	FALSE	TRUE	FALSE	FALSE
2498114	2018	1	FALSE	FALSE	FALSE	FALSE
2498139	2018	1	FALSE	FALSE	FALSE	FALSE
2498154	2018	1	FALSE	FALSE	FALSE	FALSE
2498156	2018	1	FALSE	FALSE	FALSE	FALSE
2498160	2018	2	FALSE	TRUE	FALSE	FALSE
2498162	2018	1	FALSE	FALSE	FALSE	FALSE
2498165	2018	2	FALSE	TRUE	FALSE	FALSE
2498181	2018	1	FALSE	FALSE	FALSE	FALSE
2498252	2018	3	FALSE	TRUE	FALSE	TRUE
2498305	2018	1	FALSE	FALSE	FALSE	FALSE
